NormalizedPercentage	SRR317085	SRR317086	SRR317087	SRR317088	SRR317089	SRR317090	SRR317091	SRR317092	SRR317093	SRR317094	SRR317095	SRR317096	SRR317097	SRR317098	SRR317099	SRR317100	SRR317101	SRR317102	SRR317103	SRR317104	SRR317105	SRR317106	SRR317107	SRR317108	SRR317109
taxid:1016998|Salmonella_enterica_subsp._enterica_serovar_Paratyphi_B_str._SPB7	0	0	0	0	0	0.000751497249326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1017264|Bordetella_pertussis_CS	0	0	0	0	0	0	0	0	0	0	0	0.000711116086486	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1028307|Enterobacter_aerogenes_KCTC_2190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00747143416363	0	0	0	0	0	0	0
taxid:1029718|Candidatus_Arthromitus_sp._SFB-mouse-Japan	0	0	0	0.0226511476308	0	0	0.000256728629762	0	0	0	0	0	0	0	0.00473617707102	0	0	0	0	0	0	0.085517208958	0.00611474961869	0	0
taxid:10298|Herpes_simplex_virus_type_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.129662800442	0	0.0143093234564	0	0	0.0320806179005	0	0.00843029484231	0	0	0.0576225940136
taxid:1030843|Porphyromonas_gingivalis_TDC60	0	0	0	0	0.00094439922396	0.0390128139697	0	0.005166696577	0	0	0	0	0.0069668374144	0	0	0	0	0	0	0.0104308369432	0.0212417022725	0	0	0.0011672679867	0.000749426814989
taxid:1031710|Oligotropha_carboxidovorans_OM4	0	0	0	0	0.000127889447073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1031711|Ralstonia_solanacearum_Po82	0	0	0	0	0	0	7.65895986729e-05	0.000278290917657	0	0	0.0141282327462	0	0.00415662543248	0	0	0	0	0	0	0	0	0	9.12103608612e-05	0	0
taxid:1032480|Microlunatus_phosphovorus_NM-1	0	0	0.00132696648113	0	0	0	0	0.000531817760548	0	0.00168117337088	0	0	0	0	0	0	0.000766241014475	0	0	0	0	0.00022571429362	8.71521253018e-05	0.00144178897459	0
taxid:1033813|Escherichia_coli_NA114	0	0	0	0	4.93885187953e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0290913484704	0	0
taxid:1034807|Flavobacterium_branchiophilum_FL-15	0	0	0	0	6.89062515894e-05	0	0	0	0	0	0.00165620442119	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1034809|Staphylococcus_lugdunensis_N920143	0	0	0	0	0	0	0	0.0360932205666	0	0	0	0.00564895435409	0	0	0.00464464986247	0	0	0	0	0	0	0.00395321244522	0	0	0
taxid:1034836|Bacillus_amyloliquefaciens_XH7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000651280014511	0	0	0
taxid:1035377|Yersinia_pestis_A1122	0	0	0	0.00136993801825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1035817|Bifidobacterium_longum_subsp._longum_KACC_91563	0	0	0	0.00466157563251	0.000614918067986	0	0	0	0	0	0	0	0	0	0	0	0.00272646341599	0	0	0	0	0	0	0	0
taxid:10359|Human_cytomegalovirus	0	0	0	0	0	0	0	0.00641570170323	0	0.121687250699	0	0	0	0	0.148908843496	0	0	0.0152264361356	0	0	0	0	0.00210275805066	0	0.178674124515
taxid:1036672|Advenella_kashmirensis_WT001	0	0	0	0	5.55017655407e-05	0	0	0	0	0	0	0	0	0	0	0.00204098844748	0	0.000810719761095	0	0	0	0	0	0	0
taxid:1036673|Paenibacillus_mucilaginosus_KNP414	0	0	0	0	0.00317408527303	0	0	0	0	0	0	0.0104938834131	0	0	0	0	0	0	0	0	0	0	0.00794639899005	0	0
taxid:1036743|Rhodospirillum_rubrum_F11	0	0	0	0.00183264154127	0	0	0	0	0	0	0	0	0	0	0.000251811197685	0	0	0	0	0	0	0	0	0	0
taxid:1037409|Bradyrhizobium_japonicum_USDA_6	0	0.00178564580944	0	0	0	0.000132192459707	0	0.00213366873306	0.000828640058797	0	0	0	0.000272384875381	0	0.000357134038255	0	0.000236475525128	0.000389527158419	0.000965208124546	0	0	0	5.37933736446e-05	0	0
taxid:10376|Epstein_Barr_virus	0	0	0	0	0	0	0	0.0176003549133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1037911|Pseudomonas_fluorescens_A506	0.000685867159944	12.0111877448	13.2599085857	1.63354426473	0.684849134448	3.65517377545	3.80120939018	4.26297119035	15.6736204065	30.765735074	16.6626849329	10.9155837228	5.31595489272	9.58638623818	3.28244102914	11.7751526955	3.62499144395	3.72633434082	15.1267972805	3.50066283799	5.98906982939	5.2742685594	0.500731359422	3.55509895594	2.90686859994
taxid:1041826|Flavobacterium_columnare_ATCC_49512	0	0	0	0.00151348732562	0	0	0.00157815882406	0	0	0	0	0	0.00317218159116	0	0	0	0	0	0	0	0	0	0	0	0.000554504351568
taxid:1042156|Clostridium_sp._SY8519	0	0.0275397018883	0	0.125463570526	0.0888365019427	0.04463857572	0.000146664399364	0.000532910094762	0	0	0.00208113092448	0	0.0508535341067	0	0.0135284593316	0	0	0	0	0	0	0	0.0978108684863	0.000963166904243	0.0179332169593
taxid:1042876|Pseudomonas_putida_S16	8.81704141906e-05	0.0192300626402	0.0327620780273	0.00106632552412	0.00118975933259	0.0160664939515	0.0104934594602	0.0116152567051	0.0395198200426	0.0526822823665	0.0601514736235	0.0186216728464	0.0102668310022	0.0174443733867	0.0126370708551	0.0256474263666	0.0403828082984	0.0125847437664	0.0222740693724	0.0652509966145	0.0315588321936	0.0113598624105	0.0018207017208	0.0104965461835	0.00234405191232
taxid:1042878|Cupriavidus_necator_N-1	0	0	0.00088921599894	0.00112873044555	0.00191079560386	0	0.00196160205912	0.00160369828904	0	0	0.00278346396567	0	0.00502722619168	0	0	0	0.000513467204188	0.0046518632947	0	0	0	0	0	0.000322053305172	0
taxid:1045854|Weissella_koreensis_KACC_15510	0	0	0	0.0143885315573	0.00459905066775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00721570424902	0	0
taxid:1045855|Pseudoxanthomonas_spadix_BD-a59	0	0	0	0	0.000497814564311	0.000705070355701	0	0.000437702892812	0	0.00830195419192	0.0017093258974	0	0.000363202450045	0.00302387483009	0.000317472247085	0.00261519035822	0	0	0.0025740486152	0.00141385736483	0	0.000371540052234	0	0.00237327615516	0
taxid:1045856|Enterobacter_cloacae_EcWSU1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00022844295295	0	0.00272273406209	0.00149498045201	0	0	0	0	0	0	0
taxid:1046629|Streptococcus_salivarius_57.I	0	0	0	0.00820540882276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000694728478475	0	0
taxid:1048245|Mycobacterium_canettii_CIPT_140010059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00145735763393	0	0	0	0	0	0	0	0
taxid:1048332|Streptococcus_salivarius_CCHSS3	0	0	0	0	0	0	0	0	0	0	0	0	0.000565571495967	0	0.000494361350507	0	0	0	0	0	0	0	0	0	0
taxid:1048689|Escherichia_coli_O55:H7_str._RM12579	0	0	0	0	0	0.00245739026456	0	0	0	0	0	0	0	0	0.00784601910868	0	0	0.00131656559892	0	0	0.00364909141771	0.000235442373006	0	0	0
taxid:1048834|Alicyclobacillus_acidocaldarius_subsp._acidocaldarius_Tc-4-1	0	0	0	0.0010213886492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000317086195732	0	0
taxid:1049565|Klebsiella_pneumoniae_KCTC_2242	0	0.131681360301	0	0	0	0.140377712457	0.0022841603288	0.000276652480665	0.0125706971013	0	0.00540194339067	0.00053690652739	0.000229564072887	0.00191125644062	0.00180594045702	0.0281000685675	0	0.029546169469	0	0.00268090858234	0.00970576203547	0.00469667798887	0	0	0
taxid:1051006|Propionibacterium_humerusii_incertae_sedis_SK182B-JCVI	0.00472176860386	0.0253650944916	0.0310256329489	0.00196912654202	0.000707101437491	0.00600893944602	0.00239547881985	0.0118126446491	0.0659166484008	0.0117921896303	0.0194235666989	0.0132724268041	0.00309538120745	0.00429514600906	0.0315658819287	0.0297171677036	0.00627038397824	0.025083986709	0.00365620776584	0.0020082589919	0.0231748828661	0.00949931446242	0.000203769265372	0.00112367609761	0.113265970057
taxid:1052585|Bacillus_subtilis_subsp._spizizenii_TU-B-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000260525847355	0	0	0	0	0	0	0	0	0	0
taxid:1052684|Paenibacillus_polymyxa_M1	0	0	0	0.0064010686333	7.8808630304e-05	0.00410200305932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00164690993821	0	0	0
taxid:1054460|Streptococcus_pseudopneumoniae_IS7493	0	0	0	0	0	0	0	0	0	0	0.142467593601	0	0.014279208162	0	0.000998506987209	0	0	0	0	0.00222341711859	0	0	0	0	0
taxid:10633|Simian_virus_40	0	0	0	0	0	0	0	0	0	1.85773187848	0	0	0	0	2.98371788292	0	0	0	0	0	0	0.748257102956	0	0	3.40964865942
taxid:10634|Murine_polyomavirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.337422033007
taxid:1064535|Megasphaera_elsdenii_DSM_20460	0	0	0	0	9.92165956034e-05	0.0211487974599	0	0.00061065255653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0298212325293	0	0
taxid:1064539|Azospirillum_brasilense_Sp245	0	0	0	0	0	0	0	0.000401366403383	0	0.001268792732	0	0	0.000666101428474	0	0	0	0	0	0	0	0	0	0	0	0
taxid:10678|Enterobacteria_phage_P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0288414786435	0.0185172365949
taxid:1069443|Mortierella_verticillata	0	9.80672359172e-05	0.000359856502828	0	2.34327025987e-05	0	1.98460007967e-05	0	0.000546104539032	0.00250752108794	0	0	5.98372458706e-05	0.000249090199787	2.61516199898e-05	0.000215425017706	5.1948714552e-05	0	0	0.000116465804064	0	6.12108576182e-05	1.18172762731e-05	6.5165818126e-05	0.000125516193576
taxid:1069533|Streptococcus_infantarius_subsp._infantarius_CJ18	0	0	0	0	0	0.000606073618575	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00243068409363	0.00164997523262	0	0	0	0
taxid:1069534|Lactobacillus_ruminis_ATCC_27782	0	0	0	0.000771989470592	0.00914815281816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0117433976026	0	0
taxid:10710|Enterobacteria_phage_lambda	5.15122242284	16.8990134934	40.0420980204	15.2944337566	1.59285549858	5.73342953518	83.1511177463	59.6334529188	40.3532797838	8.09319691526	32.9204535016	37.6886940798	59.6650322953	43.5704807716	40.1052751042	46.6359134542	77.0127989456	77.8036534088	7.71157715363	72.6131483876	75.305095286	2.59722088267	3.42804518436	80.2988071399	83.0743404529
taxid:1071378|Naumovozyma_dairenensis_CBS_421	0	0	0	0.000117939319773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1072459|Escherichia_coli_O7:K1_str._CE10	0	0	0	0	0	0.00135773347766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1074252|Staphylococcus_aureus_subsp._aureus_HO_5096_0412	0	0	0	0	0	0.000429738081477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1074889|Blattabacterium_sp._(Mastotermes_darwiniensis)_str._MADAR	0	0	0	0.00540517123597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00167801471637	0	0
taxid:10870|Enterobacteria_phage_M13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.173789452444	0	0	0	0	0	0	0	0	0	0
taxid:1087448|Exiguobacterium_antarcticum_B7	0	0	0	0	0.00148233867047	0.0185865966322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000879475045131	0.000969964812755	0
taxid:1089456|Pseudomonas_aeruginosa_NCGM2.S1	0	0.000607610886025	0.00445924118245	0	0	0.000719708933488	0.000430370664104	0.000446790422577	0	0.00423715913526	0.00261722204456	0.000867097571945	0	0	0.000486095346047	0	0	0	0	0	0	0.00227552350694	0	0.000807516600621	0.00155536158179
taxid:1089553|Thermacetogenium_phaeum_DSM_12270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000505566494084	0	0
taxid:1091045|Propionibacterium_acnes_ATCC_11828	0.000106018624965	0.00165162690733	0.0090909366001	0.000641090137039	0.000197324222313	0.00244541915585	0.000501362997724	0.00485791878214	0.00919737303129	0.00767838562407	0.00237140492962	0.0129633445141	0.000503882894301	0.0629268387865	0.0154153949528	0.0217688457777	0.0139985419518	0.00576466873848	0.00714212729644	0.00392298312431	0.0159777858671	0.00154634978518	0.00358243161505	0	0.000704638746657
taxid:109269|Vaucheria_litorea	0	0	0	0	0	0	0	0	0	0	0.204664081788	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1093787|Pseudomonas_aeruginosa_DK2	0	0.00898750851508	0	0	0.000766972388775	0	0.000909407201511	0	0.00238326245729	0	0.00460866406138	0.00091612282401	0.000391704842493	0	0.00017119297588	0.00846125399674	0.000340065167693	0.0078422689083	0.00138802382426	0.00609924053461	0	0.000200348369927	0	0.000426586587561	0
taxid:1094466|Flavobacterium_indicum_GPTSA100-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000428574657653	0	0	0
taxid:1094508|Thermoanaerobacterium_saccharolyticum_JW/SL-YS485	0	0	0	0.000562284978587	0	0.000428963847123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1097668|Burkholderia_sp._YI23	0	0.000462015712164	0.0118675263775	0	0.000193193824484	0.0316038564964	0	0.00781381078009	0	0	0	0.000329662215928	0.000140953028329	0	0.000123205872184	0	0.000244741499291	0.00040314303442	0	0	0	0	0.0029507068787	0	0
taxid:1104320|Brucella_abortus_A13334	0	0	0	0	0	0	0	0	0	0	0	0	0.00190803995779	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1104322|Lactococcus_lactis_subsp._cremoris_A76	0.000409515031713	0.00318984539535	0	0	0	0	0	0	0	0	0	0.00113802569243	0.0836923478194	0	0	0.0175178920448	0.0185871665489	0.0194836396839	0.0137938427671	0	0.00385730778922	0	0.00269067428758	0.0286153669947	0
taxid:1104326|Enterobacter_cloacae_subsp._dissolvens_SDM	0	0	0	0	0.0173465809997	0	0	0	0	0	0	0	0	0	0.00485361875743	0	0	0.000721889512358	0	0	0	0	0.00608123248193	0	0
taxid:1105104|Rickettsia_rickettsii_str._Brazil	0	0	0.0240230240933	0	0	0	0	0	0	0	0	0	0	0.0748285752999	0	0	0	0.0171374391712	0	0	0	0	0	0	0
taxid:1105107|Rickettsia_canadensis_str._CA410	0	0.028587595947	0.0131127284836	0.0097094098593	0.00320197076195	0.0169308587644	0.0101242941295	0.00788292168191	0.00663312597079	0.182741970394	0.0205230266152	0.0484455262063	0.026164747964	0	0.0238233219101	0.023549468276	0.0170365255393	0.00623620034635	0.038631653214	0.0169754827751	0.0345694360868	0.0278806048344	0.000430607016871	0	0.0076227595987
taxid:1105112|Rickettsia_massiliae_str._AZT80	0	0	0	0	0	0	0.000325248677667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000387337834037	0	0
taxid:1107880|Leuconostoc_mesenteroides_subsp._mesenteroides_J18	0	0	0	0	0	0	0	0	0	0.00947648468234	0	0	0	0	0	0	0	0	0	0	0	0	0.00171941530937	0	0.000869648727768
taxid:1110502|Tistrella_mobilis_KA081020-065	0	0.00635553017361	0	0	0.000210919986316	0.000209112806869	0	0.00155778973972	0	0	0.00101391849301	0.00151162114568	0.000646320894163	0	0	0	0	0	0	0	0.000569288848062	0	0	0	0
taxid:1111068|Geobacillus_thermoleovorans_CCB_US3_UF5	0	0.00114281788565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00988377069873	0	0	0	0	0	0
taxid:1111069|Thermus_sp._CCB_US3_UF1	0	0	0	0	0.000108475545282	0	0	0	0	0	0	0.00259140809588	0	0	0	0	0	0	0	0	0	0	0	0.00120667219245	0
taxid:1112204|Gordonia_polyisoprenivorans_VH2	0	0	0	0	0	0	0	0	0	0	0	0	0.00193107584766	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1114965|Streptococcus_parasanguinis_FW213	0	0	0	0.000734678104289	0	0	0	0	0.0140533718899	0	0.0951156026492	0	0.00519696899645	0	0.0166563007091	0	0.00802104233848	0.00330310486463	0	0	0	0.00767905604347	0	0.02012360809	0
taxid:1114966|Propionibacterium_acnes_TypeIA2_P.acn33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00987362032237	0
taxid:1114967|Propionibacterium_acnes_TypeIA2_P.acn17	0	0.0016291989781	0	0.00252953833945	0.000973223492305	0.0053068665923	0	0.000598993958659	0.0332657570243	0.0151482371191	0.0140352175332	0.0023249657151	0.000497040519767	0	0.0191161956921	0	0.0017260564524	0.0284319430017	0	0.0309576942293	0	0.014745063969	0	0.00974344539995	0
taxid:1114969|Propionibacterium_acnes_TypeIA2_P.acn31	0	0	0	0	0	0	0	0	0.0335868502334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00983749268553	0
taxid:1114970|Pseudomonas_fluorescens_F113	1.92701710013e-05	0.0312211352135	0.0429620877982	0.00302967361512	0.00997076767597	0.0104898363803	0.010692446563	0.0377476370074	0.265248477928	0.128398854178	0.275860229787	0.15765421757	0.00952503008095	0.0396507494842	0.103591540011	0.156951153039	0.0257620984977	0.0382446439231	0.0142798509033	0.0648875286353	0.0977732647266	0.013866012914	0.00267695163548	0.0570528444078	0.0394476047693
taxid:1116231|Streptococcus_macedonicus_ACA-DC_198	0	0.0786468810902	0	0	0	0	0	0	0	0	0.00550834853743	0	0	0	0.00204612565756	0	0.00101612823377	0	0	0	0	0	0	0	0
taxid:1116391|Paenibacillus_mucilaginosus_3016	0	0	0	0.0220902166447	0.00738927214899	0.0112814217078	0	0	0	0	0	0	0.00502219034727	0	0	0	0	0	0	0	0	0	0.00113352449329	0	0
taxid:1117943|Sinorhizobium_fredii_HH103	0	0	0	0	0	0	0	0.000227869114179	0	0	0	0	0	0	0	0	0	0	0	0.00147211467225	0	0	7.46845218965e-05	0	0.000264418429731
taxid:1118959|Staphylococcus_aureus_subsp._aureus_M013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00106567421736	0	0
taxid:1123519|Pseudomonas_stutzeri_DSM_10701	0	0.00098470662877	0.00722673746082	0	0	0.000583187508561	9.96382143145e-05	0.0003620388483	0	0.00228894225104	0.00282768238195	0.001405236059	0.000600834030908	0	0.0018381441387	0	0.00104324840191	0	0	0	0.000793835035555	0	0	0.000654338959162	0.000420108464959
taxid:1123523|Staphylococcus_aureus_11819-97	0	0	0	0	0	0	0	0.00052675672327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1125630|Klebsiella_pneumoniae_subsp._pneumoniae_HS11286	0	0	0	0	0	0	0	0	0	0.0151326931947	0	0	0	0	0	0	0	0.000631172630835	0	0	0	0	0	0	0
taxid:1127744|Bacillus_sp._JS	0	0	0	0.000774406009203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1128398|Clostridium_acidurici_9a	0	0	0	0.0102658062251	0	0	0	0	0	0	0	0	0.000403435012815	0	0.00317375276653	0	0	0	0	0	0	0	0	0	0
taxid:1130804|Streptococcus_pneumoniae_ST556	0	0	0	0	0.000686517170976	0	0	0	0	0	0	0.0109336234891	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1131462|Dehalobacter_sp._CF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0172449622566	0	0	0	0	0	0
taxid:1133849|Nocardia_brasiliensis_ATCC_700358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00210689205884	0.00013593840472	0	0	0
taxid:1133850|Streptomyces_hygroscopicus_subsp._jinggangensis_5008	0	0	0	0	0	0	0	0	0	0	0	0	0.000120764082547	0	0	0	0	0	0	0	0	0	0	0	0.000168878627811
taxid:1133852|Escherichia_coli_O104:H4_str._2011C-3493	0	0	0	0	0.000225781420297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1133853|Escherichia_coli_O104:H4_str._2009EL-2071	0.00230077644445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1134782|Escherichia_coli_O104:H4_str._2009EL-2050	0	0	0	0	4.51499152176e-05	0	0.00175899819843	0	0	0	0	0.00161790183473	0	0	0	0	0	0	0	0	0	0	0	0.00753365383547	0.00161228962657
taxid:1138308|Cronobacter_sakazakii_ES15	0	0	0.0194333021418	0	0	0	0	0	0	0	0	0	0	0	0.00179742672748	0.0084607855431	0	0	0	0	0	0	0	0.00255937781868	0
taxid:1144275|Corallococcus_coralloides_DSM_2259	0	0	0.000748100263399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:114615|Bradyrhizobium_sp._ORS_278	0	0.00110245656997	0	0	0.00098785045372	0	0.000613540524967	0	0	0	0.000791453243204	0	0	0	0.000146996216441	0	0	0	0.00357551323787	0	0	0	0	0.000366291981511	0
taxid:1146883|Blastococcus_saxobsidens_DD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00280112569332	0
taxid:1147128|Bifidobacterium_asteroides_PRL2011	0	0	0	0	0	0	0	0	0.0070406433238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1150469|Rhodospirillum_photometricum_DSM_122	0	0	0	0.000411587882993	0	0.000313997934217	0	0	0	0.00246480978354	0	0.0007566026589	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1151116|Rahnella_aquatilis_HX2	2.33206718651e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000581295221854	0	0	0	0	0	0	0.000226764658511	0.00262673067119	0	0
taxid:1155766|Enterococcus_faecium_Aus0004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00360509866025	0	0	0	0	0.00807094549156	0.00180419061184	0	0
taxid:1157951|Providencia_stuartii_MRSN_2154	0	0.372549244892	0	0	0.00133862979788	0	0	0	0	0	0	0	0	0.10197928289	0	0	0	0	0	0	0	0	0	0	0
taxid:1163399|Stenotrophomonas_maltophilia_D457	0.00019362807025	0.0129277014545	0.00948760794881	0	0	0.00510424376317	0.000174413109514	0.00221807592659	0.0175975957613	0	0.0222739032564	0.00614953791419	0.00131467294393	0.0153235998111	0.0645819326342	0	0.0105004705714	0.0421134186123	0.00931720606604	0.0174001691926	0	0.00753117294087	0.00145395694106	0.0131720632819	0.00588307803071
