kegg_pathways	SRR317085	SRR317086	SRR317087	SRR317088	SRR317089	SRR317090	SRR317091	SRR317092	SRR317093	SRR317094	SRR317095	SRR317096	SRR317097	SRR317098	SRR317099	SRR317100	SRR317101	SRR317102	SRR317103	SRR317104	SRR317105	SRR317106	SRR317107	SRR317108	SRR317109
ko00534: Glycosaminoglycan biosynthesis - heparan sulfate	0	0.000432467	0.000267104	5.44451e-05	0.000344869	0.000762589	0.000871188	0.000311611	0.00012381	0.00063971	0.000303355	0.000454812	0.000730797	0.000951304	1.7904e-05	0.0010227	0.000358673	0.000754818	0.000658663	0.000663862	0.00104347	0.000475116	0.000318628	0.000870035	0.000810022
ko00540: Lipopolysaccharide biosynthesis	0.0245235	0.00121144	0.00071571	7.73769e-05	0.00208427	0.00176505	0.00614989	0.00165596	0.00024261	0.000630584	0.00177177	0.00164103	0.000965395	0.0012131	0.000214882	0.00176293	0.00105039	0.00175561	0.00105383	0.00240695	0.00154925	0.00490971	0.00143338	0.00221849	0.00207255
ko00550: Peptidoglycan biosynthesis	0.027457	0.00150769	0.000562752	9.9735e-05	0.00104599	0.00170983	0.00419463	0.00264708	0.000196901	0.000561279	0.00163805	0.00169423	0.00135735	0.000671033	0.000150972	0.00107979	0.00190184	0.0011438	0.000485806	0.00250369	0.00123887	0.00350733	0.00113693	0.00172566	0.00132953
ko00561: Glycerolipid metabolism	0.00567644	0.00174206	0.000770673	0.000150062	0.00194115	0.00320946	0.00312561	0.00291533	0.000408338	0.00173659	0.00210932	0.00206951	0.00185421	0.0025105	9.48736e-05	0.00280721	0.00223223	0.00209663	0.00170687	0.00202472	0.00259339	0.00349511	0.00135605	0.00211565	0.00310156
ko00562: Inositol phosphate metabolism	0.00242157	0.00119838	0.000626187	0.000139523	0.00162897	0.00246939	0.0040425	0.00238704	0.000323395	0.00146028	0.00171864	0.00183951	0.00160575	0.00230981	0.000113887	0.00210648	0.00156825	0.00204564	0.00201318	0.00276597	0.00236484	0.00261405	0.00132312	0.00288344	0.00210271
ko00563: Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	8.26625e-08	0.00649322	0.00318899	0.000284325	0.00335193	0.00887498	0.0120838	0.00801036	0.00169598	0.00262588	0.00544473	0.00727335	0.00763475	0.0184145	0.000336886	0.0124632	0.0110326	0.0111125	0.0109374	0.0136948	0.0160929	0.010347	0.00642721	0.0142207	0.0107704
ko00564: Glycerophospholipid metabolism	0.0113407	0.00239708	0.000985247	0.000164874	0.00225249	0.003596	0.00464511	0.00294786	0.000559884	0.00239208	0.00252903	0.00260726	0.0019402	0.00254248	0.000137352	0.00227879	0.00257428	0.00289131	0.00208731	0.00237395	0.00312054	0.00376085	0.00187195	0.0023675	0.00351319
ko00565: Ether lipid metabolism	0	0.00359053	0.00122615	0.000350999	0.00252158	0.0046359	0.00499576	0.00315932	0.00132701	0.00417219	0.00335258	0.00411822	0.00220818	0.00379649	5.58748e-05	0.0032237	0.00213871	0.00366968	0.00234443	0.00261019	0.00333578	0.00300044	0.00177635	0.00320134	0.00515618
ko00590: Arachidonic acid metabolism	0.00689473	0.0033292	0.00111834	0.000179458	0.00212545	0.00436084	0.0048218	0.00322723	0.000938886	0.00265848	0.0028049	0.00304306	0.00279156	0.00589292	6.74395e-05	0.00512274	0.00386359	0.00345848	0.00256376	0.00307212	0.00386565	0.00574129	0.00242376	0.00383891	0.00551494
ko00591: Linoleic acid metabolism	0	0.00438724	0.00114472	0.000223776	0.00168967	0.00363676	0.00541335	0.00306186	0.00162447	0.0020876	0.00267043	0	0.00203463	0.00223895	0.000163573	0.00179935	0.00290169	0.00366674	0.00132007	0.00190328	0.00172619	0.00484096	0.00149607	0.00239234	0.00482349
ko00592: alpha-Linolenic acid metabolism	1.12117e-05	0.00325912	0.000631067	0.000182213	0.00137441	0.00221266	0.00200367	0.00234343	0.00117457	0.00160097	0.0015266	0.0023678	0.00136163	0.00124007	6.33048e-05	0.00078842	0.00170539	0.00250511	0.00100402	0.000951773	0.00155419	0.00223976	0.000776007	0.00227839	0.00359417
ko00600: Sphingolipid metabolism	0.00041309	0.00167448	0.000957682	0.000249179	0.00153888	0.00342075	0.0039287	0.00226905	0.0004467	0.00248727	0.00248447	0.00266242	0.00208115	0.00329603	7.07805e-05	0.00394356	0.00317475	0.00275908	0.00268422	0.00339913	0.00377993	0.00301961	0.00156394	0.00342161	0.00330563
ko00601: Glycosphingolipid biosynthesis - lacto and neolacto series	0	0.00112744	0.00027636	4.99625e-05	0.000526761	0.000886912	0.00163939	0.000704681	9.75452e-05	0.000799347	0.000556374	0.000860707	0.00086252	0.000833726	1.57393e-05	0.000384719	0.000487149	0.000320093	0.000558965	0.00106556	0.00128411	0.000365067	0.000362434	0.000856891	0.00168302
ko00603: Glycosphingolipid biosynthesis - globo series	1.78224e-06	0.00115832	0.000356189	0	0.00133336	0.00179128	0.00192569	0.00179247	0.000359576	0.00144992	0.00131147	0.00127994	0.00153804	0.00183453	4.20214e-05	0.0024325	0.00190457	0.00167224	0.00194182	0.00326679	0.00256575	0.00151825	0.0010563	0.00256392	0.0032871
ko00604: Glycosphingolipid biosynthesis - ganglio series	0	0.00151111	0.000597813	0.000258252	0.00141308	0.00275062	0.00285071	0.00199586	0.000596063	0.00197455	0.00234218	0.00301978	0.0030634	0.00283966	6.77754e-05	0.00303349	0.00189026	0.00183963	0.00277609	0.00352464	0.00337898	0.00239463	0.00184499	0.00301038	0.00321927
ko00620: Pyruvate metabolism	0.0195141	0.00395921	0.00180274	0.000371515	0.00517995	0.00599801	0.00791202	0.00668955	0.000866972	0.00385333	0.00425593	0.00405995	0.00392513	0.00416489	0.000249371	0.0050382	0.00504282	0.00396766	0.00449222	0.00523324	0.00479636	0.00891052	0.0040391	0.00587698	0.00486213
ko00621: Dioxin degradation	9.62657e-08	0	0	2.10447e-07	2.27121e-05	0	2.56548e-05	0	0	0	0	2.17583e-06	0	0	0	0	0	0	0	0	0	0	0	8.42262e-06	0
ko00622: Xylene degradation	2.46132e-06	1.68741e-06	5.67556e-07	1.47915e-07	2.52155e-06	2.90923e-06	3.63202e-06	2.6424e-06	3.06348e-07	7.67083e-06	2.31002e-06	1.75003e-06	1.56602e-06	1.55538e-06	1.67088e-07	6.47489e-07	1.32986e-06	7.47679e-05	1.20753e-06	1.1476e-06	3.37936e-06	3.80069e-06	8.67822e-07	1.41312e-06	2.62806e-06
ko00623: Toluene degradation	4.64847e-06	0.000598978	0.000252005	3.82442e-08	4.17967e-07	1.90849e-06	3.99937e-07	0.00105136	0.000165261	6.21082e-07	0	7.15679e-07	2.35342e-07	0.000254598	0	0.000644716	1.75682e-06	0.000293524	0.000129969	0.000415415	4.3523e-06	5.5395e-06	2.35817e-06	0.000770172	0
