PercentCoverageGT5x	SRR317085	SRR317086	SRR317087	SRR317088	SRR317089	SRR317090	SRR317091	SRR317092	SRR317093	SRR317094	SRR317095	SRR317096	SRR317097	SRR317098	SRR317099	SRR317100	SRR317101	SRR317102	SRR317103	SRR317104	SRR317105	SRR317106	SRR317107	SRR317108	SRR317109
taxid:1017264|Bordetella_pertussis_CS	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1028307|Enterobacter_aerogenes_KCTC_2190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
taxid:1029718|Candidatus_Arthromitus_sp._SFB-mouse-Japan	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0.035493715	0.0	0	0
taxid:10298|Herpes_simplex_virus_type_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08472288	0	0.0	0	0	0.0	0	0.0	0	0	0.0
taxid:1030843|Porphyromonas_gingivalis_TDC60	0	0	0	0	0.0	0.01213728	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	0.0
taxid:1031710|Oligotropha_carboxidovorans_OM4	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1031711|Ralstonia_solanacearum_Po82	0	0	0	0	0	0	0.0	0.0	0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0
taxid:1032480|Microlunatus_phosphovorus_NM-1	0	0	0.0	0	0	0	0	0.0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0.0	0.0	0
taxid:1033813|Escherichia_coli_NA114	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.020718259	0	0
taxid:1034807|Flavobacterium_branchiophilum_FL-15	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1034809|Staphylococcus_lugdunensis_N920143	0	0	0	0	0	0	0	0.00015409	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0
taxid:1034836|Bacillus_amyloliquefaciens_XH7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0
taxid:1035377|Yersinia_pestis_A1122	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1035817|Bifidobacterium_longum_subsp._longum_KACC_91563	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0
taxid:10359|Human_cytomegalovirus	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0	0.075112695	0	0	0.0	0	0	0	0	0.0	0	0.05262123
taxid:1036672|Advenella_kashmirensis_WT001	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0	0	0	0
taxid:1036673|Paenibacillus_mucilaginosus_KNP414	0	0	0	0	0.0007502468	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.004755409	0	0
taxid:1036743|Rhodospirillum_rubrum_F11	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0
taxid:1037409|Bradyrhizobium_japonicum_USDA_6	0	0.0	0	0	0	0.0	0	0.0	0.0	0	0	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0	0	0.0	0	0
taxid:10376|Epstein_Barr_virus	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1037911|Pseudomonas_fluorescens_A506	0.0	0.409035055	0.3633333434	0.3082227381	0.3570438748	0.4076763796	0.4863842068	0.4062512017	0.3824358636	0.4227203216	0.3974461251	0.4296972268	0.4276511673	0.3061095567	0.4134123846	0.3464109281	0.3714840917	0.3017492255	0.371232579	0.2759548802	0.3735804732	0.4334875529	0.2865040567	0.3392998753	0.357077622
taxid:1041826|Flavobacterium_columnare_ATCC_49512	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.0
taxid:1042156|Clostridium_sp._SY8519	0	0.0	0	0.05003991	0.1644721434	0.00673547	0.0	0.0	0	0	0.0	0	0.005324893	0	0.0	0	0	0	0	0	0	0	0.086679395	0.0	0.0
taxid:1042876|Pseudomonas_putida_S16	0.0	0.0	0.0	0.0	0.0	0.0	0.006065372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005965122	0.0	0.0	0.001002541	0.0	0.0	0.0	0.0	0.0
taxid:1042878|Cupriavidus_necator_N-1	0	0	0.0	0.0	0.0004952151	0	0.0	0.0	0	0	0.0	0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0.0	0
taxid:1045854|Weissella_koreensis_KACC_15510	0	0	0	0.0	0.01026659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0
taxid:1045855|Pseudoxanthomonas_spadix_BD-a59	0	0	0	0	0.0021723022	0.0	0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0	0.0	0	0.0	0
taxid:1045856|Enterobacter_cloacae_EcWSU1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0	0	0	0	0	0	0	0
taxid:1046629|Streptococcus_salivarius_57.I	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0
taxid:1048245|Mycobacterium_canettii_CIPT_140010059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0
taxid:1048332|Streptococcus_salivarius_CCHSS3	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0
taxid:1048689|Escherichia_coli_O55:H7_str._RM12579	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0.0	0.0	0	0	0
taxid:1048834|Alicyclobacillus_acidocaldarius_subsp._acidocaldarius_Tc-4-1	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0
taxid:1049565|Klebsiella_pneumoniae_KCTC_2242	0	0.015999926	0	0	0	0.044137152	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0	0	0
taxid:1051006|Propionibacterium_humerusii_incertae_sedis_SK182B-JCVI	0.003613117	0.00123174	0.0	0.0	0.0	0.0	0.00307936	0.0	0.00275089	0.0	0.0	0.0	0.0	0.0	0.003325704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01740864
taxid:1052585|Bacillus_subtilis_subsp._spizizenii_TU-B-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0
taxid:1052684|Paenibacillus_polymyxa_M1	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0
taxid:1054460|Streptococcus_pseudopneumoniae_IS7493	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0	0	0	0.0	0	0	0	0	0
taxid:10633|Simian_virus_40	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0.820141	0	0	0	0	0	0	0.0	0	0	0.87736
taxid:10634|Murine_polyomavirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
taxid:1064535|Megasphaera_elsdenii_DSM_20460	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03010443	0	0
taxid:1064539|Azospirillum_brasilense_Sp245	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:10678|Enterobacteria_phage_P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0
taxid:1069443|Mortierella_verticillata	0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0001669913	0	0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.0	0.0	0.0	0.0
taxid:1069533|Streptococcus_infantarius_subsp._infantarius_CJ18	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0
taxid:1069534|Lactobacillus_ruminis_ATCC_27782	0	0	0	0.0	0.020274332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0
taxid:10710|Enterobacteria_phage_lambda	2.06795564	0.64121115	0.48451589	0.62059362	0.94635327	0.39173644	2.25557621	1.03707056	0.53193683	0.62059208	1.18139463	1.71333153	1.52983372	0.64121052	1.91538573	0.64121059	0.89068513	0.58760464	0.30720424	0.4845162	0.48451585	0.61440832	0.32782132	0.64739546	0.64327282
taxid:1071378|Naumovozyma_dairenensis_CBS_421	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1072459|Escherichia_coli_O7:K1_str._CE10	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1074252|Staphylococcus_aureus_subsp._aureus_HO_5096_0412	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1074889|Blattabacterium_sp._(Mastotermes_darwiniensis)_str._MADAR	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0
taxid:10870|Enterobacteria_phage_M13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0
taxid:1087448|Exiguobacterium_antarcticum_B7	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0
taxid:1089456|Pseudomonas_aeruginosa_NCGM2.S1	0	0.0	0.0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0.0	0	0	0	0	0	0	0.0	0	0.0	0.0
taxid:1089553|Thermacetogenium_phaeum_DSM_12270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0
taxid:1091045|Propionibacterium_acnes_ATCC_11828	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0
taxid:109269|Vaucheria_litorea	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1093787|Pseudomonas_aeruginosa_DK2	0	0.0	0	0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0
taxid:1094466|Flavobacterium_indicum_GPTSA100-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0
taxid:1094508|Thermoanaerobacterium_saccharolyticum_JW/SL-YS485	0	0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1097668|Burkholderia_sp._YI23	0	0.0	0.0	0	0.0	0.0132855203	0	0.0	0	0	0	0.0	0.0	0	0.0	0	0.0	0.0	0	0	0	0	0.00266385	0	0
taxid:1104320|Brucella_abortus_A13334	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1104322|Lactococcus_lactis_subsp._cremoris_A76	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0
taxid:1104326|Enterobacter_cloacae_subsp._dissolvens_SDM	0	0	0	0	0.034398457	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0.00100639	0	0
taxid:1105104|Rickettsia_rickettsii_str._Brazil	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0060524921	0	0	0	0.00605249	0	0	0	0	0	0	0
taxid:1105107|Rickettsia_canadensis_str._CA410	0	0.0057379966	0.0	0.006259628	0.0067812679	0.0069551426	0.0066943253	0.005564117	0.0	0.0067812633	0.0	0.0072159653	0.0072159636	0	0.0073898425	0.0	0.006607389	0.0	0.00504248	0.0	0.0067812623	0.0075637136	0.0	0	0.00521636
taxid:1105112|Rickettsia_massiliae_str._AZT80	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0
taxid:1107880|Leuconostoc_mesenteroides_subsp._mesenteroides_J18	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0
taxid:1110502|Tistrella_mobilis_KA081020-065	0	0.0	0	0	0.0	0.0	0	0.0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0
taxid:1111068|Geobacillus_thermoleovorans_CCB_US3_UF5	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0
taxid:1111069|Thermus_sp._CCB_US3_UF1	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.0	0
taxid:1112204|Gordonia_polyisoprenivorans_VH2	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1114965|Streptococcus_parasanguinis_FW213	0	0	0	0.0	0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0.0	0	0	0	0.0	0	0.0	0
taxid:1114966|Propionibacterium_acnes_TypeIA2_P.acn33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0
taxid:1114967|Propionibacterium_acnes_TypeIA2_P.acn17	0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0	0.0	0	0.0	0	0.0	0
taxid:1114969|Propionibacterium_acnes_TypeIA2_P.acn31	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0
taxid:1114970|Pseudomonas_fluorescens_F113	0.0	0.0	0.0	0.0	0.0128253221	0.0	0.0	0.0056968941	0.012591603	0.0	0.0131174696	0.0143737065	0.0	0.0	0.0235033748	0.008574558	0.0039001796	0.003067558	0.0	0.003447348	0.010590395	0.0	0.0	0.007026173	0.010385883
taxid:1116231|Streptococcus_macedonicus_ACA-DC_198	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	0	0	0	0	0
taxid:1116391|Paenibacillus_mucilaginosus_3016	0	0	0	0.00392491	0.016363334	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0
taxid:1117943|Sinorhizobium_fredii_HH103	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0	0.0
taxid:1118959|Staphylococcus_aureus_subsp._aureus_M013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0
taxid:1123519|Pseudomonas_stutzeri_DSM_10701	0	0.0	0.0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0	0	0	0.0	0	0	0.0	0.0
taxid:1123523|Staphylococcus_aureus_11819-97	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1125630|Klebsiella_pneumoniae_subsp._pneumoniae_HS11286	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
taxid:1127744|Bacillus_sp._JS	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1128398|Clostridium_acidurici_9a	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0
taxid:1130804|Streptococcus_pneumoniae_ST556	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1131462|Dehalobacter_sp._CF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0
taxid:1133849|Nocardia_brasiliensis_ATCC_700358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0
taxid:1133850|Streptomyces_hygroscopicus_subsp._jinggangensis_5008	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.0
taxid:1133852|Escherichia_coli_O104:H4_str._2011C-3493	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1133853|Escherichia_coli_O104:H4_str._2009EL-2071	0.0050279108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1134782|Escherichia_coli_O104:H4_str._2009EL-2050	0	0	0	0	0.0	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0
taxid:1138308|Cronobacter_sakazakii_ES15	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0.0	0
taxid:1144275|Corallococcus_coralloides_DSM_2259	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:114615|Bradyrhizobium_sp._ORS_278	0	0.0	0	0	0.0021993974	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0
taxid:1146883|Blastococcus_saxobsidens_DD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0
taxid:1147128|Bifidobacterium_asteroides_PRL2011	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1150469|Rhodospirillum_photometricum_DSM_122	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1151116|Rahnella_aquatilis_HX2	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0.0	0	0
taxid:1155766|Enterococcus_faecium_Aus0004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0.0	0	0
taxid:1157951|Providencia_stuartii_MRSN_2154	0	0.034778802	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0
taxid:1163399|Stenotrophomonas_maltophilia_D457	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
taxid:1165456|Saccharomyces_kudriavzevii_ZP591	0	0.00413556184	0.00172634926	0.00174169396	0.00348338962	0.0029846656	0.00820974322	0.00118158998	0.0045652288	0.00464195856	0.00408185514	0.00677495606	0.00584656158	0.00355244662	0.0011969353	0.00377494618	0.0039974603	0.00179540726	0.0064680489	0.00112021	0.00537854052	0.00359080146	0.0017877266	0.00287724292	0.00283121226
taxid:1168290|Bifidobacterium_animalis_subsp._lactis_B420	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1171373|Propionibacterium_acidipropionici_ATCC_4875	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0
taxid:1173025|Geitlerinema_sp._PCC_7407	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1173263|Synechococcus_sp._PCC_7502	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:11834|RD114_retrovirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
taxid:1185652|Sinorhizobium_fredii_USDA_257	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1187956|Streptococcus_thermophilus_MN-ZLW-002	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0
taxid:1191061|Klebsiella_oxytoca_E718	0.0	0.0	0.0	0	0	0.001178115	0	0	0.0	0.0	0	0	0	3.1003e-05	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
taxid:1191523|Melioribacter_roseus_P3M-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0019694545	0	0
taxid:1193292|Klebsiella_pneumoniae_subsp._pneumoniae_1084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0
taxid:1193729|Candidatus_Endolissoclinum_patella_L2	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0
taxid:1195464|Bacillus_thuringiensis_MC28	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0
taxid:1196325|Pseudomonas_putida_DOT-T1E	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0
taxid:1196835|Pseudomonas_stutzeri_CCUG_29243	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
taxid:1198114|Granulicella_tundricola_MP5ACTX9	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
taxid:1201032|Campylobacter_jejuni_subsp._jejuni_PT14	0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0
taxid:120574|Streptococcus_phage_MM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
taxid:1205910|Nocardiopsis_alba_ATCC_BAA-2165	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0
taxid:1206105|Enterococcus_faecalis_D32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0
taxid:1207075|Pseudomonas_sp._UW4	0	0.1264679611	0.07481344	0.053304095	0.130705037	0.1183008444	0.2792320272	0.1080152409	0.1108291285	0.1517777253	0.12287753	0.1796911028	0.1552386661	0.037730119	0.269431458	0.047482062	0.080635452	0.0394282052	0.063023784	0.031245006	0.0743767155	0.1650066661	0.0270887117	0.056651776	0.0746354804
taxid:1208660|Bordetella_parapertussis_Bpp5	0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0
taxid:1209989|Tepidanaerobacter_acetatoxydans_Re1	0	0	0	0.002391424	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0
taxid:1211025|Enterobacter_cloacae_subsp._cloacae_ENHKU01	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0.0	0	0	0.0	0	0.0	0	0	0	0	0.0
taxid:1211776|Campylobacter_jejuni_subsp._jejuni_NCTC_11168-BN148	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
