PercentCoverage	SRR317085	SRR317086	SRR317087	SRR317088	SRR317089	SRR317090	SRR317091	SRR317092	SRR317093	SRR317094	SRR317095	SRR317096	SRR317097	SRR317098	SRR317099	SRR317100	SRR317101	SRR317102	SRR317103	SRR317104	SRR317105	SRR317106	SRR317107	SRR317108	SRR317109
taxid:1087448|Exiguobacterium_antarcticum_B7	0	0	0	0	0.0432	0.0746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0118	0.0027	0
taxid:1089456|Pseudomonas_aeruginosa_NCGM2.S1	0	0.0011	0.0045	0	0	0.0045	0.0068	0.0022	0	0.0034	0.0034	0.0022	0	0	0.0034	0	0	0	0	0	0	0.0135	0	0.0022	0.0067
taxid:1089553|Thermacetogenium_phaeum_DSM_12270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0077	0	0
taxid:1091045|Propionibacterium_acnes_ATCC_11828	0.0068	0.003	0.0091	0.0031	0.0061	0.0147	0.0091	0.0234	0.0092	0.0061	0.0031	0.033	0.0031	0.0445	0.1062	0.0176	0.0403	0.0121	0.0059	0.0059	0.033	0.0091	0.0492	0	0.0031
taxid:109269|Vaucheria_litorea	0	0	0	0	0	0	0	0	0	0	0.2627	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1093787|Pseudomonas_aeruginosa_DK2	0	0.0166	0	0	0.0202	0	0.0154	0	0.0024	0	0.0059	0.0024	0.0024	0	0.0012	0.0071	0.0012	0.0146	0.0012	0.0095	0	0.0012	0	0.0012	0
taxid:1094466|Flavobacterium_indicum_GPTSA100-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00250000000001	0	0	0
taxid:1094508|Thermoanaerobacterium_saccharolyticum_JW/SL-YS485	0	0	0	0.0027	0	0.0027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1097668|Burkholderia_sp._YI23	0	0.000800000000001	0.012	0	0.00599999999999	0.0613	0	0.0306	0	0	0	0.000800000000001	0.000900000000004	0	0.000900000000004	0	0.000900000000004	0.000900000000004	0	0	0	0	0.0204	0	0
taxid:1104320|Brucella_abortus_A13334	0	0	0	0	0	0	0	0	0	0	0	0	0.0103	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1104322|Lactococcus_lactis_subsp._cremoris_A76	0.03	0.0057	0	0	0	0	0	0	0	0	0	0.00289999999999	0.4001	0	0	0.012	0.0584	0.0267	0.0117	0	0.00599999999999	0	0.0358	0.0549	0
taxid:1104326|Enterobacter_cloacae_subsp._dissolvens_SDM	0	0	0	0	0.1778	0	0	0	0	0	0	0	0	0	0.032	0	0	0.0015	0	0	0	0	0.0668	0	0
taxid:1105104|Rickettsia_rickettsii_str._Brazil	0	0	0.0066	0	0	0	0	0	0	0	0	0	0	0.0067	0	0	0	0.0068	0	0	0	0	0	0	0
taxid:1105107|Rickettsia_canadensis_str._CA410	0	0.0076	0.0075	0.0088	0.0076	0.008	0.00790000000001	0.0076	0.0066	0.0084	0.0074	0.00869999999999	0.0093	0	0.0089	0.0074	0.0077	0.0066	0.0078	0.0074	0.0075	0.0098	0.0065	0	0.0076
taxid:1105112|Rickettsia_massiliae_str._AZT80	0	0	0	0	0	0	0.0059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0059	0	0
taxid:1107880|Leuconostoc_mesenteroides_subsp._mesenteroides_J18	0	0	0	0	0	0	0	0	0	0.0075	0	0	0	0	0	0	0	0	0	0	0	0	0.0229	0	0.0038
taxid:1110502|Tistrella_mobilis_KA081020-065	0	0.0106	0	0	0.0039	0.0013	0	0.0065	0	0	0.0013	0.0026	0.0039	0	0	0	0	0	0	0	0.0013	0	0	0	0
taxid:1111068|Geobacillus_thermoleovorans_CCB_US3_UF5	0	0.0021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00830000000001	0	0	0	0	0	0
taxid:1111069|Thermus_sp._CCB_US3_UF1	0	0	0	0	0.0034	0	0	0	0	0	0	0.0067	0	0	0	0	0	0	0	0	0	0	0	0.00329999999999	0
taxid:1112204|Gordonia_polyisoprenivorans_VH2	0	0	0	0	0	0	0	0	0	0	0	0	0.0107	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1114965|Streptococcus_parasanguinis_FW213	0	0	0	0.0035	0	0	0	0	0.014	0	0.1129	0	0.0315	0	0.0893	0	0.0232	0.0039	0	0	0	0.0453	0	0.0498	0
taxid:1114966|Propionibacterium_acnes_TypeIA2_P.acn33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0227	0
taxid:1114967|Propionibacterium_acnes_TypeIA2_P.acn17	0	0.003	0	0.0119	0.0301	0.0305	0	0.003	0.0295	0.0121	0.018	0.00599999999999	0.003	0	0.1324	0	0.00599999999999	0.0472	0	0.038	0	0.0766	0	0.0224	0
taxid:1114969|Propionibacterium_acnes_TypeIA2_P.acn31	0	0	0	0	0	0	0	0	0.0297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0226	0
taxid:1114970|Pseudomonas_fluorescens_F113	0.0013	0.0576	0.042	0.0144	0.1115	0.0634	0.1735	0.0999	0.1067	0.096	0.131	0.1508	0.056	0.0288	0.2317	0.064	0.0613	0.0622	0.0122	0.0667	0.1275	0.0797	0.0401	0.1021	0.0697
taxid:1116231|Streptococcus_macedonicus_ACA-DC_198	0	0.1036	0	0	0	0	0	0	0	0	0.0071	0	0	0	0.0142	0	0.0035	0	0	0	0	0	0	0	0
taxid:1116391|Paenibacillus_mucilaginosus_3016	0	0	0	0.0653	0.0865	0.0499	0	0	0	0	0	0	0.0217	0	0	0	0	0	0	0	0	0	0.0172	0	0
taxid:1117943|Sinorhizobium_fredii_HH103	0	0	0	0	0	0	0	0.0011	0	0	0	0	0	0	0	0	0	0	0	0.0023	0	0	0.0011	0	0.0011
taxid:1118959|Staphylococcus_aureus_subsp._aureus_M013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0163	0	0
taxid:1123519|Pseudomonas_stutzeri_DSM_10701	0	0.0018	0.0072	0	0	0.0036	0.0018	0.0018	0	0.0018	0.0036	0.0036	0.0036	0	0.0127	0	0.0036	0	0	0	0.0018	0	0	0.0018	0.0018
taxid:1123523|Staphylococcus_aureus_11819-97	0	0	0	0	0	0	0	0.0026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1125630|Klebsiella_pneumoniae_subsp._pneumoniae_HS11286	0	0	0	0	0	0	0	0	0	0.012	0	0	0	0	0	0	0	0.0013	0	0	0	0	0	0	0
taxid:1127744|Bacillus_sp._JS	0	0	0	0.0037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1128398|Clostridium_acidurici_9a	0	0	0	0.0475	0	0	0	0	0	0	0	0	0.0024	0	0.0218	0	0	0	0	0	0	0	0	0	0
taxid:1130804|Streptococcus_pneumoniae_ST556	0	0	0	0	0.0212	0	0	0	0	0	0	0.0274	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1131462|Dehalobacter_sp._CF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0147	0	0	0	0	0	0
taxid:1133849|Nocardia_brasiliensis_ATCC_700358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0048	0.000800000000001	0	0	0
taxid:1133850|Streptomyces_hygroscopicus_subsp._jinggangensis_5008	0	0	0	0	0	0	0	0	0	0	0	0	0.000699999999998	0	0	0	0	0	0	0	0	0	0	0	0.000699999999998
taxid:1133852|Escherichia_coli_O104:H4_str._2011C-3493	0	0	0	0	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1133853|Escherichia_coli_O104:H4_str._2009EL-2071	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1134782|Escherichia_coli_O104:H4_str._2009EL-2050	0	0	0	0	0.0012	0	0.0295	0	0	0	0	0.0041	0	0	0	0	0	0	0	0	0	0	0	0.0208	0.0067
taxid:1138308|Cronobacter_sakazakii_ES15	0	0	0.0178	0	0	0	0	0	0	0	0	0	0	0	0.0124	0.0071	0	0	0	0	0	0	0	0.0071	0
taxid:1144275|Corallococcus_coralloides_DSM_2259	0	0	0.000699999999998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:114615|Bradyrhizobium_sp._ORS_278	0	0.002	0	0	0.0043	0	0.0097	0	0	0	0.000999999999995	0	0	0	0.000999999999995	0	0	0	0.003	0	0	0	0	0.000999999999995	0
taxid:1146883|Blastococcus_saxobsidens_DD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0078	0
taxid:1147128|Bifidobacterium_asteroides_PRL2011	0	0	0	0	0	0	0	0	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1150469|Rhodospirillum_photometricum_DSM_122	0	0	0	0.002	0	0.002	0	0	0	0.002	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1151116|Rahnella_aquatilis_HX2	0.0018	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0.0013	0.0357	0	0
taxid:1155766|Enterococcus_faecium_Aus0004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0102	0	0	0	0	0.0401	0.0274	0	0
taxid:1157951|Providencia_stuartii_MRSN_2154	0	0.3081	0	0	0.0389	0	0	0	0	0	0	0	0	0.0742	0	0	0	0	0	0	0	0	0	0	0
taxid:1163399|Stenotrophomonas_maltophilia_D457	0.0143	0.0204	0.0082	0	0	0.0289	0.0032	0.0109	0.0151	0	0.0278	0.0147	0.00790000000001	0.0111	0.4401	0	0.0311	0.0803	0.0078	0.0225	0	0.0443	0.019	0.0302	0.0221
taxid:1165456|Saccharomyces_kudriavzevii_ZP591	0	0.0518	0.0421	0.022	0.0377	0.0428	0.058	0.0538	0.0383	0.0429	0.0404	0.064	0.0633	0.041	0.0305	0.0457	0.0547	0.0553	0.0597	0.0306	0.0669	0.0382	0.0379	0.0524	0.0507
taxid:1168290|Bifidobacterium_animalis_subsp._lactis_B420	0	0	0	0	0	0	0	0	0.0078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1171373|Propionibacterium_acidipropionici_ATCC_4875	0	0	0	0	0	0	0	0.0021	0	0	0	0.0021	0.0021	0	0	0	0	0	0	0	0.0021	0	0	0	0
taxid:1173025|Geitlerinema_sp._PCC_7407	0	0	0.0016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1173263|Synechococcus_sp._PCC_7502	0	0	0	0	0.0021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:11834|RD114_retrovirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9041	0	0	0	0
taxid:1185652|Sinorhizobium_fredii_USDA_257	0	0	0.0012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1187956|Streptococcus_thermophilus_MN-ZLW-002	0	0	0	0	0	0.0082	0	0	0	0	0	0	0	0.0104	0	0	0	0	0	0	0	0	0	0	0
taxid:1191061|Klebsiella_oxytoca_E718	0.0014	0.0338	0.063	0	0	0.1095	0	0	0.0011	0.0028	0	0	0	0.0831	0.1097	0	0.0011	0.0301	0.0024	0	0.0102	0.0082	0	0.0118	0.0011
taxid:1191523|Melioribacter_roseus_P3M-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0051	0	0
taxid:1193292|Klebsiella_pneumoniae_subsp._pneumoniae_1084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0141	0	0
taxid:1193729|Candidatus_Endolissoclinum_patella_L2	0	0	0	0	0	0.0051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011	0	0
taxid:1195464|Bacillus_thuringiensis_MC28	0	0	0	0.0011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0011	0	0
taxid:1196325|Pseudomonas_putida_DOT-T1E	0	0	0.0012	0	0.0012	0.0036	0.0012	0.0012	0.0012	0.0024	0.0109	0.0061	0	0	0.0049	0.0036	0.0024	0.0012	0.0012	0	0.0012	0.0012	0	0.0036	0
taxid:1196835|Pseudomonas_stutzeri_CCUG_29243	0	0.0181	0.0032	0.0032	0.0064	0.0178	0.0129	0.0126	0.0016	0.0048	0.0064	0.0032	0.0081	0	0.0097	0.0065	0.0116	0.0016	0.0065	0.0097	0	0.0275	0.0032	0.0129	0.0016
taxid:1198114|Granulicella_tundricola_MP5ACTX9	0	0	0.0014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0014	0	0	0	0
taxid:1201032|Campylobacter_jejuni_subsp._jejuni_PT14	0	0	0	0	0	0	0	0.0046	0	0	0	0	0.0198	0	0	0	0	0	0.0552	0	0	0	0	0	0
taxid:120574|Streptococcus_phage_MM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1888	0	0	0	0
taxid:1205910|Nocardiopsis_alba_ATCC_BAA-2165	0.0016	0	0	0.00520000000001	0	0	0	0	0	0	0	0	0	0	0.0065	0	0	0	0	0	0	0	0	0	0
taxid:1206105|Enterococcus_faecalis_D32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0023	0	0	0
