kegg_modules	SRR317085	SRR317086	SRR317087	SRR317088	SRR317089	SRR317090	SRR317091	SRR317092	SRR317093	SRR317094	SRR317095	SRR317096	SRR317097	SRR317098	SRR317099	SRR317100	SRR317101	SRR317102	SRR317103	SRR317104	SRR317105	SRR317106	SRR317107	SRR317108	SRR317109
M00031: Lysine biosynthesis, archaea, 2-aminoadipate => lysine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00032: Lysine degradation, lysine => saccharopine => acetoacetyl-CoA	0	0	0	0.00577735	0	0	0.00432995	0	0	0	0	0.00556789	0	0	0	0	0	0	0.0120245	0	0	0	0	0.00518507	0
M00033: Ectoine biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00034: Methionine salvage pathway	0	0	0	0	0	0.00806746	0	0	0	0	0	0.00880472	0.0102458	0	0	0	0	0	0	0	0	0	0	0	0
M00035: Methionine degradation	0	0.00966678	0.0136519	0.00789436	0.00718636	0.00658164	0.0105226	0.0039721	0.00185153	0.0102442	0.0190103	0.00906033	0.00437968	0.0194655	0.0122142	0.00910354	0.012252	0.0139297	0.0164037	0.0105549	0.0109774	0.0154325	0.00348571	0.00538305	0.0041206
M00036: Leucine degradation, leucine => acetoacetate + acetyl-CoA	4.70648e-11	0.0253151	0.0221499	0.0177878	0.0145139	0.0273949	0.0137175	0.014487	0.0214749	0.0236448	0.0164715	0.0251368	0.0288631	0.0367102	0.00883083	0.0203693	0.0142116	0.0123519	0.022564	0.0350914	0.0227362	0.00988908	0.00957712	0.00995739	0.0271022
M00037: Melatonin biosynthesis, tryptophan => serotonin => melatonin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00038: Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00039: Lignin biosynthesis, cinnamate => lignin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00042: Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00044: Tyrosine degradation, tyrosine => homogentisate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00045: Histidine degradation, histidine => N-formiminoglutamate => glutamate	0.0678451	0.0110508	0	0.0169242	0.00118825	0.0135531	0.0047747	0.0254043	0	0	0.00980372	0.0121309	0.014152	0	0.0249269	0	0	0.00956078	0.00737849	0	0.00659928	0.014609	0.0123793	0.00588071	0
M00046: beta-Alanine biosynthesis, cytosine / uracil => beta-alanine	0	0.00502639	0	0	0.00774071	0.0117337	0.0213054	0.00482596	0.0121591	0.00789094	0.0120305	0.0226119	0.00706449	0.012859	0.0212252	0.00345464	0	0.0170996	0.00416195	0	0.00909191	0.00367615	0.00277971	0.0156432	3.89006e-05
M00048: Inosine monophosphate biosynthesis, PRPP + glutamine => IMP	0.00144487	0.00939161	0.0211228	0.0015299	0.0138322	0.0149855	0.0141988	0.0300324	0.016764	0.00741159	0.00806759	0.0198807	0.0214418	0.0142318	0.0278349	0.0147762	0.000841691	0.00464705	0.00111589	0	0.00929024	0.0215965	0.0125238	0	0
M00049: Adenine nucleotide biosynthesis, IMP => ADP/dADP,ATP/dATP	0.000629188	0.00763105	0.0230303	0.0201311	0.0245886	0.012201	0	0.0226303	0	0	0	0.0166923	0.0112977	0	0.0337367	0.0112886	0.0276596	0.0106089	0.0122167	0.0207173	0	0.0197382	0.0241389	0.00631762	0.00813058
M00050: Guanine nucleotide biosynthesis, IMP => GDP/dGDP,GTP/dGTP	0.00062802	0.00847827	0.0245767	0.0186841	0.0274964	0.0135006	0	0.023286	0	0	0	0.0180087	0.0124102	0	0.040314	0.020328	0.0273829	0.0154554	0.0158546	0.027698	0	0.0224211	0.0328402	0.00972111	0.0158955
M00051: Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	0.00632535	0.00144482	0.00198418	0.00997641	0.0106018	0.00177573	0.00105495	0.00530736	0.00617833	0.00309054	0.0053255	0.00174809	0.00150757	0.0132337	0.00423786	0.00729609	0.0072188	0.00624063	0.00746289	0	0.0045096	0.00780486	0.01943	0.00447944	0.00618214
M00053: Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	0	0.0103088	0	0	0.0158519	0.0114284	0	0.0170359	0	0	0	0	0.0121184	0	0	0	0.0163933	0	0.0149826	0	0	0	0.0228289	0.00958193	0.00324297
M00055: N-glycan precursor biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00056: O-glycan biosynthesis, mucin type core	0	0.00144988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00057: Glycosaminoglycan biosynthesis, linkage tetrasaccharide	0	2.79173e-05	0	0	0	4.75941e-05	0	0	0	0	0	0	1.58305e-05	0	0	0	0	0	0	0	0	0	0	0	0
M00059: Glycosaminoglycan biosynthesis, heparan sulfate backbone	0	0	0	0	0	0	0.000555855	0	0	0.000815974	0	0	0.00296614	0.00148421	0	0.00248658	0.00191015	0	0.00370151	0	0	0	0.00127414	0	0
M00060: Lipopolysaccharide biosynthesis, KDO2-lipid A	0	0	0	0	0	0	0.00278635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00061: Uronic acid metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00064: ADP-L-glycero-D-manno-heptose biosynthesis	0.0269587	0	0	0	0.00369085	0	0	0	0	0	0	0	0	0	0.0110283	0	0	0	0	0	0	0	0	0	0.00988126
M00065: GPI-anchor biosynthesis, core oligosaccharide	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00072: Oligosaccharyltransferase	0	0.0663076	0.103391	0.0776835	0.0400753	0.0799776	0.0602049	0.0433594	0.127871	0.151266	0.123451	0.0724975	0.10417	0.143422	0.0162969	0.1359	0.0890402	0.0920018	0.151526	0.156089	0.109921	0.044969	0.057825	0.0896078	0.14259
M00074: N-glycan biosynthesis, high-mannose type	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00075: N-glycan biosynthesis, complex type	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00625183	0	0	0	0
M00076: Dermatan sulfate degradation	0	0	0	0	0	0	7.62083e-06	0	0	0.000250814	0	0	0	0	0	0.0028632	0	0	0	0	0.00245929	0	0	0.0029987	0.00132255
M00077: Chondroitin sulfate degradation	0	0	2.51479e-05	0.00147673	0.000503008	3.46607e-05	1.93913e-06	0.000306435	5.3343e-05	3.0429e-05	0.000746635	2.98989e-05	0.000654784	0.0004178	0	0.00222478	0.000586723	0	0.0040093	0.000261989	0.00319405	0.000357517	0.000582287	0.002553	0.000231614
M00078: Heparan sulfate degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00079: Keratan sulfate degradation	0	0	0.00312841	0.0125348	0.0038722	4.43495e-05	1.20275e-05	0.000928489	0.00772011	6.50785e-05	0.0124177	0.000416987	0.0184431	0.0360156	0	0.0167491	0.00116662	0	0.0303515	0.0277498	0.00942195	0.00745689	0.00268576	0.0082214	0.00045689
M00080: Lipopolysaccharide biosynthesis, inner core => outer core => O-antigen	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00082: Fatty acid biosynthesis, initiation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00088: Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00089: Triacylglycerol biosynthesis	0	0.0310448	0.0320034	0.0322288	0.0270662	0.0466221	0.0101355	0.022738	0.0423411	0.0442714	0.0438076	0.0325513	0.0320423	0.0333628	0.0165066	0.027692	0.0170273	0.046977	0.0442175	0.0346157	0.0363795	0.018929	0.0136159	0.0194749	0.0377143
M00094: Ceramide biosynthesis	0	0	2.38138e-06	0.000117163	0.00108332	0.00208664	1.09258e-05	3.29079e-05	0	0	0.00518688	0	0	0	0	9.62369e-06	0	0.00612746	0	0	0	1.92905e-06	0	1.7406e-06	0.0109849
M00095: C5 isoprenoid biosynthesis, mevalonate pathway	0	0	0.0169249	0	0.00363461	0.0143449	0	0.0186844	0.0179545	0.00994574	0.0132231	0	0	0.0199876	0	0	0.0172613	0	0.0213502	0	0	0	0.00538404	0	0.0125465
M00096: C5 isoprenoid biosynthesis, non-mevalonate pathway	1.63044e-06	0.00963172	0.0187111	0	0.0121036	0.0118366	0.00150648	0.0111982	0.000986543	3.49947e-05	0.00901006	0.000755178	0.00798417	0	0.0143292	0	0	0	0	0	0	0.00955942	0.00910885	0.00975785	0.0107432
M00099: Sphingosine biosynthesis	0	0	3.66231e-06	0.000172506	0.00148464	0.00288538	1.67912e-05	4.99324e-05	0	0	0.00676283	0	0	0	0	1.46855e-05	0	0.00768426	0	0	0	2.96532e-06	0	2.68671e-06	0.0140608
M00101: Cholesterol biosynthesis, FPP => cholesterol	0	0	0	0	9.04164e-05	6.52621e-05	6.35357e-06	0	0	0	0	6.30086e-05	0	0	0	0	0	0	0	0	0	0	0	0.00017845	0
M00102: Ergocalciferol biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00104: Bile acid biosynthesis, cholesterol => cholate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00114857	0	0	0	0	0	0
M00105: Bile acid biosynthesis, cholesterol => chenodeoxycholate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00141152	0	0	0	0	0	0
M00109: C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00113: Jasmonic acid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00114: Ascorbate biosynthesis, plants, glucose-6P => ascorbate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00115: NAD biosynthesis, aspartate => NAD	0.036821	0.0292143	0.0120793	0.00553815	0.0131731	0.0087722	0.00622233	0.00282411	0	0.00320464	0.00521032	0.014384	0.00124744	0	1.81669e-05	0	0	0.000170787	0	9.44676e-06	0.0152845	0.0176229	0.00793663	0.0070745	0.00645314
M00116: Menaquinone biosynthesis, chorismate => menaquinone	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00117: Ubiquinone biosynthesis, prokaryotes, chorismate => ubiquinone	0	0.00456342	0	0	0	0	0	0	0	0.00078972	0	0	0.0040872	0	0	0	0	0	0	0	0.00118189	0	0	0	0
M00119: Pantothenate biosynthesis, valine/L-aspartate => pantothenate	0	0	0	0	0.0135089	0	0	0.0127729	0	0	0	0	0	0	0	0	0.0077105	0.00960851	0	0	0	0	0.0123732	0	0
M00121: Heme biosynthesis, glutamate => protoheme/siroheme	0	0	0.0151721	0	0.00628442	0.0111652	0.000554607	0.0175448	0	0	0	0.0159899	0.0162695	0	0.0112229	0.0121308	0.0133831	0.0107021	0	0.0178997	0	0.0138052	0.00928557	0	0
M00122: Cobalamin biosynthesis, cobinamide => cobalamin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00123: Biotin biosynthesis, pimeloyl-CoA => biotin	0.0453945	0.00734418	0	0	0.00458192	0.0102311	0.0103084	0.00159779	0	0	0	0.00706128	0	0	0.0135662	0.00548385	0	0.010032	0	0	0.00562444	0.0218726	0.00688047	0	0.00785505
M00124: Pyridoxal biosynthesis, erythrose-4P => pyridoxal-5P	0	0.00628834	0	0	0.0057883	0.00541531	0.00711528	0	0	0	0.00853455	0	0.00941315	0	0.00890664	0	0.000108749	0.000271616	0.00038694	0	0	0.0128734	0.00492375	0.0068137	0
M00125: Riboflavin biosynthesis, GTP => riboflavin/FMN/FAD	0.0830393	0.015611	0.000677994	0.0144924	0.0106967	0	0.0199046	0.0168994	0.00894034	0	0.00231182	0.0164628	0.0186461	0	0.0126659	0.0054658	0.00702922	0.0173449	0.00593227	0	0.0012829	0.00868403	0.000970446	0	0.00856973
M00126: Tetrahydrofolate biosynthesis, GTP => THF	0	0.0107974	0.0334621	3.9359e-05	0.00594666	0.0149289	0.018141	0.0126612	0.0203722	0.00183532	0.000362267	0.0239678	0.0179089	0	0.0218591	0	0	0	0.011795	0	0	0.0318317	0	0.00016043	0.00843951
M00127: Thiamine biosynthesis, AIR => thiamine-P/thiamine-2P	0	0.00603782	0	0	3.07717e-05	0.000285556	5.65817e-06	0.00486086	5.56629e-05	3.83853e-05	0	0	2.40772e-05	0	5.44106e-05	0	7.31209e-05	0	0	6.645e-05	0.000171082	3.54024e-06	0.00810624	0	0.00438024
M00128: Ubiquinone biosynthesis, eukaryotes, chorismate => ubiquinone	0	0.00623234	0.00530454	0	0.00227618	0	0.000910681	0	0	0.00112203	0	0	0.00743957	0	0	0	0.0102124	0	0	0	0.00797156	0	0	0	0
M00129: Ascorbate biosynthesis, animals, glucose-1P => ascorbate	0	0	0	0	0	0	0.0037804	0	0	0.000249179	0	0	0.00490863	0	0.00132342	0	0	0.000514697	0	0	0	0	0	0	0
M00130: Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4	0	0	0.00549444	0.0105899	0.00264877	0	0.00292857	0.00380753	0.0056834	0.0130757	0.00504218	0.00359649	0.00509566	0.0120693	0	0.00360715	0.00547434	0.00552554	0.00680328	0	0.00712872	0	0.00225123	0.00447074	0
M00131: Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol	0	0.00588387	0	0.0122295	0.0063392	0.00609713	0.0112917	0.00378472	0	0.0221965	0	0.00896917	0	0.0112756	0	0	0	0.00782976	0	0	0	0	0.00300699	0	0
M00133: Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine	0	0.0117379	0.015223	0.00938543	0.00567378	0.0108785	0.0199014	0.0103494	0.0284697	0.0242342	0.0202866	0	0.0173374	0	0.00613799	0.0153185	0.0360173	0.0122756	0.0286319	0.0310119	0.0241088	0.0171308	0.0142382	0.0100083	0
M00136: GABA biosynthesis, prokaryotes, putrescine => GABA	0	0	0	0	3.44804e-05	0	0	0.000256645	0	0	0	0	0	0	0	0.0019879	0	0	0	0.000726747	0	0.000131716	2.92975e-05	0	0
M00142: Complex I (NADH dehydrogenase), NADH dehydrogenase I	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0331657	0	0	0	0	0	0	0.0117349	0	0	0	0
M00143: Complex I (NADH dehydrogenase), NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein	0	0.0261037	0	0.0135217	0.00948597	0.0174417	0.0133515	0.0116367	0	0	0	0	0.00605044	0	0	0	0	0	0	0	0.0146998	0	0	0.00826627	0.0254387
M00144: Complex I (NADH dehydrogenase), NADH dehydrogenase I	0	0.015699	0	0	0	0	0	0.00539416	0	2.65474e-06	0	0	0	0	0	0	0	0	0	0	0.0110785	0	0	0	0
M00145: Complex I (NADH dehydrogenase), NADH dehydrogenase I/diaphorase subunit of the bidirectional hydrogenase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00146: Complex I (NADH dehydrogenase), NADH dehydrogenase (ubiquinone) 1 alpha subcomplex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00147: Complex I (NADH dehydrogenase), NADH dehydrogenase (ubiquinone) 1 beta subcomplex	0	0	0	0	0.0216365	0	0	0.0172714	0	0.0702299	0	0.0397565	0.0365106	0	0	0	0	0	0	0	0.0533561	0	0	0.0422719	0
M00148: Complex II (succinate dehydrogenase / fumarate reductase), succinate dehydrogenase (ubiquinone)	0	0	0	0.0177545	0.00604231	0	0	0	0	0	0	0	0.0205039	0	0	0	0	0	0	0	0.0148323	0.0125604	0	0.0209646	0.0253583
M00149: Complex II (succinate dehydrogenase / fumarate reductase), succinate dehydrogenase	0	0.0318346	0	0.0192546	0	0	0.027253	0.0145485	0.0580907	0.0369524	0	0	0	0	0	0.027212	0.0200236	0.0331633	0	0	0	0	0.00112946	0.0206703	0
M00150: Complex II (succinate dehydrogenase / fumarate reductase), fumarate reductase	0	0	0	0	1.4719e-06	0	0	4.09293e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00152: Complex III (Cytochrome bc1 complex)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0124959	0	0	0	0	0	0	0.0198038	0
M00154: Complex IV (Cytochrome c oxidase), cytochrome c oxidase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00155: Complex IV (Cytochrome c oxidase), cytochrome o ubiquinol oxidase/cytochrome c oxidase/quinol oxidase polypeptide	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00156: Complex IV (Cytochrome c oxidase), cytochrome c oxidase, cbb3-type	0	0.0230527	0.0330403	0	0	0.0189587	0.0221153	0	0	0.0102011	0.00578398	0	0.0174955	0.0175328	0	0	0	0	0	0.0113951	0	0.0165121	0.00134113	0.00403333	0
M00157: F-type ATPase, bacteria	0.0360484	0	0.0308536	0.0495034	0.010622	0	0.0249438	0.0302053	0	0	0.00660754	0.0158528	0	0	0.0368847	0	0.012743	0	0	0	0	0	0.0261018	0.0251826	0
M00158: F-type ATPase, eukaryotes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00159: V-type ATPase, prokaryotes	0.0800038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00160: V-type ATPase, eukaryotes	0	0	0	0	0	0.0141737	0	0	0	0	0	0	0	0.043805	0	0	0	0	0	0	0.000152797	0	0	0	0
M00161: Photosystem II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00162: Cytochrome b6f complex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00163: Photosystem I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00164: ATP synthase	0.0360484	0	0.0308536	0.0495034	0.010622	0	0.0249438	0.0302053	0	0	0.00660754	0.0158528	0	0	0.0368847	0	0.012743	0	0	0	0	0	0.0261018	0.0251826	0
M00165: Reductive pentose phosphate cycle (Calvin cycle)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00166: Reductive pentose phosphate cycle, RuBP + CO2 => glyceraldehyde-3P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00167: Reductive pentose phosphate cycle, glyceraldehyde-3P => RuBP	7.44312e-06	0	0	0	0	0	6.85358e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00171: C4-dicarboxylic acid cycle, NAD+ -malic enzyme type	6.02802e-05	0.000881793	0	0.00127894	0.000140576	0.00101695	0	0.000310886	0.000834482	7.07765e-05	0.00140522	0.000467082	0.000158796	0	0.000923554	0	0	0	0.00107176	0	0.000131335	0.000901503	0.000688935	0	0.000345001
M00172: C4-dicarboxylic acid cycle, NADP+ -malic enzyme type	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00173: Reductive citric acid cycle (Arnon-Buchanan cycle)	0	0	0	0	4.68272e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00174: Methane oxidation, methylotroph, methane => CO2	0	0.00560741	0.0131826	0	0.00122781	0.00734164	0.0173129	0.00467597	0.0151229	0.00814868	0.00791068	0.00968292	0.0085558	0	0.0146764	0.0164341	0	0	0.00356705	0.0148613	0.00935625	0.0110834	0.00283694	0.00779728	0.00278999
M00176: Sulfur reduction, sulfate => H2S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00177: Ribosome, eukaryotes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00178: Ribosome, bacteria	0.0491935	0	0	0.209453	0.255219	0.0499316	0	0	0	0	0	0	0	0	0.0753163	0	0	0	0	0	0	0.0930186	0.183421	0	0
