class	Adenoma10.2757.S10.L001	Adenoma11.2775.S11.L001	Adenoma1.2065.S1.L001	Adenoma12.2799.S12.L001	Adenoma13.2803.S13.L001	Adenoma14.2817.S14.L001	Adenoma15.2847.S15.L001	Adenoma16.2873.S16.L001	Adenoma17.2937.S17.L001	Adenoma18.2967.S18.L001	Adenoma19.2971.S19.L001	Adenoma20.2995.S20.L001	Adenoma21.3129.S21.L001	Adenoma2.2113.S2.L001	Adenoma22.3133.S22.L001	Adenoma23.3141.S23.L001	Adenoma24.3217.S24.L001	Adenoma25.3273.S25.L001	Adenoma26.3373.S26.L001	Adenoma27.3379.S27.L001	Adenoma28.3391.S28.L001	Adenoma29.3399.S29.L001	Adenoma30.3509.S30.L001	Adenoma3.2123.S3.L001	Adenoma4.2143.S4.L001	Adenoma5.2243.S5.L001	Adenoma6.2453.S6.L001	Adenoma7.2475.S7.L001	Adenoma8.2555.S8.L001	Adenoma9.2717.S9.L001	Cancer10.2567.S70.L001	Cancer11.2573.S71.L001	Cancer12.2575.S72.L001	Cancer1.2355.S61.L001	Cancer13.2579.S73.L001	Cancer14.2611.S74.L001	Cancer15.2613.S75.L001	Cancer16.2619.S76.L001	Cancer17.2625.S77.L001	Cancer18.2629.S78.L001	Cancer19.2633.S79.L001	Cancer20.2667.S80.L001	Cancer21.2671.S81.L001	Cancer22.2703.S82.L001	Cancer2.2455.S62.L001	Cancer23.2705.S83.L001	Cancer24.2727.S84.L001	Cancer25.2735.S85.L001	Cancer26.2763.S86.L001	Cancer27.2771.S87.L001	Cancer28.2777.S88.L001	Cancer29.2801.S89.L001	Cancer30.2863.S90.L001	Cancer3.2513.S63.L001	Cancer4.2521.S64.L001	Cancer5.2523.S65.L001	Cancer6.2535.S66.L001	Cancer7.2537.S67.L001	Cancer8.2543.S68.L001	Cancer9.2547.S69.L001	Healthy10.3087.S40.L001	Healthy11.3123.S41.L001	Healthy1.2027.S31.L001	Healthy12.3211.S42.L001	Healthy13.3241.S43.L001	Healthy14.3245.S44.L001	Healthy15.3247.S45.L001	Healthy16.3251.S46.L001	Healthy17.3257.S47.L001	Healthy18.3293.S48.L001	Healthy19.3339.S49.L001	Healthy20.3341.S50.L001	Healthy21.3347.S51.L001	Healthy22.3363.S52.L001	Healthy2.2779.S32.L001	Healthy23.3367.S53.L001	Healthy24.3403.S54.L001	Healthy25.3405.S55.L001	Healthy26.3407.S56.L001	Healthy27.3439.S57.L001	Healthy28.3499.S58.L001	Healthy29.3529.S59.L001	Healthy30.3291.66.S60.L001	Healthy3.3021.S33.L001	Healthy4.3023.S34.L001	Healthy5.3043.S35.L001	Healthy6.3061.S36.L001	Healthy7.3063.S37.L001	Healthy8.3073.S38.L001	Healthy9.3075.S39.L001
Firmicutes_Clostridia	18459	16008	10842	13357	12437	11868	14328	8208	17131	19632	8712	11378	5774	16466	15412	12139	8995	11581	9395	14596	12141	20383	12582	16187	20698	7878	18869	15073	16732	11331	12310	9720	14530	11547	16776	9177	9933	16987	11916	10510	2150	12513	4743	9310	11690	16361	16705	10772	10213	13846	9799	19836	10501	18083	18538	8470	7916	4745	14039	10038	10099	9715	12930	20304	6625	9547	17492	6960	7916	9153	11845	13537	17726	11239	20152	10897	16076	15713	10088	18209	15390	17900	9722	18374	18888	16205	6874	19677	6761	7357
Firmicutes_Erysipelotrichia	224	344	169	185	295	574	571	512	114	293	280	49	103	442	309	1688	181	417	400	257	197	137	37	140	151	232	440	31	371	139	77	199	82	164	284	45	200	135	272	177	160	31	103	186	91	100	98	287	1259	230	26	86	334	553	367	31	165	37	924	52	300	193	161	622	118	172	812	178	386	418	140	291	564	2266	116	684	121	445	138	265	60	1332	346	843	1094	462	414	311	45	57
Firmicutes_Incertae_sedis	0	1	26	0	45	1	0	0	1	0	5	0	0	24	2	0	1	12	16	0	15	0	1	1	0	6	0	1	6	18	0	3	0	12	0	0	11	0	4	20	3	0	8	0	12	0	4	0	0	0	0	0	1	0	8	3	0	0	0	4	0	2	0	0	0	0	1	0	8	9	1	0	0	0	2	15	6	0	0	1	22	1	0	0	0	37	0	0	0	0
Firmicutes_Negativicutes	1487	478	797	314	10	2434	75	474	2765	36	42	29	84	108	88	2071	493	2051	276	1020	2888	522	413	328	192	1262	336	4334	1611	26	1057	1184	1484	993	1079	1432	400	1822	288	3396	8902	1397	1083	2104	130	41	1268	19	183	13	2299	1093	433	964	117	2192	490	3	1796	64	850	584	390	561	1316	1254	113	246	740	740	1314	198	292	638	444	209	36	66	1712	119	740	85	759	693	208	2514	1373	48	3021	3379
Firmicutes_unassigned	0	1	50	0	20	6	0	0	1	0	18	0	0	97	63	1	98	119	171	166	41	0	0	1	0	47	0	0	39	182	23	1	62	172	110	40	139	0	0	2	0	0	15	0	145	0	22	1	3	0	1	0	96	134	34	0	45	0	0	11	55	0	9	148	0	1	120	0	9	56	101	166	3	5	53	151	117	0	0	236	145	93	54	93	19	35	1	0	0	47
Fusobacteria_Fusobacteria	0	0	0	0	0	2	0	29	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	4	0	0	0	4	3	3	6	10	4	7	2	402	40	0	0	59	8953	2	503	3	9	1	3	62	0	1	0	0	1	16	6	1	2	14060	13	23	0	0	2	0	2	1	2	0	0	0	0	0	44	2	0	0	0	7	1	1	0	0	0	0	0	0	381	1	0	0
Lentisphaerae_Lentisphaeria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Planctomycetes_Planctomycetacia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria_Alphaproteobacteria	18	526	9	1	1018	17	81	34	0	53	92	1	81	131	89	209	30	1037	188	0	508	14	124	188	394	92	5	405	60	31	522	308	3	70	99	42	102	313	167	117	0	319	23	204	22	8	436	64	1	5	46	1	130	108	221	0	238	0	498	21	208	14	373	18	44	233	252	2	6	48	104	76	413	434	276	78	562	150	0	487	245	318	234	492	467	1	0	106	1863	131
Proteobacteria_Betaproteobacteria	25	0	16	7	15	0	6	1	0	143	14	2	9	10	11	2	3	15	4	3	8	42	53	1	2	17	58	0	0	123	81	11	4	98	83	131	3	0	131	24	591	272	0	362	24	8	8	346	3	217	3	28	85	7	25	97	20	0	7	10	183	1	0	79	758	3	20	30	36	74	160	174	35	69	61	7	280	427	28	5	311	0	268	11	48	3	0	231	261	269
Proteobacteria_Deltaproteobacteria	0	10	169	3	79	74	0	1	43	621	7	0	0	42	18	0	1	61	470	24	131	8	0	92	8	288	22	0	26	166	0	0	0	41	405	388	227	1	82	30	79	283	119	135	5	69	28	1	0	74	0	0	113	8	50	214	10	54	222	0	62	3	0	3	19	7	4	0	101	77	218	26	199	3	3	108	15	13	1	2	56	45	388	5	0	305	159	0	56	110
Proteobacteria_Epsilonproteobacteria	0	0	1	0	0	0	0	2	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	1	0	0	0	0	0	4	0	136	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	3	1	4	1	0	1	0	0	3	6	0	1	0	0	0	0	0	0	0	8	0	2
Proteobacteria_Gammaproteobacteria	226	485	3337	2910	760	1369	7006	8796	272	271	35	11	186	29	41	356	728	146	216	302	7	74	222	58	119	576	120	148	96	54	171	1918	54	197	200	1073	42	3253	8	6742	35	16	61	72	457	2587	86	4990	9730	887	4	85	26	78	55	30	641	3503	766	165	73	2008	25	114	14	403	381	433	51	7	373	3	117	1227	148	67	689	800	189	30	44	7	640	1165	90	63	1713	411	89	1559
Proteobacteria_unassigned	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0
Synergistetes_Synergistia	0	0	100	0	2	0	0	0	0	0	0	0	0	0	0	0	0	24	8	0	6	0	0	0	0	1	0	1	0	44	0	0	0	1	0	0	214	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	11	0	66	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	3	0	62	0	0	0	0	0	8	0	0	0	2	0	0	0	0
TM7_Incertae_sedis	0	0	0	0	0	0	0	5	0	0	0	2	0	0	0	1	0	0	0	1	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
Tenericutes_Mollicutes	0	428	12	0	77	18	0	52	0	0	0	1	1	1	581	1	70	24	106	0	897	0	0	0	0	46	0	0	1	3	0	0	0	219	0	32	0	0	0	0	0	2	1	0	1	3	77	1	0	0	195	2	0	0	90	0	221	1	0	0	0	0	0	2	0	0	1523	0	57	73	35	0	5	0	195	105	66	0	0	0	161	131	0	1	7	9	0	0	0	0
Verrucomicrobia_Opitutae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Verrucomicrobia_Verrucomicrobiae	60	1251	356	7	701	199	6	2513	502	5	6363	2929	16	2918	83	18	4063	2822	1286	2805	603	4	3	5	970	276	3764	11	526	1013	1231	4	1328	663	3	11	2516	39	1297	46	5	23	1476	5847	0	18	18	5	76	3139	8101	257	26	718	2	113	2985	33	65	3	545	2	4181	2	1	2334	4	4	1299	357	4	2036	4	153	1378	5513	116	3	2	706	2440	1067	302	0	321	3	4	3	2309	1
unassigned_unassigned	184	21	1790	1	265	1191	1252	253	31	11	1686	3	45	1579	420	613	29	647	234	52	168	13	146	344	12	105	4	721	441	206	561	8	822	554	547	231	237	94	419	94	5	234	56	43	1563	0	77	4	3	886	25	9	936	140	74	6	211	2	329	52	46	6	94	3	90	151	407	5	119	227	623	266	130	28	205	1333	43	268	426	185	828	219	90	60	345	257	1	13	75	400
