species	SRR317085	SRR317086	SRR317087	SRR317088	SRR317089	SRR317090	SRR317091	SRR317092	SRR317093	SRR317094	SRR317095	SRR317096	SRR317097	SRR317098	SRR317099	SRR317100	SRR317101	SRR317102	SRR317103	SRR317104	SRR317105	SRR317106	SRR317107	SRR317108	SRR317109
Arthrobacter aurescens	0	35	0	9	2	67	3	0	0	4	1	4	1	1	1	0	0	0	1	37	3	1	9	7	0
Arthrobacter chlorophenolicus	0	6	0	0	0	0	2	0	0	0	0	1	1	0	33	0	0	0	0	0	0	51	5	0	0
Arthrobacter phenanthrenivorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	6	0	0	63	0
Arthrobacter sp. FB24	0	0	0	0	0	1	0	1	0	0	0	0	0	3	22	0	0	0	6	0	9	27	0	0	10
Arthroderma benhamiae	0	4	2	0	3	5	2	4	7	1	0	3	4	4	1	6	3	4	5	3	2	0	1	7	0
Arthroderma otae	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Arthrospira maxima	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Aspergillus carbonarius	0	531	410	710	14359	2278	150	2687	200	59	43	123	319	70	304	504	134	61	69	68	77	150	3959	72	66
Aspergillus clavatus	0	4	1	0	0	1	5	2	1	2	1	2	5	0	2	0	4	0	1	0	1	4	0	1	0
Aspergillus flavus	0	0	0	1	2	3	1	2	0	0	1	1	0	0	1	3	0	0	3	0	1	0	0	0	0
Aspergillus fumigatus	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0
Aspergillus nidulans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
Aspergillus niger	1	4	1	0	3	1	0	1	1	5	3	1	6	0	0	0	2	0	2	1	2	3	6	1	0
Aspergillus tubingensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Asticcacaulis excentricus	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0
Atopobium parvulum	0	0	0	64	11	15	0	10	0	0	1	0	1	0	36	0	9	0	0	15	2	0	255	0	0
Atopobium rimae	0	0	0	0	0	1	1	0	0	0	0	0	8	0	1	0	0	0	0	1	0	0	2	0	0
Aureoumbra lagunensis	0	0	0	7	19	4	0	1	0	0	0	8	0	0	28	0	0	0	0	0	0	1	54	0	0
Azoarcus sp. BH72	0	0	0	17	15	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Azorhizobium caulinodans	0	0	0	0	0	0	0	0	0	0	9	12	0	0	0	1	2	7	0	1	2	0	0	0	0
Azospira oryzae	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Azospirillum brasilense	0	0	0	0	0	0	0	2	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
Azospirillum lipoferum	0	1	3	0	12	2	0	1	4	2	0	5	3	0	0	6	4	0	0	0	0	0	1	2	0
Azotobacter vinelandii	0	5	5	0	5	2	21	0	3	3	7	1	4	0	5	2	1	7	1	0	3	12	3	1	3
Babesia bovis	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
Bacillus cellulosilyticus	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus cereus group	0	0	0	2	43	1	1	0	3	0	0	4	0	0	6	0	0	0	0	0	0	13	1	0	0
Bacillus clausii	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus coagulans	0	0	5	29	45	0	0	0	0	0	0	11	74	0	7	0	0	0	0	0	0	11	36	0	0
Bacillus coahuilensis	0	0	0	0	39	11	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	2	0	0
Bacillus halodurans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Bacillus megaterium	0	0	0	0	0	5	0	0	1	1	0	0	4	0	0	0	0	0	0	0	0	0	21	0	0
Bacillus pseudofirmus	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus sp. B14905	0	0	0	5	0	0	0	1	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus sp. JS	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus sp. NRRL B-14911	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus sp. SG-1	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Bacillus subtilis group	1	0	0	2	50	0	0	1	1	0	0	1	0	0	6	0	0	2	0	0	5	16	10	8	12
Bacteroides caccae	0	0	15	12536	907	253	1	19	0	1	0	0	4	0	0	18	4	1	21	0	0	0	72	0	0
Bacteroides fragilis	0	28071	675	20704	231869	23608	816	748	2159	363	402	164	18040	6342	362	1012	1374	493	10204	462	514	155331	359646	1151	2184
Bacteroides helcogenes	0	116	18	35	347	53	0	0	0	0	0	112	64	1	50	0	0	0	54	8	0	93	29	0	1
Bacteroides intestinalis	0	9	0	65	26	156	2	1	15	0	0	0	2	0	3	0	0	21	0	0	0	0	160	0	0
Bacteroides salanitronis	0	0	0	11	24	0	0	0	0	0	0	0	0	0	23	0	0	0	0	1	0	9	173	0	2
Bacteroides sp. 2_1_16	0	0	0	9	6	1	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	4	0	0
Bacteroides sp. 2_1_22	0	4	12	356	7484	566	13	70	2	4	0	3	291	0	186	0	79	0	0	1	2	207	365	22	0
Bacteroides sp. 2_1_33B	0	2246	223	667	14525	3451	34	47	0	25	0	76	1673	462	28	0	59	4	0	0	4	155	684	76	0
Bacteroides sp. 3_1_33FAA	0	115	476	4463	40621	14788	340	4952	9	177	72	199	8351	25	1387	100	182	75	9	268	69	3	609	383	267
Bacteroides thetaiotaomicron	0	2042	0	194	4263	1290	209	3	41	201	14	378	4387	311	8515	1	58	0	0	0	0	213	7	300	62
Bacteroides vulgatus	0	0	152	718	4019	6136	105	1385	0	1	0	8	69	0	184	2	1	2	0	8	0	0	74	0	1
Batrachochytrium dendrobatidis	0	4	2	0	5	5	2	2	7	6	2	4	3	0	2	0	3	3	1	1	4	0	0	3	1
Beggiatoa sp. PS	0	0	0	0	0	1	0	3	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
Beggiatoa sp. SS	0	3	1	0	0	1	22264	3	249	1203	4325	12591	0	5	25299	0	13	1	0	0	75	6	7	104	0
Belliella baltica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0
Bermanella marisrubri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0
Beutenbergia cavernae	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
Bifidobacterium adolescentis	0	0	0	2	0	1	0	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0
Bifidobacterium animalis	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	1	0	7	0	0
Bifidobacterium asteroides	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bifidobacterium bifidum	0	1046	0	336	1	15	0	307	9	0	0	0	0	185	0	0	0	3	0	94	0	0	446	0	0
Bifidobacterium breve	0	0	5	0	45	0	0	6808	3	0	0	0	0	0	0	0	0	1	0	442	0	0	0	0	0
Bifidobacterium dentium	0	32	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	776	0	0	68	0	0
Bifidobacterium gallicum	0	0	0	0	0	2	4	3	1	0	0	2	1	0	1	0	0	0	0	0	0	0	51	0	0
Bifidobacterium longum	0	1669	0	1413	596	797	0	56	0	3	1	4	0	269	2	0	3	0	0	21	0	0	1304	0	6
Bifidobacterium pseudocatenulatum	0	0	0	3	0	116	0	0	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
Bigelowiella natans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0
Blastococcus saxobsidens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
Blastocystis sp. DMP/02-328	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Blastomyces dermatitidis	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Blattabacterium sp. (Blattella germanica)	0	0	0	5	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	7	0	0
Blattabacterium sp. (Mastotermes darwiniensis)	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Bordetella avium	0	0	0	1	122	0	0	41	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bordetella bronchiseptica	0	0	0	64	9	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0
Bordetella parapertussis	0	1	1	0	2	0	2	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0
Bordetella pertussis	0	0	0	2	361	12	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
Bordetella petrii	0	0	0	0	1	0	0	6	8	0	1	0	0	0	5	1	0	0	0	10	0	1	0	2	0
Borrelia burgdorferi group	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Botrytis cinerea	3	1	0	1	1	3	0	1	0	21	0	1	11	1	1	2	2	0	1	0	2	0	0	14	9
Brachybacterium faecium	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0
Bradyrhizobium diazoefficiens	0	6	0	0	0	8	9	8	2	5	6	1	0	0	11	0	5	5	0	0	0	0	1	1	0
Bradyrhizobium japonicum	0	4	0	0	0	1	0	13	1	0	0	0	2	0	3	0	1	1	1	0	0	0	1	0	0
Bradyrhizobium sp. BTAi1	3	200	63	104	11	33	28	10	46	22	39	112	137	20	16	7	70	10	8	28	10	17	10	62	9
Bradyrhizobium sp. ORS 278	0	2	0	0	30	0	11	0	0	0	1	0	0	0	1	0	0	0	3	0	0	0	0	1	0
Bradyrhizobium sp. S23321	0	2	0	5	0	0	1	0	6	0	0	4	0	0	3	0	0	0	0	2	4	5	0	0	0
Brevibacillus brevis	0	0	0	1	82	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brevibacterium linens	0	0	0	1	0	4	0	1	0	0	1	0	0	0	0	0	0	5	0	0	0	1	1	0	0
Brevundimonas sp. BAL3	0	0	1	2	0	5	1	0	0	0	0	0	3	0	0	0	3	8	0	1	3	1	1	28	0
Brevundimonas subvibrioides	0	1	0	1	1	1	0	0	0	0	0	3	4	0	0	1	0	1	1	0	0	0	0	2	0
Brucella abortus	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
Brucella melitensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Brucella pinnipedialis	0	0	0	0	0	0	7	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
Bryopsis hypnoides	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
Burkholderia cepacia complex	17	126	104	176	5652	327	849	1884	224	108	66	201	454	44	483	116	217	121	72	107	240	128	274	111	57
Burkholderia gladioli	0	0	40	1	13	73	29	1	0	0	0	1	0	2	4	0	0	0	1	1	3	2	0	6	20
Burkholderia glumae	0	2	0	0	0	8	1	0	0	0	0	0	1	0	1	0	1	0	2	0	0	19	0	3	1
Burkholderia graminis	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
Burkholderia phenoliruptrix	0	0	0	29	242	27	9	25	0	8	0	10	0	1	4	0	18	1	0	0	0	0	1	0	2
Burkholderia phymatum	0	0	1	0	265	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia phytofirmans	0	0	0	0	6	0	34	8	0	0	0	0	1	0	0	0	0	0	1	8	0	0	2	1	0
Burkholderia rhizoxinica	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia sp. CCGE1001	0	0	0	25	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia sp. CCGE1002	0	1	5	0	2	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Burkholderia sp. CCGE1003	0	1	0	87	344	8	3	1	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0
Burkholderia sp. H160	0	50	23	63	150	115	117	138	39	56	52	67	91	25	29	32	34	20	33	18	46	30	39	31	31
Burkholderia sp. KJ006	0	0	0	0	17	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	71	0	0
Burkholderia sp. YI23	0	1	14	0	7	231	0	46	0	0	0	1	1	0	1	0	1	1	0	0	0	0	53	0	0
Burkholderia ubonensis	0	0	0	0	2	1	3	3	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Burkholderia xenovorans	0	0	0	89	2	0	0	0	1	0	0	9	2	0	1	0	1	0	1	0	0	0	0	0	0
Butyrivibrio proteoclasticus	0	1	0	11	43	2	0	5	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0
Cafeteria roenbergensis	0	0	0	6	105	36	0	21	0	0	0	0	0	0	0	0	1	0	0	1	0	0	8	0	0
Caldanaerobacter subterraneus	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	1	0
Caldicellulosiruptor hydrothermalis	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Caldicellulosiruptor kristjanssonii	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Caldicellulosiruptor lactoaceticus	0	4	0	39	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Caldicellulosiruptor obsidiansis	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Caldicellulosiruptor owensensis	0	0	0	0	263	100	0	2	0	0	0	0	38	0	0	0	0	0	0	0	0	0	7	0	0
Caldicellulosiruptor saccharolyticus	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Calyptogena okutanii thioautotrophic gill symbiont	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Caminibacter mediatlanticus	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Campylobacter concisus	0	0	0	16	1	1	0	2	0	0	3	0	1	0	16	0	0	0	0	0	0	0	1	0	0
Campylobacter curvus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	278	0	0	0	0	0	0
Campylobacter fetus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	50	102	0	0	0	0	0	0
Campylobacter gracilis	0	0	0	0	60	0	2	3	4	0	1	0	0	0	60	0	0	18	131	0	0	35	79	0	0
Campylobacter hominis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0
Campylobacter jejuni	0	7	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	20	0	0	0	0	0	0
Campylobacter lari	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0
Campylobacter rectus	0	0	2	0	1	12	0	0	0	0	0	0	5	0	2	0	4	1	21	0	0	0	0	0	0
Campylobacter showae	0	0	2	0	0	0	0	0	0	0	0	2	0	0	13	0	0	0	1	0	0	3	0	0	0
Campylobacter upsaliensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	9	25	0	0	0	0	0	0
Candida albicans	0	0	0	5	5	0	0	2	0	1	0	1	2	0	0	0	1	0	0	0	2	0	0	0	1
Candida glabrata	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candida tropicalis	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Candidatus Accumulibacter phosphatis	0	0	0	0	103	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Amoebophilus asiaticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Candidatus Arthromitus sp. SFB-mouse	0	0	0	23	0	0	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	108	20	0	0
Candidatus Azobacteroides pseudotrichonymphae	0	0	0	12	2	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	0	0
Candidatus Desulforudis audaxviator	0	0	0	0	7	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Endolissoclinum faulkneri	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Candidatus Endoriftia persephone	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Methylomirabilis oxyfera	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Midichloria mitochondrii	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Moranella endobia	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Pelagibacter sp. IMCC9063	0	9	0	8	0	0	15	0	0	2	0	9	17	3	8	0	6	0	0	0	8	17	14	0	1
Candidatus Ruthia magnifica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Candidatus Sulcia muelleri	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
Capnocytophaga canimorsus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	4	0	0
