Count	SRR317085	SRR317086	SRR317087	SRR317088	SRR317089	SRR317090	SRR317091	SRR317092	SRR317093	SRR317094	SRR317095	SRR317096	SRR317097	SRR317098	SRR317099	SRR317100	SRR317101	SRR317102	SRR317103	SRR317104	SRR317105	SRR317106	SRR317107	SRR317108	SRR317109
taxid:1093787|Pseudomonas_aeruginosa_DK2	0	14	0	0	20	0	14	0	2	0	5	2	2	0	1	6	1	14	1	8	0	1	0	1	0
taxid:1094466|Flavobacterium_indicum_GPTSA100-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
taxid:1094508|Thermoanaerobacterium_saccharolyticum_JW/SL-YS485	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1097668|Burkholderia_sp._YI23	0	1	14	0	7	231	0	46	0	0	0	1	1	0	1	0	1	1	0	0	0	0	53	0	0
taxid:1104320|Brucella_abortus_A13334	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1104322|Lactococcus_lactis_subsp._cremoris_A76	8	2	0	0	0	0	0	0	0	0	0	1	172	0	0	5	22	14	4	0	3	0	14	27	0
taxid:1104326|Enterobacter_cloacae_subsp._dissolvens_SDM	0	0	0	0	351	0	0	0	0	0	0	0	0	0	22	0	0	1	0	0	0	0	61	0	0
taxid:1105104|Rickettsia_rickettsii_str._Brazil	0	0	4	0	0	0	0	0	0	0	0	0	0	9	0	0	0	6	0	0	0	0	0	0	0
taxid:1105107|Rickettsia_canadensis_str._CA410	0	8	2	7	15	16	28	6	1	22	4	19	24	0	25	3	9	2	5	4	12	25	1	0	5
taxid:1105112|Rickettsia_massiliae_str._AZT80	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
taxid:1107880|Leuconostoc_mesenteroides_subsp._mesenteroides_J18	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	7	0	1
taxid:1110502|Tistrella_mobilis_KA081020-065	0	9	0	0	5	1	0	6	0	0	1	3	3	0	0	0	0	0	0	0	1	0	0	0	0
taxid:1111068|Geobacillus_thermoleovorans_CCB_US3_UF5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
taxid:1111069|Thermus_sp._CCB_US3_UF1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0
taxid:1112204|Gordonia_polyisoprenivorans_VH2	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1114965|Streptococcus_parasanguinis_FW213	0	0	0	1	0	0	0	0	4	0	35	0	9	0	33	0	8	2	0	0	0	13	0	16	0
taxid:1114966|Propionibacterium_acnes_TypeIA2_P.acn33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0
taxid:1114967|Propionibacterium_acnes_TypeIA2_P.acn17	0	1	0	4	10	11	0	1	11	4	6	2	1	0	44	0	2	20	0	16	0	29	0	9	0
taxid:1114969|Propionibacterium_acnes_TypeIA2_P.acn31	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0
taxid:1114970|Pseudomonas_fluorescens_F113	1	52	39	13	278	59	176	171	238	92	320	368	52	26	647	119	81	73	11	91	202	74	37	143	154
taxid:1116231|Streptococcus_macedonicus_ACA-DC_198	0	41	0	0	0	0	0	0	0	0	2	0	0	0	4	0	1	0	0	0	0	0	0	0	0
taxid:1116391|Paenibacillus_mucilaginosus_3016	0	0	0	121	263	81	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	20	0	0
taxid:1117943|Sinorhizobium_fredii_HH103	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1
taxid:1118959|Staphylococcus_aureus_subsp._aureus_M013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
taxid:1123519|Pseudomonas_stutzeri_DSM_10701	0	1	4	0	0	2	1	1	0	1	2	2	2	0	7	0	2	0	0	0	1	0	0	1	1
taxid:1123523|Staphylococcus_aureus_11819-97	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1125630|Klebsiella_pneumoniae_subsp._pneumoniae_HS11286	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
taxid:1127744|Bacillus_sp._JS	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1128398|Clostridium_acidurici_9a	0	0	0	20	0	0	0	0	0	0	0	0	1	0	9	0	0	0	0	0	0	0	0	0	0
taxid:1130804|Streptococcus_pneumoniae_ST556	0	0	0	0	6	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1131462|Dehalobacter_sp._CF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
taxid:1133849|Nocardia_brasiliensis_ATCC_700358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0
taxid:1133850|Streptomyces_hygroscopicus_subsp._jinggangensis_5008	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
taxid:1133852|Escherichia_coli_O104:H4_str._2011C-3493	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1133853|Escherichia_coli_O104:H4_str._2009EL-2071	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1134782|Escherichia_coli_O104:H4_str._2009EL-2050	0	0	0	0	1	0	23	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	15	5
taxid:1138308|Cronobacter_sakazakii_ES15	0	0	11	0	0	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	0	0	4	0
taxid:1144275|Corallococcus_coralloides_DSM_2259	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:114615|Bradyrhizobium_sp._ORS_278	0	2	0	0	30	0	11	0	0	0	1	0	0	0	1	0	0	0	3	0	0	0	0	1	0
taxid:1146883|Blastococcus_saxobsidens_DD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
taxid:1147128|Bifidobacterium_asteroides_PRL2011	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1150469|Rhodospirillum_photometricum_DSM_122	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1151116|Rahnella_aquatilis_HX2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	30	0	0
taxid:1155766|Enterococcus_faecium_Aus0004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	19	11	0	0
taxid:1157951|Providencia_stuartii_MRSN_2154	0	399	0	0	24	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0
taxid:1163399|Stenotrophomonas_maltophilia_D457	7	15	6	0	0	20	2	7	11	0	18	10	5	7	281	0	23	56	5	17	0	28	14	23	16
taxid:1165456|Saccharomyces_kudriavzevii_ZP591	0	229	128	71	135	142	299	156	134	171	160	264	272	142	89	149	190	153	238	82	278	137	106	144	153
taxid:1168290|Bifidobacterium_animalis_subsp._lactis_B420	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1171373|Propionibacterium_acidipropionici_ATCC_4875	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0
taxid:1173025|Geitlerinema_sp._PCC_7407	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1173263|Synechococcus_sp._PCC_7502	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:11834|RD114_retrovirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
taxid:1185652|Sinorhizobium_fredii_USDA_257	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1187956|Streptococcus_thermophilus_MN-ZLW-002	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
taxid:1191061|Klebsiella_oxytoca_E718	1	31	60	0	0	131	0	0	1	3	0	0	0	101	106	0	1	32	3	0	11	7	0	11	1
taxid:1191523|Melioribacter_roseus_P3M-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0
taxid:1193292|Klebsiella_pneumoniae_subsp._pneumoniae_1084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0
taxid:1193729|Candidatus_Endolissoclinum_patella_L2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
taxid:1195464|Bacillus_thuringiensis_MC28	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
taxid:1196325|Pseudomonas_putida_DOT-T1E	0	0	1	0	1	3	1	1	1	2	9	5	0	0	4	3	3	1	1	0	1	1	0	3	0
taxid:1196835|Pseudomonas_stutzeri_CCUG_29243	0	14	2	2	4	11	8	10	1	3	4	2	5	0	6	4	9	1	4	6	0	19	2	8	1
taxid:1198114|Granulicella_tundricola_MP5ACTX9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
taxid:1201032|Campylobacter_jejuni_subsp._jejuni_PT14	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	20	0	0	0	0	0	0
taxid:120574|Streptococcus_phage_MM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
taxid:1205910|Nocardiopsis_alba_ATCC_BAA-2165	1	0	0	4	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
taxid:1206105|Enterococcus_faecalis_D32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
taxid:1207075|Pseudomonas_sp._UW4	0	2006	1201	763	1978	2055	6723	1946	1535	2501	2001	2959	2517	627	5812	877	1270	718	982	531	1099	2688	595	892	1053
taxid:1208660|Bordetella_parapertussis_Bpp5	0	1	1	0	1	0	2	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0
taxid:1209989|Tepidanaerobacter_acetatoxydans_Re1	0	0	0	6	2	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0
taxid:1211025|Enterobacter_cloacae_subsp._cloacae_ENHKU01	8	0	0	0	0	0	0	0	3	0	0	0	0	38	22	0	0	2	0	2	0	0	0	0	1
taxid:1211776|Campylobacter_jejuni_subsp._jejuni_NCTC_11168-BN148	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1217984|Bacillus_cereus_FRI-35	0	0	0	0	41	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1218175|Bacillus_thuringiensis_HD-771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0
taxid:1218933|Pectobacterium_carotovorum_subsp._carotovorum_PCC21	1	13	0	0	63	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
taxid:1224746|Gluconobacter_oxydans_H24	0	0	0	0	40	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
taxid:122586|Neisseria_meningitidis_MC58	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:122587|Neisseria_meningitidis_Z2491	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1228997|Riemerella_anatipestifer_RA-CH-1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1229205|Burkholderia_phenoliruptrix_BR3459a	0	0	0	29	242	27	9	25	0	8	0	10	0	1	4	0	18	1	0	0	0	0	1	0	2
taxid:1229492|Staphylococcus_aureus_08BA02176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0
taxid:1229785|Burkholderia_pseudomallei_BPC006	0	1	0	18	2	8	2	17	0	0	1	1	15	0	3	0	0	1	0	0	0	0	0	2	1
taxid:1230383|Malassezia_sympodialis_ATCC_42132	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0
taxid:1231389|Streptococcus_agalactiae_SA20-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0
taxid:1234380|Propionibacterium_acnes_C1	0	0	0	0	0	0	0	0	0	0	0	0	8	11	0	0	1	0	11	1	0	0	0	0	0
taxid:12390|Lactococcus_phage_phiLC3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:12509|Epstein-Barr_virus_type_2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:126793|Plasmodium_vivax_Sal-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
taxid:1280|Staphylococcus_aureus	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1290391|Botrytis_cinerea_(T4)	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
taxid:129951|Human_adenovirus_C	7	0	0	0	0	1	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	1	0	2	9
taxid:134676|Actinoplanes_sp._SE50/110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0
taxid:13684|Phaeosphaeria_nodorum	0	9	0	1	1	0	3	0	0	0	2	1	0	0	2	4	4	0	1	0	1	0	1	1	0
taxid:137722|Azospirillum_sp._B510	0	1	3	0	8	0	0	0	4	0	0	2	2	0	0	0	0	0	0	0	0	0	1	0	0
taxid:138119|Desulfitobacterium_hafniense_Y51	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0
taxid:146827|Corynebacterium_simulans	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0
taxid:1511|Clostridium_sticklandii	0	0	1	62	564	0	0	7	0	0	0	0	12	0	0	0	0	0	0	12	0	0	441	0	0
taxid:153948|Nitrosomonas_sp._AL212	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:155864|Escherichia_coli_O157:H7_EDL933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0
taxid:158189|Sphaerochaeta_globosa_str._Buddy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
taxid:159087|Dechloromonas_aromatica_RCB	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
