PercentCoverage	MMRS11288076ST	MMRS11664448ST	MMRS11932626ST	MMRS12272136ST	MMRS14379078ST	MMRS14602194ST	MMRS15137911ST	MMRS16644320ST	MMRS17603756ST	MMRS17963147ST	MMRS18295921ST	MMRS20257302ST	MMRS21365932ST	MMRS24340226ST	MMRS25211151ST	MMRS25641480ST	MMRS29805707ST	MMRS31306426ST	MMRS32573774ST	MMRS33294861ST	MMRS34525504ST	MMRS34569532ST	MMRS35808664ST	MMRS36405092ST	MMRS38861560ST	MMRS38954404ST	MMRS39415781ST	MMRS39582183ST	MMRS40913371ST	MMRS41266697ST	MMRS41711735ST	MMRS42570301ST	MMRS42780924ST	MMRS43563715ST	MMRS43939546ST	MMRS44197125ST	MMRS44203591ST	MMRS44587603ST	MMRS47662059ST	MMRS47685461ST	MMRS48639115ST	MMRS51307502ST	MMRS51410669ST	MMRS51728985ST	MMRS51737257ST	MMRS54246132ST	MMRS54316675ST	MMRS55294627ST	MMRS56137463ST	MMRS57276462ST	MMRS57569834ST	MMRS59699117ST	MMRS61683006ST	MMRS62192467ST	MMRS62376181ST	MMRS62666492ST	MMRS64281211ST	MMRS64281551ST	MMRS65205033ST	MMRS65742083ST	MMRS65862658ST	MMRS65945127ST	MMRS66868025ST	MMRS67096717ST	MMRS67690541ST	MMRS68630931ST	MMRS68910755ST	MMRS71238091ST	MMRS71762412ST	MMRS72802364ST	MMRS72980899ST	MMRS73787048ST	MMRS77018926ST	MMRS77321055ST	MMRS77487595ST	MMRS78791111ST	MMRS79893829ST	MMRS80093644ST	MMRS81130264ST	MMRS81135225ST	MMRS81671217ST	MMRS84085284ST	MMRS84159866ST	MMRS84954772ST	MMRS85382779ST	MMRS85438660ST	MMRS85548821ST	MMRS86168210ST	MMRS95277876ST
taxid:1005090|Buchnera_aphidicola_str._Ak_(Acyrthosiphon_kondoi)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0136	0	0	0	0	0	0.0138
taxid:1006007|Bacillus_megaterium_WSH-002	0.0119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0138	0	0.00329999999999	0	0	0	0	0	0	0.0893	0	0.0048	0	0	0	0	0.00520000000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0018	0.0018	0	0	0	0	0	0.0062	0.032	0	0	0	0	0.0018	0	0	0	0.0131	0	0.0035	0	0.0016	0	0	0
taxid:1006551|Klebsiella_oxytoca_KCTC_1686	0	0.066	0	0	0	0	0	0	0	0.0811	0	0	0	0	0	0.0015	0	0	0	0	0	0	0.0075	0	0	0.0015	0	0	0	0.003	0	0	0	0	0.0073	0	0	0.012	0.0015	0	0	0	0	0.0015	0	0.0271	0	0	0.0206	0.0014	0.0089	0	0	0	0	0	0	0	0	0.0268	0	0	0.0046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0014	0	0	0	0	0	0.7471	0
taxid:1007064|Streptococcus_suis_ST3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0399	0	0	0.0222	0.0044	0	0.0817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013	0.0044	0	0.0044	0	0.0207	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0036	0	0	0	0	0	0	0.0044	0	0	0	0.0042
taxid:1007105|Pusillimonas_sp._T7-7	0	0	0	0	0	0	0	0	0	0	0.0023	0	0.0022	0	0	0	0	0	0	0	0	0.0023	0.0106	0	0	0	0	0	0	0	0	0.0023	0	0.0023	0	0	0	0	0.0021	0	0	0	0.0023	0.00289999999999	0	0	0	0	0	0	0	0	0	0	0.0115	0	0	0.0063	0	0	0.00869999999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1008297|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1112	0	0	0	0.0226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1008459|Taylorella_asinigenitalis_MCE3	0	0	0	0	0	0	0	0	0	0.0053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0055	0	0	0	0	0	0	0	0	0.0217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:100901|Wolbachia_endosymbiont_of_Onchocerca_ochengi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1009464|Gardnerella_vaginalis_HMP9231	0	0	0	0	0	0	0	0	0.0567	0	0	0	0	0	0	0.0828	0	0.00520000000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00520000000001	0	0	0	0	0	0.00520000000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00520000000001	0	0	0	0	0	0
taxid:1009846|Burkholderia_cepacia_GG4	0	0	0.0051	0	0	0.0014	0.0043	0	0.0096	0	0	0.0028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0096	0	0.0041	0	0	0	0	0	0	0	0.0123	0	0	0.00559999999999	0	0	0.004	0	0	0.0014	0	0	0	0	0	0	0	0.0078	0	0	0	0.0014	0	0.0012	0	0	0.0064	0	0	0	0	0.00289999999999	0	0	0	0	0	0	0	0.0014	0	0.0014	0	0	0	0	0.0082	0.0028	0.0014	0.004	0.0112	0
taxid:1010840|Streptococcus_pyogenes_MGAS1882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0
taxid:101510|Rhodococcus_jostii_RHA1	0	0	0.0043	0.0034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000900000000004	0	0	0	0	0	0	0	0	0.000900000000004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000900000000004	0	0.00329999999999	0	0	0.0023	0.000900000000004	0	0	0.000900000000004	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0019	0	0	0	0.0018	0	0	0	0.000900000000004	0	0	0	0	0	0	0	0.000900000000004	0	0	0	0	0.0019	0
taxid:101570|Enterobacteria_phage_ES18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1919
taxid:1016998|Salmonella_enterica_subsp._enterica_serovar_Paratyphi_B_str._SPB7	0	0	0	0	0	0	0	0	0	0.0144	0	0.0037	0	0	0	0	0	0	0	0	0	0	0.013	0	0	0	0	0	0	0	0.0725	0	0	0	0	0	0.0018	0	0.0018	0	0	0	0.0019	0.00250000000001	0	0	0	0	0	0	0	0	0	0	0	0.0021	0	0.0017	0	0.0019	0	0	0.0019	0.0017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.037	0
taxid:1017264|Bordetella_pertussis_CS	0	0	0	0	0	0	0	0.0019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:102608|Helicobacter_pylori_F32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1028307|Enterobacter_aerogenes_KCTC_2190	0.0017	0	0.0049	0	0	0.0017	0	0	0	0.00329999999999	0	0	0	0.0015	0.0017	0	0	0	0	0	0	0	0.7516	0	0.0207	0	0	0	0	0.0017	0.0315	0	0	0.0131	0.0624	0	0	0.0017	0.0626	0	0.0017	0	0	0	0	6.8144	0.0152	0	0	0	0.0034	0.0017	0	0.0016	0	0.0236	0.0782	0.0016	0	77.5784	0	0.3256	0	0.0047	0	0	0	0	0	0.00329999999999	0	0	0	0	0	0	0	0	0.0153	0	0	0.0411	0.0261	0	0	0	0	12.6677	0
taxid:1028799|Staphylococcus_aureus_subsp._aureus_VC40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1029718|Candidatus_Arthromitus_sp._SFB-mouse-Japan	0	0	0	0	0	0	0.0402	0	0	0	0	0	0.0054	0	0	0	0	0	0.00559999999999	0	0.00520000000001	0	0.00559999999999	0	0	0.0053	0	0	0	0	0.0055	0	0	0	0	0	0	0	0	0	0	0	0.0165	0	0.0157	0.0051	0	0	0	0.0157	0	0	0	0	0	0	0	0	0	0.0209	0	0	0	0.0887	0.00559999999999	0	0	0	0	0.0045	0	0.0053	0	0.0055	0.0439	0	0	0	0	0	0.0055	0	0	0	0	0	0	0	0.0165
taxid:1030843|Porphyromonas_gingivalis_TDC60	0.019	0.043	0.0109	0.0144	0.5586	0.0516	0	0.0129	0.0332	0.0076	0.0191	0.0269	0.136	0.0152	0.0114	0.0384	0.0532	0.0411	0.0257	0.0146	0.0071	0.0038	0	0	0.0117	0.0343	0.016	0.0768	0.0229	0.0295	0.0352	0.0192	0.0038	0.0308	0.0234	1.0939	0.0038	0.0237	0.0491	0	0.8252	0.0466	0.0041	0	0.0747	0.0269	0.0263	0.0273	0.0438	0.0181	0.0076	0.0038	0.0192	0	0.0769	0.0191	0.0385	0.0812	0.1177	0.0202	0.0188	0.0077	0.0633	0.0108	0.0531	0.0657	0.0596	0.0906	0	0.0585	0	0	0.0553	0.0038	0.0151	0.008	0.0451	0.043	0.0038	0.0406	0	0.0036	0.0573	0.0454	0.0224	0.1261	0.0077	0.032	0.0032
taxid:1031709|Propionibacterium_acnes_6609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1031711|Ralstonia_solanacearum_Po82	0	0	0	0	0.0128	0	0	0.0137	0.0164	0	0.0017	0	0	0	0	0	0	0	0	0	0	0	0.0048	0	0	0	0	0.0017	0	0	0.00830000000001	0	0	0.0017	0	0.0031	0	0	0	0	0	0.0166	0	0.0016	0.0016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0146	0	0	0	0	0	0	0	0	0	0	0.00329999999999	0	0	0	0	0	0.0098	0	0	0	0	0	0	0.0016	0	0	0	0	0
taxid:1032480|Microlunatus_phosphovorus_NM-1	0	0	0	0	0	0	0	0	0	0.0031	0	0	0	0	0	0	0	0	0.0014	0	0	0	0	0	0	0	0	0	0	0	0.0014	0	0	0	0	0	0	0.0016	0.0016	0	0	0	0	0	0	0.003	0.0047	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0016	0	0	0	0	0	0	0	0	0	0	0.0015	0	0	0	0	0.0016	0	0	0	0	0	0.0015	0	0	0	0	0.0017	0.003
taxid:10325|Macacine_herpesvirus_1	0	0	0.0542	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1033813|Escherichia_coli_NA114	0	0	0	0	0	14.3939	0	4.6494	0	0	0	0.5416	0.0071	0	0.0088	0	0	0.5771	0.0068	1.2881	0	0	0.0071	0	0.9875	0	0	0	0	0.0018	0.1715	0.0124	0	0.0142	0.0143	0.0019	0.0072	0	0.017	1.1924	0	0	0.1539	21.4849	1.2574	0.1561	0.0428	0	0.0163	0	0	0	0	0.0355	0.0907	0.009	0.097	0.0339	0.059	0	0.0921	13.5148	0	1.8737	0.0018	0	0.0946	0	0	0.7918	0.0072	0	0	0	0.3501	0	0.0018	0.0018	0	0	1.4898	0	0	0	0.0018	0	0	0.3116	0.5266
taxid:1033837|Lactobacillus_kefiranofaciens_ZW3	0	0	0	0	0	0	0.004	0.1033	0	0	0.0191	0	0	0	0	0	0	0	0	0	0	0.0265	0	0.0038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0036	0	0	0	0	0	0	0	0	0.0164	0	0	0	0	0	0	0	0	0	0
taxid:1034807|Flavobacterium_branchiophilum_FL-15	0	0	0	0	0	0	0	0	0	0.0022	0	0	0	0.00250000000001	0	0	0.0047	0	0	0	0	0	0	0	0	0	0.0024	0	0.00250000000001	0	0	0	0	0	0.0024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0047	0	0	0	0.0024	0.0023	0	0	0	0	0	0
taxid:1034809|Staphylococcus_lugdunensis_N920143	0	0	0	0	0	0	0	0	0	0	0	0.00329999999999	0.0098	0	0	0	0	0	0.0095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0.0102	0	0	0	0	0	0
taxid:1034836|Bacillus_amyloliquefaciens_XH7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1035817|Bifidobacterium_longum_subsp._longum_KACC_91563	0	0	0	0	0.4468	0	0	0.0376	0	0	0	0	0.0032	0	0	0.1611	0.0035	0	0	0.4362	0.0297	0.2735	0	0.3345	0.4501	0.0945	0	0.0188	0.6212	0	0.3354	0.0037	0	0.1134	0	0.4695	0.0037	0	0	0	0.2296	0	0.1078	0.1972	0	0	0.0109	0.0924	0.2343	0	0.2724	0	0	0	0.0035	0.0037	0	0	0.0672	0	0.0035	0	0	6.1366	0	0.2638	0	0.0405	0	0	0.0428	0.9009	0.0035	0.453	0	0.0952	0	0	0.0258	0	0	0.1808	0.0034	0	0.011	0	0	0	0.0148
taxid:1036672|Advenella_kashmirensis_WT001	0	0	0	0	0	0.002	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0.002	0	0	0	0	0	0	0.0101	0	0.002	0.002	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0.0019	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0.0105	0	0	0	0
taxid:1036673|Paenibacillus_mucilaginosus_KNP414	0	0	0	0	0	0.0093	0.0011	0	0.0133	0	0.0197	0.0103	0.0185	0	0	0	0	0	0	0	0	0	0.000999999999995	0	0.0095	0.0211	0	0.013	0.0093	0	0.000999999999995	0.00869999999999	0.0062	0.000900000000004	0.0165	0.0022	0.00520000000001	0	0.0135	0	0	0.0206	0.011	0.0021	0.0082	0	0.0093	0	0	0	0.000999999999995	0	0	0	0	0.0173	0	0	0	0	0.000999999999995	0	0	0.0019	0	0	0	0.002	0	0	0	0	0.0202	0.00869999999999	0.008	0	0.0125	0.0252	0	0.005	0	0	0.0128	0	0	0.0041	0	0	0
taxid:1036743|Rhodospirillum_rubrum_F11	0.0184	0.009	0.0094	0.0058	0	0.0021	0	0	0	0	0	0.002	0.0089	0	0	0	0	0	0	0	0	0.0041	0	0	0	0.0021	0	0	0	0	0	0.0184	0.0021	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0081	0.0019	0	0	0.0061	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0.0057	0	0	0	0	0	0	0	0.0152	0	0	0	0	0.0337	0
