genus	MMRS11288076ST	MMRS11664448ST	MMRS11932626ST	MMRS12272136ST	MMRS14379078ST	MMRS14602194ST	MMRS15137911ST	MMRS16644320ST	MMRS17603756ST	MMRS17963147ST	MMRS18295921ST	MMRS20257302ST	MMRS21365932ST	MMRS24340226ST	MMRS25211151ST	MMRS25641480ST	MMRS29805707ST	MMRS31306426ST	MMRS32573774ST	MMRS33294861ST	MMRS34525504ST	MMRS34569532ST	MMRS35808664ST	MMRS36405092ST	MMRS38861560ST	MMRS38954404ST	MMRS39415781ST	MMRS39582183ST	MMRS40913371ST	MMRS41266697ST	MMRS41711735ST	MMRS42570301ST	MMRS42780924ST	MMRS43563715ST	MMRS43939546ST	MMRS44197125ST	MMRS44203591ST	MMRS44587603ST	MMRS47662059ST	MMRS47685461ST	MMRS48639115ST	MMRS51307502ST	MMRS51410669ST	MMRS51728985ST	MMRS51737257ST	MMRS54246132ST	MMRS54316675ST	MMRS55294627ST	MMRS56137463ST	MMRS57276462ST	MMRS57569834ST	MMRS59699117ST	MMRS61683006ST	MMRS62192467ST	MMRS62376181ST	MMRS62666492ST	MMRS64281211ST	MMRS64281551ST	MMRS65205033ST	MMRS65742083ST	MMRS65862658ST	MMRS65945127ST	MMRS66868025ST	MMRS67096717ST	MMRS67690541ST	MMRS68630931ST	MMRS68910755ST	MMRS71238091ST	MMRS71762412ST	MMRS72802364ST	MMRS72980899ST	MMRS73787048ST	MMRS77018926ST	MMRS77321055ST	MMRS77487595ST	MMRS78791111ST	MMRS79893829ST	MMRS80093644ST	MMRS81130264ST	MMRS81135225ST	MMRS81671217ST	MMRS84085284ST	MMRS84159866ST	MMRS84954772ST	MMRS85382779ST	MMRS85438660ST	MMRS85548821ST	MMRS86168210ST	MMRS95277876ST
Acidovorax	3	17	2	21	0	3	3	0	42	1	42	31	7	2	0	2	1	9	0	0	1	7	2	6	9	3	0	6	3	3	1	3	24	18	0	10	0	18	7	0	1	18	4	230	29	31	5	6	0	25	1	0	1	0	16	2	7	2	21	8	11	6	10	2	3	12	8	6	0	11	9	4	29	5	3	18	16	9	1	15	6	20	5	1	9	0	2	30	3
Aciduliprofundum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter	0	0	0	0	0	1	0	0	0	3	2	0	0	0	0	0	0	0	0	1	0	1	3	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	1	1	1	0	1	1	2	0	0	0	1	0	0	2	0	0	0	8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	2	1	0	0	1	0	0	0
Actinobacillus	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8	5	2	0	2	1	0	1	0	0	1	0	16	0	0	7	0	0	0	0	0	0	0	0	0	1	0	2	1	2	0	3	0	0	0	2	2	3	0	4	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0
Actinoplanes	0	0	0	1	1	0	0	0	0	0	4	0	1	0	2	4	0	0	1	0	2	1	1	1	0	0	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	2	0	10	0	0	0	0	0	0	0	0	0	11	0	5	0	0	1	0	0	1	0	1	1	0	0	0	0	6
Actinosynnema	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	5	0	2	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	4	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	9	2
Acutodesmus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Advenella	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	6	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	8	0	0	0	0
Aequorivita	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aerococcus	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	11	0	0	0	17	0	0	0	0	0	1	0	9	0	1	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	11	0	0	0	0	6	0	0	0	0	0	0	0	11
Aeromonas	4	5	14	8	2	2	1	8	12	1	3	6	0	6	6	2	2	12	23	0	2	2	1	2	7	3	2	1	12	0	1	4	0	3	1	1	0	2	1	0	2	7	1	59	9	3	42	181	0	3	0	9	3	43	7	2	5	6	0	2	4	0	14	3	5	2	0	1	1	3	1	3	14	5	207	4	3	4	0	5	1	1	5	3	2	1	1	25	2
Aeropyrum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Agathobacter	4595	22403	22567	32981	95027	39663	7774	42721	9770	19487	17549	22539	5433	7160	9197	34419	70963	7311	13598	75860	8721	17208	10474	24951	18348	21243	34455	15529	48613	8891	40505	1466	11201	13234	72058	489	499	11013	14452	1062	118810	1665	29997	525	37759	8028	23103	11061	23571	35145	21924	40679	15639	8893	23916	15561	378	26212	12374	24300	63837	6118	21081	17563	27918	1616	3637	1353	22730	8434	719	19941	29308	49851	20463	39056	11464	12840	42323	30776	42917	3348	12236	16071	29975	908	22676	1200	13095
Aggregatibacter	0	1	0	0	16	0	0	0	3	6	1	0	0	1	0	0	0	0	6	0	7	0	4	6	0	0	0	0	0	0	112	0	0	2	0	0	0	1	1	0	22	0	0	87	0	2	0	3	1	8	0	0	3	6	3	2	0	15	9	14	10	0	0	0	2	2	0	0	0	14	1	0	0	2	1	0	0	0	0	1	0	2	3	0	5	0	0	12	10
Agrobacterium	4	0	2	5	0	0	0	1	0	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	0	3	1	0	6	0	0	0	0	4	0	0	3	1	0	0	8	1	0	0	3	0	1	0	0	0	1	0	0	0	0	2	0	0	2	0	0	1	2	0	0	0	4	0	0	0	1	2	0	6	4	1	0	0	0	0	0	6	5	0	0	0	3	0
Akkermansia	2005	88	9540	8	12	11	13911	1221	2	4	11	5996	4199	8	23902	4468	826	211	3659	1141	120	352	1720	104	2	155	3	1272	6364	5009	2736	7831	10181	1225	10	53	2379	174	55	6	11	12527	25	70	675	832	11	3	427	57	8661	6	3	9	85	2883	4271	931	747	30	423	14744	14	15036	97	391	11	11684	8728	18504	34154	0	4	113	13897	5	15638	3968	13	2	253	162	49	366	4	2	6078	1942	7506
Alcanivorax	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	2	0	0	1	0	0
Alicycliphilus	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	4	8	5	0	0	1	4	0	0	0	0	0	12	1	0	0	0	0	0	0	0	0	11	0	7	7	0	0	0	0	3	0	1	4	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
Alicyclobacillus	0	0	2	0	0	1	1	0	2	0	0	0	2	0	0	0	4	0	0	7	0	6	1	1	0	1	2	0	0	0	0	1	0	0	1	5	0	1	0	0	2	23	3	16	1	4	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	17	9	9	0	1	0	1	0	0	0	1	0	0	1	0	2	0	2	3	1	1	0	0	0	0	0	0
Aliivibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Alistipes	4613	7593	1186	3857	2575	7948	13834	6207	22355	5203	6214	2432	3200	5737	14976	4607	2846	4669	1983	2762	847	6747	2152	898	2391	4044	14018	12037	6046	7353	16163	9808	2027	9641	5328	1675	2413	4073	7110	29339	2212	1922	1011	137	1833	2012	3168	36313	1409	2346	21971	3126	3281	895	3108	7714	3693	3640	1564	1618	1637	12169	6434	3749	4636	2704	7703	9534	10222	2285	10169	2696	2994	4450	6684	1302	8831	37605	4055	3602	718	33805	3361	9222	4769	199	13878	2566	999
Alkalilimnicola	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	1	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	8	0	2	0	1	0	0	0	1	0	0	1	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	5	2	2	0	0	0	0	4	0
Alkaliphilus	1	0	1	4	1	8	19	0	6	4	3	33	13	0	3	5	0	8	1	16	0	1	0	0	19	2	0	15	0	0	3	14	2	1	2	16	0	25	16	0	0	17	18	1	4	6	9	1	1	5	70	0	4	0	0	1	0	8	4	20	8	1	13	1	7	12	2	0	7	0	0	17	10	1	23	8	0	0	1	1	0	2	0	0	2	1	5	0	4
Allochromatium	0	0	0	0	0	0	1	0	4	0	0	0	0	0	2	1	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	3	4	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	5	0
Allomyces	1	9	1	6	0	2	3	5	7	4	22	7	3	2	4	0	1	8	4	1	15	11	7	3	2	2	3	4	2	5	0	13	8	6	2	4	1	14	3	0	4	8	10	0	13	12	17	3	3	6	8	1	4	0	8	6	1	15	32	13	8	2	11	3	7	7	1	8	0	4	3	4	16	2	1	5	20	5	1	11	7	6	6	3	6	3	3	13	11
Alteromonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Ammonifex	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	2	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1
Amphibacillus	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
Amycolatopsis	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	2	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	9	1	0	0	0	0	0	0	0	0	8	0	1	0	4	0	0	0	0	0	1	4	0	0	0	14	1
Amycolicicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anabaena	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerobaculum	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Anaerococcus	5	4	6	15	9	77	316	4	5	2	13	16	20	0	12	17	4	14	7	14	2	3	3	20	3	7	10	27	2	4	0	10	13	1	13	136	1	1	7	20	10	18	6	0	3	12	18	5	7	8	0	5	7	0	3	8	2	4	4	6	8	15	9	15	6	4	5	2	6	147	7	17	1	13	29	5	4	81	0	3	1	11	5	1	13	8	2	1	6
Anaerolinea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Anaeromyxobacter	4	3	4	8	1	2	1	2	5	0	3	4	18	0	1	0	0	1	5	0	0	6	1	1	5	4	4	17	5	4	5	1	3	1	4	3	0	12	4	0	0	17	9	10	1	1	8	1	0	0	1	2	1	0	3	5	0	5	1	5	3	3	26	3	1	0	0	1	4	3	0	3	15	4	7	14	4	11	0	1	1	0	2	2	3	2	1	14	6
Anaplasma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anoxybacillus	0	0	2	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	11	1	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
Aquifex	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arcanobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0
Arcobacter	2	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	7	0	0	0	0	0	0	0	38	0	7	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	4	0	0	0	0	0	1	1	0	0	0	25	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6
Aromatoleum	0	0	9	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	5	0	0	1	0	1	0	0	0	6	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	4	0	0	9	0	0	1	0	0	0	0	1	0
Arthrobacter	4	0	3	2	0	1	1	0	0	1	0	0	0	2	0	1	1	0	0	0	3	2	0	1	3	0	0	3	1	0	0	2	0	0	0	1	0	2	0	0	0	1	2	11	5	3	2	0	0	0	0	0	0	1	1	0	0	4	0	0	0	0	2	0	3	3	0	1	1	3	2	0	5	1	0	0	0	2	1	0	1	0	1	1	0	0	0	4	1
Arthrospira	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1
Aspergillus	18	25	12	3	1	2	10	23	19	10	19	33	12	1	2	15	2	17	3	5	6	10	29	7	6	2	5	12	15	72	30	22	18	2	21	2	11	49	4	0	1	24	23	213	0	26	35	19	1	12	8	5	17	22	43	10	18	19	29	157	28	3	12	2	23	5	12	28	8	2	18	11	13	21	9	17	21	5	22	9	37	14	32	16	34	0	0	32	26
Asticcacaulis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	2	1	0	0	0	0	0	5	0	0	0	0	0	0	3	0	0	0	0	8	1	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1
Atopobium	7	3	4	12	37	3	58	1	4	6	62	2	8	7	9	13	5	2	173	5	3	3	30	5	6	5	10	13	1	3	2	2	16	17	15	4	0	64	8	1	34	1	20	869	1	14	4	10	7	62	1	2	1	105	31	8	0	15	393	6	10	60	11	7	15	4	2	2	2	7	40	5	9	21	3	10	6	34	32	13	20	4	19	11	3	11	6	4	5
Aureococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aureoumbra	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	7	4	0	0	0	1	0	0	0	3	2	0	1	0	0	0	0	0	3	0	0	3	1	0	2	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	2	0	1	0	0	3	0	0
Azoarcus	2	0	0	7	8	1	0	0	15	0	17	1	5	0	0	0	0	8	0	0	0	0	6	1	0	0	1	1	1	0	0	1	6	0	0	1	0	3	0	0	5	2	1	67	11	5	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	7	7	0	1	0	0	6	5	0	14	9	0	1	5	11	10	0	1	15	0
Azorhizobium	0	0	0	3	1	3	0	0	0	0	3	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	9	0	0	0	2	0	0	2	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	2	0	1	0	1	2	0	0	0	0	0	0	6	1	0	1	0	0	9	5
Azospira	3	2	0	1	0	0	1	1	16	1	26	12	7	1	0	11	1	7	0	5	0	7	2	1	6	4	0	8	6	0	9	4	0	6	0	1	0	2	5	2	0	5	0	80	1	0	9	7	0	1	0	1	1	3	8	0	10	12	10	3	1	0	8	0	6	0	0	11	5	4	3	0	12	0	2	8	0	7	0	9	5	1	2	7	7	1	0	4	0
Azospirillum	9	3	9	0	0	4	4	0	0	0	2	12	23	0	0	10	1	3	6	0	2	11	1	0	5	1	1	4	3	1	1	17	3	14	9	0	0	15	2	7	0	26	25	3	5	17	16	2	1	1	0	2	0	0	12	7	0	7	4	1	6	0	17	1	0	3	10	9	6	0	3	1	16	1	8	2	6	16	2	9	13	20	20	15	7	0	2	28	1
Azotobacter	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	2	1	0	0	0	0	0	0	1	16	6	1	2	0	0	0	1	0	0	0	3	1	0	0	4	3	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	6	0	5	0	0	1	1
