kegg_modules	MMRS11288076ST	MMRS11664448ST	MMRS11932626ST	MMRS12272136ST	MMRS14379078ST	MMRS14602194ST	MMRS15137911ST	MMRS16644320ST	MMRS17603756ST	MMRS17963147ST	MMRS18295921ST	MMRS20257302ST	MMRS21365932ST	MMRS24340226ST	MMRS25211151ST	MMRS25641480ST	MMRS29805707ST	MMRS31306426ST	MMRS32573774ST	MMRS33294861ST	MMRS34525504ST	MMRS34569532ST	MMRS35808664ST	MMRS36405092ST	MMRS38861560ST	MMRS38954404ST	MMRS39415781ST	MMRS39582183ST	MMRS40913371ST	MMRS41266697ST	MMRS41711735ST	MMRS42570301ST	MMRS42780924ST	MMRS43563715ST	MMRS43939546ST	MMRS44197125ST	MMRS44203591ST	MMRS44587603ST	MMRS47662059ST	MMRS47685461ST	MMRS48639115ST	MMRS51307502ST	MMRS51410669ST	MMRS51728985ST	MMRS51737257ST	MMRS54246132ST	MMRS54316675ST	MMRS55294627ST	MMRS56137463ST	MMRS57276462ST	MMRS57569834ST	MMRS59699117ST	MMRS61683006ST	MMRS62192467ST	MMRS62376181ST	MMRS62666492ST	MMRS64281211ST	MMRS64281551ST	MMRS65205033ST	MMRS65742083ST	MMRS65862658ST	MMRS65945127ST	MMRS66868025ST	MMRS67096717ST	MMRS67690541ST	MMRS68630931ST	MMRS68910755ST	MMRS71238091ST	MMRS71762412ST	MMRS72802364ST	MMRS72980899ST	MMRS73787048ST	MMRS77018926ST	MMRS77321055ST	MMRS77487595ST	MMRS78791111ST	MMRS79893829ST	MMRS80093644ST	MMRS81130264ST	MMRS81135225ST	MMRS81671217ST	MMRS84085284ST	MMRS84159866ST	MMRS84954772ST	MMRS85382779ST	MMRS85438660ST	MMRS85548821ST	MMRS86168210ST	MMRS95277876ST
M00013: Malonate semialdehyde pathway, propanoyl-CoA => Acetyl-CoA	0	0	0	0	0	0	0	3.90575e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.32804e-08	0	0	0	0	0	0	0	7.35816e-08	0	0	0	0	1.45499e-07	0	0	0	4.88686e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0332e-07	0
M00014: Glucuronate pathway (uronate pathway)	0	0	1.82743e-06	0	0	9.11882e-05	7.44073e-05	9.49811e-05	0.000187187	0	0	1.83846e-05	2.96455e-05	0	0	4.8405e-07	0	4.05296e-05	6.56038e-05	1.0815e-05	7.77243e-07	0	0	0	1.36696e-05	3.35204e-05	0	0.000348914	9.26721e-05	1.15281e-06	0	0	0	1.36131e-05	0	4.14793e-05	2.81435e-05	1.00649e-05	9.88841e-08	5.52405e-05	0	4.48267e-05	7.2824e-05	1.08361e-08	0	0	0	2.92313e-06	1.02164e-06	0	6.86597e-05	3.7496e-05	0	0	0	0	8.13543e-09	1.36323e-06	0	1.32815e-07	0	0.000138219	3.17123e-05	0	2.71986e-05	0	7.7571e-05	0.000149707	0	0.000136109	0.000605999	0	3.56611e-05	1.21645e-05	1.66004e-09	0	0	0	5.23889e-05	0	0	0	3.29819e-05	2.87295e-07	0	2.09869e-06	0	1.61802e-05	0
M00016: Lysine biosynthesis, aspartate => lysine	0.0131238	0.0189134	0.0133858	0.0157361	0.0138506	0.0122929	0.0153585	0.0201509	0.0174648	0.0148413	0.0161909	0.0192459	0.015837	0.0126331	0.0154291	0.0188808	0.0123835	0.0130771	0.01566	0.0142627	0.01416	0.0231741	0.0160014	0.0143633	0.0167667	0.0151468	0.0150121	0.0154534	0.014634	0.0155214	0.0162446	0.0140598	0.0142449	0.0146539	0.0157821	0.0200009	0.0128867	0.0169922	0.0154939	0.0192155	0.0131947	0.023515	0.0130533	0.0194859	0.01713	0.0131173	0.0147629	0.0174194	0.0101454	0.0165087	0.0166175	0.0143321	0.0159352	0.0122293	0.0132241	0.0197736	0.0164962	0.0125316	0.0165249	0.0157158	0.0134018	0.0213415	0.0190146	0.0212955	0.0144629	0.0162106	0.0155255	0.0187243	0.0152316	0.0144012	0.0166242	0.0159744	0.0192826	0.0162301	0.0202065	0.0163618	0.0139574	0.018883	0.0148451	0.0125459	0.0154715	0.0182734	0.0154387	0.0149791	0.0163852	0.0115537	0.0153562	0.0228521	0.0219706
M00017: Methionine biosynthesis, apartate => homoserine => methionine	0.0121597	0.0123543	0.0133823	0.0116757	0.0105774	0.0126426	0.012226	0.0132339	0.0114061	0.0119422	0.0138226	0.0105496	0.0133046	0.00819708	0.00975175	0.0108469	0.0135676	0.00989575	0.0123354	0.0131915	0.0130769	0.0134165	0.0147653	0.0146075	0.0123828	0.0119841	0.012086	0.0115555	0.0097663	0.0101386	0.0136548	0.0103198	0.00834447	0.0119561	0.0128895	0.00983606	0.00753178	0.0127945	0.0135975	0.0090414	0.0118652	0.013578	0.0123157	0.0167838	0.0112606	0.0135686	0.0116693	0.0122391	0.0117466	0.011104	0.00896009	0.0102346	0.00998253	0.011644	0.00878073	0.0126019	0.00997743	0.0111331	0.0116256	0.0136417	0.0136331	0.00949693	0.0132463	0.0167457	0.0152862	0.00874705	0.00874346	0.0103116	0.0102651	0.010838	0.0134502	0.0133023	0.00931665	0.0140094	0.0149839	0.0170155	0.0109543	0.0104244	0.00897708	0.0109538	0.0132152	0.011517	0.0138773	0.0121696	0.0127471	0.00749909	0.00964163	0.0141932	0.011662
M00018: Threonine biosynthesis, apartate => homoserine => threonine	0.0288992	0.0219254	0.0287129	0.0275609	0.0283971	0.024909	0.0164436	0.0266296	0.0176946	0.022509	0.0258754	0.0236759	0.0291087	0.0161974	0.0241223	0.0220656	0.0321949	0.00860648	0.0278363	0.031287	0.0235504	0.0247613	0.0184986	0.0305528	0.0295604	0.0231821	0.0265444	0.0207632	0.0181537	0.0147663	0.0164984	0.0204192	0.0165633	0.0228004	0.0289618	0.0163689	0.00728217	0.0199172	0.0213953	0.0152458	0.0306787	0.0255178	0.0280568	0.0195485	0.026817	0.0254407	0.0254244	0.0208693	0.0263072	0.028897	0.0176904	0.0187097	0.0211912	0.0136776	0.0210944	0.0256561	0.0122037	0.0206812	0.0209169	0.0181878	0.0299073	0.0200943	0.0289305	0.0246001	0.0304493	0.0268167	0.0146044	0.0166971	0.0279751	0.0245478	0.0184023	0.0304693	0.020808	0.030408	0.0253498	0.0320584	0.0217449	0.0221409	0.0247982	0.021967	0.0338614	0.0219349	0.0248795	0.0264184	0.0247441	0.0158086	0.022634	0.0284279	0.0255522
M00019: Leucine biosynthesis, pyruvate => 2-oxoisovalerate => leucine	0	0	0	0	0.015028	0	0.00955967	0	0	0.0111846	0.0162694	0	0	0	0	0	0	0	0	0	0	0	0.0213248	0.0104233	0.0102136	0	0	0	0	0.0140878	0.0220028	0	0	0	0.00942964	0	0	0.0143419	0.0233852	0	0	0	0	0.0199706	0	0	0.00955846	0	0.0102463	0	0	0	0	0	0	0	0.0169634	0	0	0.020695	0	0.00945443	0	0	0	0	0	0	0	0	0	0.0114318	0	0	0	0	0	0	0	0	0	0	0	0	0.00909276	0	0	0.0182942	0
M00022: Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate	0.0281861	0.0280796	0.0276098	0.026178	0.0251085	0.027261	0.0248148	0.0252428	0.0226038	0.0276674	0.0270937	0.0277537	0.0264961	0.0255344	0.0227367	0.0283642	0.0286718	0.021051	0.0298705	0.028182	0.0265404	0.0270703	0.0222185	0.0255191	0.02814	0.0268287	0.0298157	0.0260901	0.026903	0.0202986	0.0183338	0.0256513	0.0252086	0.0280669	0.0252678	0.0259205	0.0227747	0.0260123	0.0205365	0.0234868	0.0269979	0.0351351	0.030538	0.0202325	0.027827	0.0292062	0.0235366	0.0251944	0.0252261	0.0305547	0.0274993	0.0260928	0.0257412	0.0283786	0.0262176	0.0269368	0.0231629	0.0244958	0.0259339	0.0241244	0.0265074	0.0227179	0.0327724	0.0268694	0.0275981	0.0282709	0.0253264	0.0255205	0.0225506	0.0267292	0.0247415	0.0269711	0.0335833	0.0277123	0.0278044	0.0272763	0.0344414	0.0218977	0.0269218	0.0238969	0.0277564	0.0234444	0.0304513	0.0246972	0.0246723	0.026767	0.0271082	0.029337	0.0245373
M00025: Tyrosine biosynthesis, chorismate => tyrosine	0.00196971	0.00281649	0.00448629	0.00188762	0.00204691	0.00240565	0.00503203	0.00612763	0.00391266	0.00266014	0.00449717	0.00483667	0.00138688	0.00300967	0.00193752	0.0016449	0.00115597	0.00551804	0.00341336	0.00257528	0.00567118	0.00207512	0.0114408	0.00325894	0.00418085	0.00233406	0.00374	0.00403636	0.00387277	0.00467865	0.0109311	0.00253517	0.002413	0.00395107	0.00542674	0.00143131	0.00309634	0.00533521	0.00902755	0.00282919	0.00272949	0.00324979	0.0016631	0.0114769	0.00192676	0.00340594	0.00394785	0.00458409	0.00170762	0.00392263	0.0088302	0.00242187	0.0013184	0.00237797	0.00298781	0.00361414	0.00913421	0.0053561	0.00573708	0.00798176	0.00372311	0.00368554	0.00256871	0.00388816	0.00209814	0.00534165	0.00352999	0.00296332	0.00143745	0.00493415	0.00386586	0.00441369	0.00302495	0.00312962	0.00421048	0.00336748	0.00192507	0.00513971	0.00382742	0.0046306	0.00327721	0.00486752	0.00134754	0.00264089	0.00498484	0.00253214	0.00123434	0.0083315	0.00420194
M00026: Histidine biosynthesis, PRPP => histidine	0.0268583	0.0274153	0.0245961	0.0248578	0.024542	0.0256766	0.0210558	0.0247516	0.0209346	0.0257627	0.0239467	0.0207414	0.0263504	0.0237197	0.0243565	0.0242026	0.0289946	0.0187989	0.0251923	0.0256392	0.0259092	0.0196041	0.0160823	0.0284455	0.0260419	0.0232618	0.0270214	0.0213011	0.0232235	0.0195632	0.0142974	0.024042	0.0180399	0.0242477	0.0257537	0.0222515	0.0177343	0.0214427	0.018345	0.0234475	0.0274563	0.0223011	0.028061	0.0128483	0.0242931	0.0271138	0.0202638	0.021028	0.0238799	0.0244399	0.0221016	0.0245503	0.0259327	0.0260858	0.0245239	0.0246575	0.0131166	0.0257321	0.0161547	0.0190471	0.0256492	0.0172941	0.0207562	0.0211468	0.0275877	0.0261773	0.0234224	0.0226901	0.0224697	0.0256508	0.0249783	0.026997	0.0192437	0.0256751	0.0210907	0.0290772	0.0256811	0.0224876	0.0246698	0.0242369	0.0284548	0.0231607	0.0229313	0.024634	0.0237865	0.0179479	0.0286277	0.0157915	0.0194481
M00028: Ornithine biosynthesis, glutamate => ornithine	0.0176606	0.0187212	0.0170768	0.0214904	0.0197388	0.0186704	0.0161039	0.0183612	0.0193465	0.0225324	0.0248941	0.0194311	0.0167006	0.0205594	0.0181059	0.0164315	0.0188659	0.0177276	0.0188732	0.0183881	0.0222613	0.0148405	0.0156733	0.0152972	0.0200679	0.0165575	0.0221118	0.0138858	0.0208965	0.0192704	0.0160357	0.0222072	0.0195402	0.0207829	0.0189192	0.0204979	0.0184326	0.0191626	0.0164708	0.0218811	0.0192866	0.0132859	0.0213513	0.0132013	0.0154563	0.022635	0.0178985	0.0201656	0.0212982	0.0166913	0.0259457	0.0231928	0.0216269	0.0191491	0.0229175	0.020105	0.0172587	0.0263909	0.0116042	0.0175141	0.0190846	0.0177275	0.022724	0.0122509	0.0177094	0.0219028	0.0225537	0.0228693	0.0191951	0.0198308	0.0196832	0.016182	0.020999	0.0143402	0.0165768	0.0196872	0.0243653	0.0195303	0.0204385	0.0192789	0.0173816	0.0203729	0.0186075	0.0211242	0.0168805	0.0191317	0.0218177	0.0178003	0.0109736
M00029: Urea cycle	0.0031997	0.00284469	0.00316797	0.00410488	0.00325159	0.0027205	0.0023341	0.00314925	0.00465358	0.00377165	0.00306461	0.00286379	0.00275202	0.0039001	0.00341524	0.00236529	0.00245053	0.00501958	0.00319267	0.00332473	0.00360121	0.00347572	0.00278962	0.00269752	0.00301939	0.00311983	0.00353077	0.00178802	0.00342264	0.00383706	0.00181863	0.00384582	0.00469852	0.00318858	0.00265197	0.00404297	0.00705886	0.00275206	0.00220677	0.00427165	0.00290099	0.00277562	0.00213971	9.73563e-05	0.00332665	0.00153501	0.00322948	0.00355868	0.00382023	0.00280269	0.00500284	0.00456765	0.00449633	0.00150694	0.00317699	0.00263749	0.00313865	0.00505344	0.00103527	0.00269785	0.00251226	0.000627627	0.00344044	0.00186461	0.00252616	0.00319767	0.00486086	0.00479803	0.00556075	0.00358868	0.00369008	0.0020402	0.00355993	0.00207119	0.00231437	0.00255258	0.00437158	0.00192631	0.000951007	0.00486224	0.0024586	0.00446082	0.002967	0.00429746	0.00260534	0.0049899	0.00344528	0.00173932	0.00235165
M00030: Lysine biosynthesis, 2-oxoglutarate => 2-aminoadipate => lysine	3.92721e-08	7.11766e-05	2.61769e-09	3.6941e-08	0.000181555	7.58934e-09	7.36776e-05	1.34539e-07	0.000116007	6.36696e-05	9.50109e-05	0.000232148	0.000289573	1.89052e-08	0.000189213	0.000110891	6.30403e-05	1.75664e-08	7.69568e-08	3.11205e-08	7.99515e-09	7.10945e-05	2.9573e-16	4.14545e-08	1.21103e-07	0.000190125	9.91615e-05	0.000161475	1.36853e-08	6.135e-07	2.32367e-07	0.000127526	6.43763e-05	7.21007e-08	7.67709e-10	0.000186041	9.96078e-05	4.55729e-06	9.42874e-14	0.000209585	4.62837e-08	0.000638476	0.00015031	0	9.22827e-05	1.58484e-08	6.85358e-06	6.44712e-05	0	2.95143e-08	6.41464e-09	4.78464e-08	8.97313e-05	8.45743e-05	2.98204e-09	0.000111632	2.07204e-05	3.37535e-05	3.76191e-08	5.6452e-05	1.04955e-08	2.07165e-09	0.000126022	2.49968e-07	0.000132862	6.53365e-05	0.000236041	0.000179204	0.000113584	5.38671e-05	0.000122521	4.33651e-07	0.000118852	0.000197748	8.40425e-05	5.87204e-05	0.000190108	0.000135918	8.94917e-08	1.55368e-08	4.01266e-08	6.19662e-05	9.99551e-05	6.5217e-05	3.87807e-10	0	8.53713e-05	0.00011876	0.000321492
M00031: Lysine biosynthesis, archaea, 2-aminoadipate => lysine	0	0	0	0	0	1.67785e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.31459e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.48727e-08	0
M00032: Lysine degradation, lysine => saccharopine => acetoacetyl-CoA	1.46485e-07	7.53425e-05	1.03851e-08	1.40849e-07	0.000213731	2.95672e-08	9.1388e-05	4.81815e-07	1.90267e-05	5.6265e-05	8.48472e-05	0.000280931	0.000146908	7.14242e-08	0.000289598	0.000138923	7.46902e-05	0	2.99306e-07	1.22457e-07	0	8.43576e-05	1.13356e-15	1.60808e-07	4.48712e-07	0.000273444	8.23935e-05	0.000192455	5.38697e-08	6.26924e-07	2.69145e-07	0	5.44071e-05	4.50071e-05	3.03189e-09	1.51682e-05	7.47693e-05	4.82759e-06	3.7535e-13	5.25649e-05	1.7784e-07	0.000641666	3.0064e-05	0	0.000115258	5.92841e-08	7.83404e-06	5.189e-05	0	1.12109e-07	2.52285e-08	1.79748e-07	0.000114229	3.40595e-06	1.13517e-08	0.000147554	2.91895e-05	4.62598e-05	1.43101e-07	0.000128368	4.08445e-08	5.30995e-09	0.000126243	9.2247e-07	0.000113457	2.07533e-05	0.000193544	0.000113858	0.000117632	6.92463e-05	0.00014558	2.36611e-05	5.11689e-05	0.000200066	0.000176686	1.08124e-05	0.000169206	0.000110063	2.61231e-07	5.29254e-08	1.2041e-07	8.35878e-05	8.9709e-05	5.35519e-05	1.52977e-09	0	7.92818e-05	0.00015641	0.000428418
M00033: Ectoine biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
