PercentCoverageGT5x	MMRS11288076ST	MMRS11664448ST	MMRS11932626ST	MMRS12272136ST	MMRS14379078ST	MMRS14602194ST	MMRS15137911ST	MMRS16644320ST	MMRS17603756ST	MMRS17963147ST	MMRS18295921ST	MMRS20257302ST	MMRS21365932ST	MMRS24340226ST	MMRS25211151ST	MMRS25641480ST	MMRS29805707ST	MMRS31306426ST	MMRS32573774ST	MMRS33294861ST	MMRS34525504ST	MMRS34569532ST	MMRS35808664ST	MMRS36405092ST	MMRS38861560ST	MMRS38954404ST	MMRS39415781ST	MMRS39582183ST	MMRS40913371ST	MMRS41266697ST	MMRS41711735ST	MMRS42570301ST	MMRS42780924ST	MMRS43563715ST	MMRS43939546ST	MMRS44197125ST	MMRS44203591ST	MMRS44587603ST	MMRS47662059ST	MMRS47685461ST	MMRS48639115ST	MMRS51307502ST	MMRS51410669ST	MMRS51728985ST	MMRS51737257ST	MMRS54246132ST	MMRS54316675ST	MMRS55294627ST	MMRS56137463ST	MMRS57276462ST	MMRS57569834ST	MMRS59699117ST	MMRS61683006ST	MMRS62192467ST	MMRS62376181ST	MMRS62666492ST	MMRS64281211ST	MMRS64281551ST	MMRS65205033ST	MMRS65742083ST	MMRS65862658ST	MMRS65945127ST	MMRS66868025ST	MMRS67096717ST	MMRS67690541ST	MMRS68630931ST	MMRS68910755ST	MMRS71238091ST	MMRS71762412ST	MMRS72802364ST	MMRS72980899ST	MMRS73787048ST	MMRS77018926ST	MMRS77321055ST	MMRS77487595ST	MMRS78791111ST	MMRS79893829ST	MMRS80093644ST	MMRS81130264ST	MMRS81135225ST	MMRS81671217ST	MMRS84085284ST	MMRS84159866ST	MMRS84954772ST	MMRS85382779ST	MMRS85438660ST	MMRS85548821ST	MMRS86168210ST	MMRS95277876ST
taxid:1005058|Gallibacterium_anatis_UMN179	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0	0	0
taxid:1005090|Buchnera_aphidicola_str._Ak_(Acyrthosiphon_kondoi)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0
taxid:1006007|Bacillus_megaterium_WSH-002	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0	0	0	0.000768383	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0.0	0	0	0
taxid:1006551|Klebsiella_oxytoca_KCTC_1686	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0	0.0	0.0	0	0	0	0	0.0	0	0.0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0
taxid:1007064|Streptococcus_suis_ST3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0	0.0024152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0.0
taxid:1007105|Pusillimonas_sp._T7-7	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1008297|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007826652	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1008459|Taylorella_asinigenitalis_MCE3	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:100901|Wolbachia_endosymbiont_of_Onchocerca_ochengi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1009464|Gardnerella_vaginalis_HMP9231	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0
taxid:1009846|Burkholderia_cepacia_GG4	0	0	0.0	0	0	0.0	0.0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0
taxid:1010840|Streptococcus_pyogenes_MGAS1882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0
taxid:101510|Rhodococcus_jostii_RHA1	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0.0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0
taxid:101570|Enterobacteria_phage_ES18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
taxid:1016998|Salmonella_enterica_subsp._enterica_serovar_Paratyphi_B_str._SPB7	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.003766303	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0
taxid:1017264|Bordetella_pertussis_CS	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:102608|Helicobacter_pylori_F32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1028307|Enterobacter_aerogenes_KCTC_2190	0.0	0	0.0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0	0.0	0.004014895	0	0	0.0	0.0	0	0	0.0	0.003370991	0	0.0	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0	6.5308336306	0	0.0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0	0	0	0	0.0112113803	0
taxid:1028799|Staphylococcus_aureus_subsp._aureus_VC40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1029718|Candidatus_Arthromitus_sp._SFB-mouse-Japan	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0.0	0	0	0	0	0.0	0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0
taxid:1030843|Porphyromonas_gingivalis_TDC60	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15710085	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.025214778	0.0	0.0	0.0
taxid:1031709|Propionibacterium_acnes_6609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1031711|Ralstonia_solanacearum_Po82	0	0	0	0	0.0	0	0	0.0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0.0	0	0	0.0	0	0.0	0	0	0	0	0	0.000755014	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0
taxid:1032480|Microlunatus_phosphovorus_NM-1	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0.0	0.0
taxid:10325|Macacine_herpesvirus_1	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1033813|Escherichia_coli_NA114	0	0	0	0	0	0.002192513	0	0.000643674	0	0	0	0.0	0.0	0	0.0	0	0	0.0	0.0	0.0	0	0	0.0	0	0.0	0	0	0	0	0.0	0.005813187	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0	0.0	4.4172086558	0.0	0.0	0.0	0	0.0	0	0	0	0	0.0	0.0	0.0	0.001227	0.0	0.0	0	0.0	0.019853326	0	0.0	0.0	0	0.0	0	0	0.0	0.0	0	0	0	0.001307459	0	0.0	0.0	0	0	0.0	0	0	0	0.0	0	0	0.0	0.0
taxid:1033837|Lactobacillus_kefiranofaciens_ZW3	0	0	0	0	0	0	0.0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0
taxid:1034807|Flavobacterium_branchiophilum_FL-15	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0
taxid:1034809|Staphylococcus_lugdunensis_N920143	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0
taxid:1034836|Bacillus_amyloliquefaciens_XH7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1035817|Bifidobacterium_longum_subsp._longum_KACC_91563	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0.0	0	0	0.0	0.0	0	0	0.0	0.0	0.0	0	0.000166947	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0	0.0	0.0	0	0	0	0.0	0	0.0	0.0	0	0	0.0	0.0	0.0	0	0.0	0	0	0	0.0	0.0	0	0	0.0	0	0.0	0	0	0.034975526	0	0.0	0	0.0	0	0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0	0	0	0.0	0.0	0	0.0	0	0	0	0.0
taxid:1036672|Advenella_kashmirensis_WT001	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0
taxid:1036673|Paenibacillus_mucilaginosus_KNP414	0	0	0	0	0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0.000784873	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0	0.000646366	0.0	0.0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0	0	0.0	0	0	0.0	0	0	0
taxid:1036743|Rhodospirillum_rubrum_F11	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0
taxid:10372|Human_herpesvirus_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0
taxid:1037409|Bradyrhizobium_japonicum_USDA_6	0	0	0	0	0	0	0.0	0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0.0	0.0	0	0.0	0	0	0	0	0
taxid:1037911|Pseudomonas_fluorescens_A506	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0.0	0
