kegg_pathways	MMRS11288076ST	MMRS11664448ST	MMRS11932626ST	MMRS12272136ST	MMRS14379078ST	MMRS14602194ST	MMRS15137911ST	MMRS16644320ST	MMRS17603756ST	MMRS17963147ST	MMRS18295921ST	MMRS20257302ST	MMRS21365932ST	MMRS24340226ST	MMRS25211151ST	MMRS25641480ST	MMRS29805707ST	MMRS31306426ST	MMRS32573774ST	MMRS33294861ST	MMRS34525504ST	MMRS34569532ST	MMRS35808664ST	MMRS36405092ST	MMRS38861560ST	MMRS38954404ST	MMRS39415781ST	MMRS39582183ST	MMRS40913371ST	MMRS41266697ST	MMRS41711735ST	MMRS42570301ST	MMRS42780924ST	MMRS43563715ST	MMRS43939546ST	MMRS44197125ST	MMRS44203591ST	MMRS44587603ST	MMRS47662059ST	MMRS47685461ST	MMRS48639115ST	MMRS51307502ST	MMRS51410669ST	MMRS51728985ST	MMRS51737257ST	MMRS54246132ST	MMRS54316675ST	MMRS55294627ST	MMRS56137463ST	MMRS57276462ST	MMRS57569834ST	MMRS59699117ST	MMRS61683006ST	MMRS62192467ST	MMRS62376181ST	MMRS62666492ST	MMRS64281211ST	MMRS64281551ST	MMRS65205033ST	MMRS65742083ST	MMRS65862658ST	MMRS65945127ST	MMRS66868025ST	MMRS67096717ST	MMRS67690541ST	MMRS68630931ST	MMRS68910755ST	MMRS71238091ST	MMRS71762412ST	MMRS72802364ST	MMRS72980899ST	MMRS73787048ST	MMRS77018926ST	MMRS77321055ST	MMRS77487595ST	MMRS78791111ST	MMRS79893829ST	MMRS80093644ST	MMRS81130264ST	MMRS81135225ST	MMRS81671217ST	MMRS84085284ST	MMRS84159866ST	MMRS84954772ST	MMRS85382779ST	MMRS85438660ST	MMRS85548821ST	MMRS86168210ST	MMRS95277876ST
ko00072: Synthesis and degradation of ketone bodies	0.00233299	0.00273205	0.00281002	0.00218584	0.00262988	0.00251271	0.0049093	0.00221743	0.00174946	0.00236542	0.00189948	0.00283999	0.00368835	0.00181568	0.0017274	0.00327456	0.0034806	0.00301796	0.00238165	0.00243971	0.00155654	0.00309391	0.0023314	0.00281139	0.00237167	0.00324906	0.00142855	0.00365795	0.00139929	0.00181754	0.00366698	0.00226078	0.00320192	0.0016712	0.00245216	0.00216136	0.000778356	0.00349761	0.00272699	0.00239072	0.00236728	0.00366577	0.00211361	0.00490274	0.00326546	0.00205399	0.00309421	0.00283781	0.00143271	0.00241712	0.00140164	0.00155785	0.00164928	0.00160465	0.00149582	0.00264901	0.00236016	0.00173876	0.00211094	0.00454589	0.00303445	0.00294946	0.00291886	0.0019812	0.00250677	0.00183558	0.0016559	0.00186496	0.00247959	0.00267445	0.00273827	0.00258135	0.00394425	0.00242177	0.00357672	0.00299711	0.0021039	0.00281325	0.0013897	0.00158407	0.00343523	0.00157824	0.00222382	0.0024191	0.00325539	0.00185385	0.00162414	0.00384424	0.0027088
ko00100: Steroid biosynthesis	3.86221e-05	1.2975e-05	9.40986e-05	1.847e-05	1.10131e-05	1.88887e-05	0.000100818	2.4011e-05	1.33877e-05	1.18906e-05	6.34767e-06	8.5998e-05	4.25914e-05	5.77101e-06	0.000130504	0.000223868	5.26342e-05	7.39743e-06	5.58174e-05	2.43055e-05	2.94297e-05	5.47895e-05	9.7429e-06	2.60098e-06	4.33078e-06	2.3658e-05	1.53724e-05	3.74339e-05	4.18581e-05	4.79868e-05	4.2023e-05	4.78742e-05	5.02747e-05	2.50365e-05	1.03508e-05	2.20947e-05	1.91701e-05	2.28029e-05	1.70311e-05	7.59448e-05	7.23285e-06	0.000123042	2.92534e-06	7.93515e-06	4.46506e-05	4.25539e-05	4.45952e-06	1.30281e-05	4.42239e-06	2.76253e-06	7.15971e-05	2.74736e-05	4.63975e-06	2.45518e-06	1.85736e-05	4.3549e-05	5.70073e-05	5.92313e-05	1.36735e-05	7.59301e-06	2.69577e-05	0.000172773	5.34141e-06	7.66689e-05	1.60278e-05	4.7179e-06	8.34183e-06	8.97673e-05	0.000669484	0.000123315	0.000249218	8.31398e-06	2.6195e-05	1.73212e-06	8.17692e-05	4.75987e-06	6.75402e-05	5.91509e-05	1.46144e-05	1.25893e-05	9.83451e-06	1.24474e-05	8.50378e-06	1.91151e-05	1.59416e-05	2.99081e-06	6.80166e-05	3.41148e-05	6.66106e-05
ko00120: Primary bile acid biosynthesis	0	6.30912e-06	0	0	0	0	1.82653e-06	0	0	1.38039e-07	0	4.50299e-06	0	0	0	5.66387e-06	0	0	0	0	0	5.92463e-06	0	0	0	1.77736e-06	0	0	0	1.38105e-06	0	0	0	0	8.40479e-06	3.5576e-06	3.69305e-08	0	3.32349e-08	1.79388e-07	0	3.95767e-06	7.38781e-08	0	0	0	0	0	0	0	0	0	7.28949e-08	0	0	7.8269e-06	3.993e-07	0	5.79405e-07	1.06793e-05	0	0	1.81338e-06	1.99141e-07	0	0	0	1.04875e-06	0	1.10558e-07	0	0	3.29245e-06	0	4.64401e-06	0	4.36556e-06	0	0	0	0	0	0	1.36248e-07	0	0	0	2.22239e-06	2.06489e-06
ko00130: Ubiquinone and other terpenoid-quinone biosynthesis	0.00274984	0.0031847	0.00280927	0.00309203	0.00350822	0.00276098	0.00308922	0.00302312	0.00495282	0.00344287	0.00427954	0.0028124	0.00218132	0.00288521	0.00305098	0.00273407	0.00281498	0.00423191	0.00295588	0.00235241	0.00476674	0.00241864	0.00584342	0.00185705	0.00262536	0.00245143	0.00261104	0.00267694	0.00376069	0.00496275	0.00701079	0.00307817	0.00474475	0.00346256	0.00265899	0.00352461	0.00529138	0.0030526	0.00422686	0.0044434	0.00297877	0.00236366	0.00276557	0.00742664	0.00260367	0.00500576	0.00393431	0.00390483	0.00415053	0.00214115	0.00449988	0.00427253	0.00387044	0.00294023	0.00396485	0.00281637	0.00533809	0.00491941	0.00476957	0.00431278	0.00241889	0.00197525	0.00330085	0.00344012	0.00265609	0.0040567	0.00498826	0.00367482	0.00339424	0.00338069	0.00423789	0.00223611	0.00298089	0.00248924	0.00243488	0.00250205	0.0036221	0.00386556	0.00431472	0.00445939	0.00226617	0.00292652	0.00217477	0.00355837	0.00272927	0.00441828	0.00307736	0.00341174	0.0017712
ko00140: Steroid hormone biosynthesis	0.000555072	0.000533369	0.000466194	0.000804091	0.000730324	0.000824807	0.000372339	0.000600769	0.00115644	0.000797244	0.000362786	0.000414056	0.000319849	0.000918682	0.000663043	0.000493006	0.000431901	0.000705831	0.000871989	0.00052539	0.000279208	0.000552161	0.000300181	0.000412798	0.000735386	0.000750872	0.000544421	0.000465578	0.000899189	0.000893912	0.00052441	0.000533731	0.000909821	0.000435771	0.000518774	0.00085096	0.00122179	0.000371176	0.000649964	0.000911859	0.00046639	0.000217557	0.000525588	5.41467e-05	0.000422141	0.00012681	0.000351292	0.0009845	0.000661421	0.000247777	0.000800967	0.000897159	0.000784543	0.000917428	0.000828709	0.000356983	0.00100558	0.000329564	0.000353927	0.000156384	0.000500108	0.00062242	0.000433999	0.000547935	0.000379835	0.000715091	0.0010648	0.00066938	0.000714362	0.000506702	0.000603373	0.000432779	0.000271985	0.000423577	0.000306762	0.000339904	0.000621937	0.000582385	0.00131988	0.00178977	0.000320196	0.000474752	0.00045531	0.000899237	0.0004396	0.00141952	0.000881852	0.000191681	0.000277866
ko00190: Oxidative phosphorylation	0.00514443	0.00542053	0.00543944	0.00535661	0.00546752	0.00540806	0.00515741	0.00538724	0.00644786	0.0055168	0.00597068	0.00517297	0.00498047	0.00585634	0.00558678	0.00534934	0.00538856	0.00601195	0.00521841	0.00510727	0.00606429	0.0051818	0.0057468	0.00535454	0.00530252	0.00497258	0.0056605	0.00512477	0.00582186	0.00591913	0.00585895	0.00552844	0.00613008	0.00573466	0.00544525	0.0059145	0.00598463	0.00574149	0.005563	0.00561087	0.00531014	0.00509987	0.00527876	0.00451068	0.00531596	0.00603139	0.00560619	0.00607432	0.00584511	0.00532939	0.00578195	0.00597108	0.00565698	0.00562582	0.0058771	0.00524578	0.00574851	0.00581066	0.00591191	0.00555933	0.00507557	0.00603132	0.00592198	0.00529851	0.00530061	0.00554	0.00576038	0.00575791	0.00582492	0.00572864	0.00603327	0.00509871	0.00551664	0.00511829	0.00493367	0.00532666	0.00599355	0.00560513	0.00601765	0.00607645	0.00500994	0.00564716	0.00544934	0.0056997	0.00570276	0.0059254	0.00577496	0.00500296	0.00465903
ko00195: Photosynthesis	2.01788e-05	5.53791e-06	1.21582e-05	1.66772e-06	4.08418e-06	1.05198e-05	3.94254e-05	1.53735e-05	7.58165e-06	2.22147e-05	1.44914e-06	5.75498e-06	1.87103e-05	3.39115e-06	3.37871e-06	3.67918e-06	3.75428e-06	3.35492e-06	7.58075e-05	1.01541e-07	6.70609e-08	2.94065e-06	5.199e-06	4.4512e-06	2.01701e-06	2.24236e-05	1.56649e-06	6.75714e-06	1.84763e-05	8.60708e-06	3.33712e-06	1.82858e-05	2.03992e-06	9.05537e-06	9.7971e-06	2.15388e-06	6.38597e-05	7.31049e-06	1.4964e-05	1.23288e-05	8.23777e-07	6.18945e-06	8.42573e-06	0.00029243	2.48406e-05	2.03221e-05	1.08688e-05	7.80101e-06	4.18285e-07	7.07101e-05	2.79724e-06	3.70222e-05	1.31858e-05	4.02032e-05	1.54511e-05	3.71124e-06	1.66691e-05	6.24323e-06	3.51131e-06	9.37529e-06	8.40154e-07	2.92079e-05	8.35298e-06	2.13558e-05	5.05298e-05	1.04371e-05	1.09156e-05	6.10384e-06	2.20563e-05	5.37448e-06	4.84531e-05	0.000107122	1.38619e-05	3.29786e-05	2.07295e-05	0.00013172	6.67827e-06	2.36446e-05	3.28645e-06	1.07354e-05	8.90537e-06	6.25836e-06	5.62927e-05	1.06457e-05	1.46105e-05	1.3606e-05	1.43014e-05	4.13687e-07	1.56826e-05
ko00196: Photosynthesis - antenna proteins	7.43124e-09	1.05104e-06	8.15658e-09	1.83494e-07	4.1468e-08	2.72632e-08	5.09085e-08	1.4872e-07	2.8595e-08	2.70074e-08	2.11498e-06	3.79421e-07	1.43378e-08	2.10472e-07	9.33933e-09	4.52776e-08	2.85573e-08	2.8993e-08	1.77559e-07	3.10722e-08	9.04722e-08	1.77591e-08	1.97465e-07	3.97887e-08	1.49305e-08	2.87362e-07	1.27299e-08	1.00924e-05	1.04563e-07	2.49209e-08	2.52093e-08	1.22537e-07	1.49741e-08	3.42344e-08	3.52964e-07	2.19685e-05	1.52523e-08	1.17415e-08	1.6313e-08	2.92692e-08	2.37266e-08	6.66953e-08	6.66199e-08	3.20918e-08	7.38518e-08	3.92199e-07	1.66244e-08	4.57174e-08	4.82011e-08	1.05406e-08	3.80241e-06	3.52317e-08	4.22104e-08	1.31441e-06	3.29943e-09	2.83806e-08	4.96059e-08	4.42358e-08	2.14142e-08	3.56663e-08	3.45687e-08	3.26755e-09	9.35413e-08	3.99832e-06	1.85384e-08	3.01413e-08	3.15372e-08	1.45915e-07	1.23968e-06	4.96267e-08	6.41975e-08	5.69666e-09	3.46965e-06	5.05195e-08	4.96156e-07	2.34472e-08	2.62536e-06	4.41497e-06	2.69441e-08	3.06976e-08	4.24715e-08	2.63371e-08	1.18093e-07	3.10179e-08	2.40852e-07	2.5562e-08	2.07246e-08	4.26538e-07	2.95849e-06
ko00230: Purine metabolism	0.0112316	0.011472	0.0113518	0.011071	0.0108003	0.0109916	0.0117868	0.01125	0.0107438	0.0110265	0.0116392	0.0118866	0.0116717	0.0105057	0.0112979	0.0116183	0.011242	0.0111872	0.0113542	0.0111907	0.0114673	0.0123793	0.0111317	0.0111771	0.0114365	0.0118155	0.0108743	0.0126568	0.0109144	0.0105719	0.0106902	0.0110927	0.0106381	0.011003	0.0111413	0.0109717	0.0102605	0.0119484	0.0110548	0.0106635	0.0107564	0.0121024	0.0117264	0.0117629	0.0117831	0.0112425	0.0117328	0.0113388	0.0110303	0.012088	0.0106106	0.0105	0.0107466	0.011322	0.0110532	0.0117084	0.0108798	0.0107395	0.0121086	0.011024	0.0114068	0.0115178	0.011039	0.0118794	0.0118305	0.0105888	0.0104629	0.0109058	0.0104758	0.0111477	0.0113428	0.011568	0.0123275	0.0114897	0.0122803	0.0114466	0.0110023	0.0113555	0.0106689	0.0108098	0.0114682	0.0109388	0.0121245	0.0110922	0.0114287	0.0102151	0.0106564	0.0113114	0.0125233
ko00240: Pyrimidine metabolism	0.0142054	0.0146302	0.0147826	0.0140695	0.0136017	0.0142132	0.0152778	0.0144762	0.0134978	0.0138575	0.0150674	0.0156277	0.0151765	0.013093	0.0147147	0.0152768	0.0143554	0.014302	0.0148687	0.0144502	0.0149634	0.0163455	0.0141467	0.0141344	0.014864	0.0153801	0.0138353	0.0170871	0.0138558	0.013217	0.0125603	0.0140244	0.0137664	0.0143492	0.0139204	0.0144913	0.0131601	0.0157334	0.013896	0.0135333	0.0136001	0.0162466	0.0155732	0.0133214	0.0152409	0.0146309	0.0155844	0.0147032	0.0141031	0.0159239	0.0132233	0.0133104	0.0138036	0.0137526	0.0136877	0.0157417	0.014074	0.0142191	0.0159976	0.014063	0.0146587	0.0141046	0.015369	0.0152728	0.0150638	0.0136815	0.0134866	0.0139805	0.0144751	0.0142836	0.0145379	0.0150963	0.0164028	0.0147498	0.0160878	0.0145571	0.0144887	0.0151326	0.0134209	0.0137344	0.0147384	0.0141509	0.0159823	0.0141684	0.0144907	0.013034	0.0140327	0.0158252	0.0171089
ko00250: Alanine, aspartate and glutamate metabolism	0.0209902	0.0217688	0.0207965	0.0223802	0.0211751	0.0215275	0.0209894	0.0215182	0.0215494	0.0208434	0.0230707	0.0211038	0.022225	0.0214885	0.0197297	0.0216295	0.0217987	0.0217461	0.0218815	0.0213049	0.0234429	0.0208969	0.0210103	0.0216872	0.0214114	0.0210529	0.0220383	0.0213659	0.0212082	0.0212797	0.0192909	0.0221436	0.0220904	0.0221917	0.0212226	0.0211528	0.0212888	0.0225139	0.01959	0.0210838	0.02168	0.0236662	0.0215248	0.0168881	0.0211929	0.023786	0.021836	0.0222093	0.0214105	0.0213368	0.0226311	0.021094	0.0222419	0.0217562	0.021983	0.0227306	0.020455	0.0246188	0.0218703	0.0210726	0.0209881	0.0197107	0.0245268	0.0233679	0.0216066	0.0215214	0.0216138	0.0217455	0.0208976	0.0216431	0.0216701	0.0217581	0.0223204	0.0214583	0.0213954	0.0225704	0.0217352	0.0228673	0.0207359	0.0227036	0.021705	0.0234784	0.0215073	0.0212747	0.0212967	0.0215457	0.0220662	0.0219252	0.0209199
