NormalizedPercentage	MMRS11288076ST	MMRS11664448ST	MMRS11932626ST	MMRS12272136ST	MMRS14379078ST	MMRS14602194ST	MMRS15137911ST	MMRS16644320ST	MMRS17603756ST	MMRS17963147ST	MMRS18295921ST	MMRS20257302ST	MMRS21365932ST	MMRS24340226ST	MMRS25211151ST	MMRS25641480ST	MMRS29805707ST	MMRS31306426ST	MMRS32573774ST	MMRS33294861ST	MMRS34525504ST	MMRS34569532ST	MMRS35808664ST	MMRS36405092ST	MMRS38861560ST	MMRS38954404ST	MMRS39415781ST	MMRS39582183ST	MMRS40913371ST	MMRS41266697ST	MMRS41711735ST	MMRS42570301ST	MMRS42780924ST	MMRS43563715ST	MMRS43939546ST	MMRS44197125ST	MMRS44203591ST	MMRS44587603ST	MMRS47662059ST	MMRS47685461ST	MMRS48639115ST	MMRS51307502ST	MMRS51410669ST	MMRS51728985ST	MMRS51737257ST	MMRS54246132ST	MMRS54316675ST	MMRS55294627ST	MMRS56137463ST	MMRS57276462ST	MMRS57569834ST	MMRS59699117ST	MMRS61683006ST	MMRS62192467ST	MMRS62376181ST	MMRS62666492ST	MMRS64281211ST	MMRS64281551ST	MMRS65205033ST	MMRS65742083ST	MMRS65862658ST	MMRS65945127ST	MMRS66868025ST	MMRS67096717ST	MMRS67690541ST	MMRS68630931ST	MMRS68910755ST	MMRS71238091ST	MMRS71762412ST	MMRS72802364ST	MMRS72980899ST	MMRS73787048ST	MMRS77018926ST	MMRS77321055ST	MMRS77487595ST	MMRS78791111ST	MMRS79893829ST	MMRS80093644ST	MMRS81130264ST	MMRS81135225ST	MMRS81671217ST	MMRS84085284ST	MMRS84159866ST	MMRS84954772ST	MMRS85382779ST	MMRS85438660ST	MMRS85548821ST	MMRS86168210ST	MMRS95277876ST
taxid:1005058|Gallibacterium_anatis_UMN179	0	0	0	0	0.000277038313162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000929861789669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000706275971934	0	0	0	0	0	0	0	0.000346743894445	0	0	0	0	0	0	0	0	0	0.000470804063615	0	0	0	0	0.000840251544915	0	0	0.000642923098224	0	0	0	0	0	0	0	0	0	0	0	0.000651116360673	0	0.00195885095451	0	0	0	0	0	0
taxid:1005090|Buchnera_aphidicola_str._Ak_(Acyrthosiphon_kondoi)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00139640037164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00403952153533	0	0	0	0	0	0.00326912239568
taxid:1006007|Bacillus_megaterium_WSH-002	0.00164865705594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0013467687411	0	0.000323628592591	0	0	0	0	0	0	0.00628284277448	0	0.00139301122163	0	0	0	0	0.00055219053306	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000298548683175	0.000223017120092	0	0	0	0	0	0.000994810423954	0.0105053830405	0	0	0	0	0.000254474724381	0	0	0	0.00198969863296	0	0.000502788423685	0	0.000197571954622	0	0	0
taxid:1006551|Klebsiella_oxytoca_KCTC_1686	0	0.0113423361546	0	0	0	0	0	0	0	0.0135983654295	0	0	0	0	0	0.000237646121736	0	0	0	0	0	0	0.00113862371051	0	0	0.000284746992308	0	0	0	0.000295889442747	0	0	0	0	0.000715090522735	0	0	0.0020350881142	0.000194951071425	0	0	0	0	6.75642682797e-05	0	0.0074950569722	0	0	0.00206153906242	0.000327492098123	0.000938224845615	0	0	0	0	0	0	0	0	0.00414767671508	0	0	0.00130864198875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000211293088726	0	0	0	0	0	0.366104209151	0
taxid:1007064|Streptococcus_suis_ST3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000485707121352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00674165362351	0	0	0.0018461763467	0.00144017717372	0	0.0073612149056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00242077408311	0.000678520679769	0	0.000810025311523	0	0.00201623265407	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000636595149054	0	0	0	0	0	0	0.000579244325427	0	0	0	0.00105256809452
taxid:1007105|Pusillimonas_sp._T7-7	0	0	0	0	0	0	0	0	0	0	0.00047437454307	0	0.000425689549852	0	0	0	0	0	0	0	0	0.000652171548005	0.00207977318338	0	0	0	0	0	0	0	0	0.000330061491527	0	0.000356104350297	0	0	0	0	0.000296742759614	0	0	0	0.000484814714789	0.000205684506108	0	0	0	0	0	0	0	0	0	0	0.00144292439184	0	0	0.00095814442345	0	0	0.00129271133038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1008297|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0148266775412	0	0	0	0.00240673025984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000661311774419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1008459|Taylorella_asinigenitalis_MCE3	0	0	0	0	0	0	0	0	0	0.000901436370704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00178318452537	0	0	0	0	0	0	0	0	0.00228048242153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:100901|Wolbachia_endosymbiont_of_Onchocerca_ochengi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00177570702144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1009464|Gardnerella_vaginalis_HMP9231	0	0	0	0	0	0	0	0	0.00603129238533	0	0	0	0	0	0	0.0131568672889	0	0.00079529418287	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000750312416233	0	0	0	0	0	0.000880227658863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00152834018964	0	0	0	0	0	0
taxid:1009846|Burkholderia_cepacia_GG4	0	0	0.000789155239958	0	0	0.000179055909869	0.000551099712293	0	0.00102461965437	0	0	0.000527172781438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00271151507481	0	0.000546648537446	0	0	0	0	0	0	0	0.00211487383975	0	0	0.000579150202198	0	0	0.000187235009616	0	0	0.000243191924386	0	0	0	0	0	0	0	0.000875664603989	0	0	0	0.000253134323131	0	0.000196126276884	0	0	0.000632497297112	0	0	0	0	0.000535654312791	0	0	0	0	0	0	0	0.000246907011856	0	0.000129634311679	0	0	0	0	0.00138098835441	0.00036342082791	0.000155046511266	0.000524488107508	0.0050008769531	0
taxid:1010840|Streptococcus_pyogenes_MGAS1882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000941463284699	0	0	0	0	0	0	0	0	0	0
taxid:101510|Rhodococcus_jostii_RHA1	0	0	0.000657510382849	0.000456715241086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000123155735198	0	0	0	0	0	0	0	0	8.47428503675e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.16002518885e-05	0	0.000971538938215	0	0	0.000253863607077	0.000201641401887	0	0	9.40106734797e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000196804155223	0	0	0	0.000182378841473	0	0	0	0.000158015440113	0	0	0	0	0	0	0	0.000271955055143	0	0	0	0	0.000833328692131	0
taxid:101570|Enterobacteria_phage_ES18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0456296140743
taxid:1016998|Salmonella_enterica_subsp._enterica_serovar_Paratyphi_B_str._SPB7	0	0	0	0	0	0	0	0	0	0.00243192595859	0	0.000701682422337	0	0	0	0	0	0	0	0	0	0	0.00195994823901	0	0	0	0	0	0	0	0.010353729874	0	0	0	0	0	0.00016902121109	0	0.000239696652827	0	0	0	0.000391613478715	0.000249215285234	0	0	0	0	0	0	0	0	0	0	0	0.000757134172207	0	0.000257983279888	0	0.000566628914369	0	0	0.000536334753395	0.000168374487905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0174728236961	0
taxid:1017264|Bordetella_pertussis_CS	0	0	0	0	0	0	0	0.000211357134737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000251017632039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:102608|Helicobacter_pylori_F32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00165778320944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1028307|Enterobacter_aerogenes_KCTC_2190	0.000226376163252	0	0.000966549614257	0	0	0.000219305925946	0	0	0	0.00055945408094	0	0	0	0.000147466711496	0.000187541640665	0	0	0	0	0	0	0	0.118516408648	0	0.00298401359422	0	0	0	0	0.000167382444622	0.00469656800125	0	0	0.00211749890077	0.00647234176172	0	0	0.00028780853113	0.012131059924	0	0.000141867499875	0	0	0	0	1.97088295856	0.00268073179932	0	0	0	0.000353831185068	0.000140630073296	0	0.000196058207257	0	0.004876912649	0.00434311449519	0.000237391764725	0	29.556463224	0	0.0610006409556	0	0.000464805899464	0	0	0	0	0	0.000445585356248	0	0	0	0	0	0	0	0	0.00142897352565	0	0	0.00621539983484	0.00799555597904	0	0	0	0	6.60124585264	0
taxid:1028799|Staphylococcus_aureus_subsp._aureus_VC40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000509955365066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000973686660768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1029718|Candidatus_Arthromitus_sp._SFB-mouse-Japan	0	0	0	0	0	0	0.00513351732388	0	0	0	0	0	0.0010313243491	0	0	0	0	0	0.0010567943849	0	0.00149712694559	0	0.000839782859506	0	0	0.00105006439454	0	0	0	0	0.00043738000536	0	0	0	0	0	0	0	0	0	0	0	0.00352370327391	0	0.00325047910788	0.00145471569575	0	0	0	0.00362308787471	0	0	0	0	0	0	0	0	0	0.00509847660813	0	0	0	0.00959511828533	0.000935319361285	0	0	0	0	0.000726184991979	0	0.000779157221894	0	0.000708852766163	0.0085176529185	0	0	0	0	0	0.00108283491769	0	0	0	0	0	0	0	0.00395455434769
taxid:1030843|Porphyromonas_gingivalis_TDC60	0.00255426812115	0.00855597301607	0.00163587908179	0.00189383805112	0.0494418377286	0.0069285792137	0	0.00223519154409	0.00364111707124	0.00126249663716	0.00556981956167	0.00509974562997	0.0292751114315	0.00133112785266	0.00126965214162	0.00606746035373	0.00673813913876	0.00821542957959	0.00512162723015	0.00204273469812	0.00207304176292	0.00109391495412	0	0	0.00168347468375	0.00727001591296	0.00293996707355	0.0214127018542	0.0021083934165	0.00302179972447	0.00484505082244	0.00332175669853	0.000560220892574	0.0047784712499	0.00255602603992	0.343918540351	0.000350978959462	0.00584536932643	0.00647060955422	0	0.0697919274886	0.0174819341432	0.00162640050186	0	0.0172533482748	0.00805726301126	0.00470516307861	0.00350137684219	0.00526341706633	0.00418068114683	0.000798476043858	0.000317354007538	0.00194914658666	0	0.0121013909203	0.00471665352925	0.00276982660858	0.016607074219	0.0244876196882	0.00352987933558	0.00271039931899	0.00140466935088	0.0211606699341	0.00104890804267	0.0116560622531	0.0101583153617	0.00652862290112	0.0171187969768	0	0.00854703769345	0	0	0.0182291354606	0.000490767129784	0.0026209386176	0.00237565653602	0.00818921287761	0.00662353890979	0.000358300535426	0.00639859652316	0	0.000539462806924	0.016915534625	0.00763391821801	0.0030134123182	0.0441394293699	0.000966433280977	0.0155498492261	0.000912632062883
taxid:1031709|Propionibacterium_acnes_6609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000873096427931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1031711|Ralstonia_solanacearum_Po82	0	0	0	0	0.0010995853777	0	0	0.00128419077152	0.00174328420655	0	0.000342861837518	0	0	0	0	0	0	0	0	0	0	0	0.000751594774312	0	0	0	0	0.000461336202714	0	0	0.000782898871288	0	0	0.000257380151769	0	0.000411650976885	0	0	0	0	0	0.00968523162667	0	0.000148661787913	0.000323237407787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00228153523988	0	0	0	0	0	0	0	0	0	0	0.000325872601967	0	0	0	0	0	0.00176436416007	0	0	0	0	0	0	0.000234960863517	0	0	0	0	0
taxid:1032480|Microlunatus_phosphovorus_NM-1	0	0	0	0	0	0	0	0	0	0.000519804578625	0	0	0	0	0	0	0	0	0.000301244964698	0	0	0	0	0	0	0	0	0	0	0	0.000124677540075	0	0	0	0	0	0	0.000267411030406	0.00020493291283	0	0	0	0	0	0	0.000829349180262	0.000830247861756	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000223189184739	0	0	0	0	0	0	0	0	0	0	0.000222102987258	0	0	0	0	0.000280977009089	0	0	0	0	0	0.000464306047198	0	0	0	0	0.000711366719874	0.000751511427318
taxid:10325|Macacine_herpesvirus_1	0	0	0.00814307362936	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006288953873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1033813|Escherichia_coli_NA114	0	0	0	0	0	2.06960027029	0	0.456229829349	0	0	0	0.103554817307	0.00134427332501	0	0.000995970301575	0	0	0.0905918179142	0.00137747208517	0.177146408528	0	0	0.00109460975863	0	0.145000856959	0	0	0	0	0.000177782324243	0.0199535089145	0.00182401119066	0	0.0022490642732	0.00137489682898	0.000224820537534	0.000825969433621	0	0.00281122740465	0.114993880726	0	0	0.0325333899761	2.96841248108	0.252443669384	0.0431371883965	0.00759277921536	0	0.00165154120914	0	0	0	0	0.00437303542127	0.0102522853425	0.00184997397475	0.00661859879135	0.00504282988388	0.0108668921441	0	0.0137774842876	2.81410069593	0	0.188587831933	0.000304784054804	0	0.00979455404461	0	0	0.110035428788	0.000711892915653	0	0	0	0.0727816255095	0	0.000321198718611	0.000259789584456	0	0	0.311216887569	0	0	0	0.000236385154402	0	0	0.140683338382	0.126286213644
taxid:1033837|Lactobacillus_kefiranofaciens_ZW3	0	0	0	0	0	0	0.000504673677224	0.0125897366343	0	0	0.00395446124017	0	0	0	0	0	0	0	0	0	0	0.00761124728272	0	0.000525284866193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000171461858354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000499736338629	0	0	0	0	0	0	0	0	0.00178070383572	0	0	0	0	0	0	0	0	0	0
taxid:1034807|Flavobacterium_branchiophilum_FL-15	0	0	0	0	0	0	0	0	0	0.000414520246487	0	0	0	0.000218527095183	0	0	0.000553089611183	0	0	0	0	0	0	0	0	0	0.000321763464584	0	0.000230752234099	0	0	0	0	0	0.000239779884875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000724910440867	0	0	0	0.000354247685285	0.00148105087984	0	0	0	0	0	0
taxid:1034809|Staphylococcus_lugdunensis_N920143	0	0	0	0	0	0	0	0	0	0	0	0.000656691583	0.00193084285858	0	0	0	0	0	0.0019785277957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0017718587135	0	0	0	0	0	0	0	0.00304948639063	0	0	0	0	0	0
taxid:1034836|Bacillus_amyloliquefaciens_XH7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000466950977976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
