family	ERR688358	ERR688359	ERR688360	ERR688361	ERR688362	ERR688363	ERR688364	ERR688365	ERR688366	ERR688367	ERR688368	ERR688369	ERR688370	ERR688371	ERR688372	ERR688373	ERR688374	ERR688375	ERR688376	ERR688377	ERR688378	ERR688379	ERR688380	ERR688381	ERR688382	ERR688383	ERR688384	ERR688385	ERR688386	ERR688387	ERR688388	ERR688389	ERR688390	ERR688391	ERR688392	ERR688393	ERR688394	ERR688395	ERR688396	ERR688397	ERR688398	ERR688399	ERR688400	ERR688401	ERR688402	ERR688403	ERR688404	ERR688405	ERR688406	ERR688407	ERR688408	ERR688409	ERR688410	ERR688411	ERR688412	ERR688413	ERR688414	ERR688415	ERR688416	ERR688417	ERR688418	ERR688419	ERR688420	ERR688421	ERR688422	ERR688423	ERR688424	ERR688425	ERR688426	ERR688427	ERR688428	ERR688429	ERR688430	ERR688431	ERR688432	ERR688433	ERR688434	ERR688435	ERR688436	ERR688437	ERR688438	ERR688439	ERR688440	ERR688441	ERR688442	ERR688443	ERR688444	ERR688445	ERR688446	ERR688447	ERR688448	ERR688449	ERR688450	ERR688451	ERR688452	ERR688453	ERR688454	ERR688455	ERR688456	ERR688457	ERR688458	ERR688459	ERR688460	ERR688461	ERR688462	ERR688463	ERR688464	ERR688465	ERR688466	ERR688467	ERR688468	ERR688469	ERR688470	ERR688471	ERR688472	ERR688473	ERR688474	ERR688475	ERR688476	ERR688477	ERR688478	ERR688479	ERR688480	ERR688481	ERR688482	ERR688483	ERR688484	ERR688485	ERR688486	ERR688487	ERR688488	ERR688489	ERR688490	ERR688491	ERR688492	ERR688493	ERR688494	ERR688495	ERR688496	ERR688497	ERR688498	ERR688499	ERR688500	ERR688501	ERR688502	ERR688503	ERR688504	ERR688506	ERR688507	ERR688508	ERR688509	ERR688510	ERR688511	ERR688512	ERR688513	ERR688514	ERR688515	ERR688516	ERR688517	ERR688518	ERR688519	ERR688520	ERR688521	ERR688522	ERR688523	ERR688524	ERR688525	ERR688526	ERR688527	ERR688528	ERR688529	ERR688530	ERR688531	ERR688532	ERR688533	ERR688534	ERR688535	ERR688536	ERR688537	ERR688538	ERR688539	ERR688540	ERR688541	ERR688542	ERR688543	ERR688544	ERR688545	ERR688546	ERR688547	ERR688548	ERR688549	ERR688550	ERR688551	ERR688552	ERR688553	ERR688554	ERR688555	ERR688556	ERR688557	ERR688558	ERR688559	ERR688560	ERR688561	ERR688562	ERR688563	ERR688564	ERR688565	ERR688566	ERR688567	ERR688568	ERR688569	ERR688570	ERR688571	ERR688572	ERR688573	ERR688574	ERR688575	ERR688576	ERR688577	ERR688578	ERR688580	ERR688581	ERR688582	ERR688583	ERR688584	ERR688585	ERR688586	ERR688588	ERR688589	ERR688590	ERR688591	ERR688592	ERR688593	ERR688594	ERR688595	ERR688596	ERR688597	ERR688598	ERR688599	ERR688600	ERR688601	ERR688602	ERR688603	ERR688604	ERR688605	ERR688606	ERR688607	ERR688608	ERR688609	ERR688610	ERR688611	ERR688612	ERR688613	ERR688614	ERR688615	ERR688616	ERR688617	ERR688618	ERR688619	ERR688620	ERR688621	ERR688622	ERR688623	ERR688624	ERR688625	ERR688626	ERR688627	ERR688628	ERR688629	ERR688630	ERR688631	ERR688632	ERR688633	ERR688634	ERR688635	ERR688636	ERR688637	ERR688638	ERR688639	ERR688640	ERR688641	ERR688642	ERR688643	ERR688644	ERR688645	ERR688646	ERR688647	ERR688648	ERR688649	ERR688650	ERR688651	ERR710415	ERR710416	ERR710417	ERR710418	ERR710419	ERR710420	ERR710421	ERR710422	ERR710423	ERR710424	ERR710425	ERR710426	ERR710427	ERR710428	ERR710429	ERR710430	ERR710431	ERR710432
d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	12735	38898	45151	7095	51278	12340	13571	27973	3247	38540	16012	20869	5119	30569	38745	80972	22290	10230	87658	9259	24462	31060	28801	25180	45421	61822	10929	7712	21957	6101	38559	26367	8947	45488	32719	19507	7446	109439	4032	33990	22539	45216	25317	20031	12775	54741	28493	58233	12630	5822	42975	43979	63845	17842	25604	5948	34581	26092	10616	48015	23764	36093	7569	24412	7243	13547	15105	41654	25987	14683	17050	27539	19859	27566	35195	6267	10435	17191	12322	41477	8806	19805	14563	50565	36783	22227	30948	10869	24766	24530	21694	19382	67510	61471	21720	36482	27003	33548	43544	18396	24508	8932	48639	50564	10048	23700	62992	13738	66316	31128	3942	28199	13890	12390	19365	77265	45766	18027	36596	21434	26451	16753	36777	22226	12548	22153	2399	19485	25193	37059	9207	30384	7827	1293	30856	23590	5064	29998	9890	8601	46832	45677	16371	527	22976	11016	10855	48737	65099	11264	68746	13510	21374	37895	7461	71360	47206	48648	8642	51896	65121	165345	58100	23667	131287	18167	86043	51465	67767	31586	51965	96779	29102	12474	28306	8561	57683	57913	19615	44175	33586	38968	10408	142768	12499	51100	65659	79334	81206	24292	13195	87861	32539	85972	21101	6736	89247	91007	86790	60836	33947	9484	34663	42764	11415	49357	27931	107634	23709	67056	9993	24520	30019	101657	82848	52345	25103	53694	33903	45942	14206	29776	29915	16057	77466	19145	42016	108622	41933	40439	62955	15194	56972	44441	35709	25176	80308	93898	33659	44859	79398	62027	93898	49371	45499	10742	59908	83928	16228	30420	90794	31542	108109	53148	5166	40353	29413	22477	29590	124196	68050	27791	66298	23559	52708	26181	62473	49359	25592	40086	2344	28552	29289	70593	25791	47776	13597	607	49288	46211	11157	73705	15972	21917	57952	51972	56982	381	47795	17413	19929	16012	10253	14494	20318	15747	23231	6879	16762	7847	54650	35654	59853	51558	43759	65315	13359	55250	27564
d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Symbiobacteriaceae	2	1	4	4	1	3	1	1	0	2	2	1	2	1	0	0	0	0	2	8	3	1	4	9	10	0	0	0	0	0	2	0	0	2	0	5	0	0	0	27	0	1	2	1	1	3	3	3	2	0	2	1	0	3	2	0	0	0	1	1	1	0	3	0	4	1	0	0	4	7	3	1	7	3	12	2	4	9	1	0	0	6	0	0	5	2	0	0	6	0	0	1	7	1	0	8	0	0	0	2	2	2	0	1	0	6	7	0	3	4	0	1	1	8	0	3	0	0	4	5	3	2	4	0	2	4	5	0	4	4	5	0	0	1	3	0	1	1	0	2	3	3	3	0	4	1	3	1	9	3	1	0	1	0	0	1	7	1	9	1	0	2	0	0	5	11	6	1	11	3	4	0	0	0	1	0	0	2	3	0	0	9	0	0	1	7	3	2	3	3	0	0	3	0	1	1	10	4	0	9	7	0	0	0	2	1	5	0	2	3	5	0	0	1	5	4	11	2	4	4	2	2	8	0	1	2	5	0	6	6	0	3	8	0	1	2	3	0	1	4	2	0	3	3	5	5	0	4	3	8	3	1	3	6	0	4	1	6	8	1	0	0	2	8	3	8	6	1	5	7	1	2	9	4	9	2	2	1	1	0	1	2	2	4	4	2	5	0	2	1	1	2	3	1	0	2	2	0	1	1	6	1	1	5	1	5	1	2	4
d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Syntrophomonadaceae	3	2	0	0	12	1	0	1	1	1	0	6	1	1	0	1	2	0	0	0	0	0	1	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	2	1	1	0	0	1	1	3	0	3	0	0	0	17	2	0	0	3	10	5	0	1	0	1	0	0	0	0	0	1	1	1	0	8	6	0	0	0	0	2	1	0	1	0	1	0	2	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	3	5	0	16	0	2	0	0	0	4	4	1	0	1	4	1	2	2	0	1	0	1	0	0	1	8	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	3	12	0	0	1	1	3	2	5	4	0	1	2	1	1	3	0	3	0	1	2	0	0	0	3	0	0	0	0	0	1	0	1	0	2	0	0	3	2	1	0	0	0	0	2	6	1	0	0	0	0	13	3	1	1	1	11	3	1	0	0	1	0	0	0	1	2	0	0	0	1	8	1	1	0	0	2	1	0	0	0	0	2	0	1	1	0	0	1	0	2	0	0	0	0	0	1	0	0	3	1	9	0	1	1	1	0	5	5	1	0	0	2	1	2	2	1	0	0	1	1	0	0	11	1	4	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	3	0	3	2	0	0	0	1
d__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales|f__Halanaerobiaceae	0	2	3	3	3	8	1	0	0	2	2	4	2	3	4	1	0	1	2	0	4	3	0	2	3	1	0	0	1	0	2	4	0	3	2	1	0	5	1	0	0	7	5	1	0	2	5	1	3	1	1	4	0	3	1	0	2	1	2	4	3	1	1	0	4	0	0	2	0	1	1	1	0	1	2	1	0	6	1	0	0	2	3	0	0	2	3	3	4	1	1	1	4	4	1	2	0	0	1	1	3	1	0	1	3	2	0	0	3	0	0	0	0	1	0	2	0	1	2	1	1	4	1	0	0	2	0	1	2	6	0	2	0	0	0	2	0	1	0	1	0	7	0	0	2	2	0	3	5	1	7	6	1	0	0	2	3	2	3	2	5	0	1	0	3	2	10	8	4	1	8	1	2	2	2	0	0	3	1	6	1	3	0	5	1	0	4	5	16	2	0	0	7	3	3	3	10	5	0	9	3	1	1	1	3	1	5	5	0	1	4	1	0	4	4	2	2	11	0	2	2	4	6	0	1	4	2	1	3	2	3	7	3	3	2	3	6	2	0	1	2	8	3	5	5	2	0	4	3	5	4	0	4	0	4	1	3	1	6	2	2	2	1	0	2	7	3	4	0	6	0	3	2	8	3	5	3	0	2	8	0	1	0	1	0	11	1	0	4	0	0	1	0	0	3	0	1	4	0	1	2	1	0	3	1	1	6	4	16
d__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales|f__Halobacteroidaceae	0	1	0	1	1	4	0	1	0	2	0	0	1	1	0	0	0	0	0	1	1	3	0	2	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	2	0	1	1	0	2	1	2	0	1	2	0	2	0	0	2	0	0	0	6	0	5	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	6	0	0	0	0	0	0	3	1	0	0	0	0	0	0	1	1	1	1	0	0	0	2	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	2	0	0	1	1	1	0	1	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	5	1	6	3	1	0	3	0	1	0	1	0	0	0	0	1	1	1	3	0	1	2	0	4	0	0	0	2	0	1	0	0	1	0	0	1	4	6	4	8	0	0	0	1	0	1	1	1	4	1	6	3	0	0	2	7	1	6	0	1	0	2	0	0	0	0	0	2	1	0	0	0	0	4	1	0	2	0	0	3	0	0	3	0	1	0	1	4	1	1	1	0	0	0	1	2	0	1	0	2	4	2	0	0	0	0	0	0	0	0	0	0	1	1	2	2	5	3	0	2	1	0	2	1	2	4	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	2	1	0	1	0	5
d__Bacteria|p__Firmicutes|c__Clostridia|o__Natranaerobiales|f__Natranaerobiaceae	1	0	0	0	2	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	2	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	1	2	0	0	1	4	0	0	0	0	2	0	1	2	0	0	0	0	1	0	0	0	0	0	2	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacteraceae	2	10	12	6	8	1	1	3	2	18	9	4	7	6	8	9	1	1	9	17	4	6	11	18	17	8	6	3	5	0	4	2	4	9	9	4	1	3	7	24	5	0	9	3	4	5	16	4	8	2	6	13	2	9	13	0	1	2	7	9	16	2	3	3	8	6	3	4	4	7	10	6	7	7	9	3	5	7	7	3	7	3	4	1	18	3	1	4	15	3	4	6	12	0	2	13	4	13	4	7	7	6	0	9	1	18	12	2	8	10	2	3	3	13	12	6	3	5	4	10	4	15	9	1	4	11	1	3	7	12	5	8	4	0	8	3	3	4	6	0	2	8	3	1	7	1	4	13	20	12	10	3	0	7	6	22	9	8	17	10	6	21	6	6	14	28	14	13	12	19	34	12	16	2	5	2	5	10	3	10	6	11	5	4	21	31	10	8	23	9	0	12	17	6	7	0	14	28	5	23	11	2	1	3	14	9	23	7	15	8	12	5	8	6	16	17	10	22	5	12	7	5	12	8	6	14	13	5	33	16	9	16	29	1	6	14	7	2	10	12	8	17	10	20	20	12	0	8	10	36	10	13	13	23	2	3	8	18	12	6	3	9	7	9	4	21	16	7	10	22	2	12	6	12	14	14	8	1	9	5	10	8	7	4	9	9	3	0	7	5	9	6	1	0	5	4	7	10	2	5	22	7	5	13	13	18	20	12	15
d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacterales_Family_III_Incertae_Sedis	0	3	4	7	5	4	4	0	0	3	3	1	8	4	1	1	1	1	4	5	4	0	3	3	5	1	0	1	3	2	3	3	2	8	4	2	2	1	0	2	1	3	2	0	11	3	12	4	6	0	3	2	2	3	7	0	0	2	2	6	9	6	0	6	6	1	0	4	2	5	3	0	1	3	1	2	2	5	1	1	2	4	5	0	5	6	0	3	3	1	1	2	4	2	0	9	2	3	6	4	3	4	1	3	4	6	6	2	3	3	0	2	1	3	4	2	7	5	2	9	2	3	5	0	1	6	12	4	6	4	1	5	3	0	0	2	2	5	1	1	3	6	2	1	6	0	5	14	2	27	8	9	4	4	2	9	13	10	13	6	8	3	3	8	9	9	11	11	4	11	13	4	2	0	5	1	2	6	2	14	1	7	8	1	1	2	7	7	18	3	5	1	11	4	6	0	8	3	0	12	18	3	1	0	9	8	10	3	5	2	11	5	0	10	2	8	4	11	6	5	6	6	14	2	2	9	6	1	4	11	1	10	3	3	7	5	5	1	2	8	5	8	5	7	6	8	2	7	4	16	13	3	8	3	2	2	4	6	7	6	2	6	4	7	3	6	17	3	4	2	14	1	11	13	10	7	15	0	3	7	5	20	5	4	5	13	9	0	4	1	6	3	0	5	2	0	1	8	0	5	18	5	15	8	6	9	7	16	12
d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacterales_Family_IV_Incertae_Sedis	0	3	0	0	0	5	1	0	0	2	0	0	2	0	3	0	3	1	3	1	2	1	1	2	1	0	0	1	1	0	0	0	0	0	1	0	0	2	0	1	0	2	2	3	1	2	0	0	0	1	1	0	0	2	1	1	0	0	3	0	2	0	0	1	0	0	0	2	0	0	1	1	0	0	0	0	0	10	0	1	0	1	0	0	0	1	2	1	0	2	0	1	1	0	0	4	0	2	0	1	1	1	0	1	1	7	0	1	0	0	0	0	0	0	2	2	4	0	2	6	0	2	1	0	0	1	1	1	2	2	1	1	0	0	0	1	1	0	2	0	1	1	0	0	2	0	0	4	1	1	1	5	2	1	1	2	1	1	8	0	0	0	2	3	5	3	2	4	2	2	3	0	0	0	0	0	0	0	0	3	2	1	4	3	0	1	0	1	10	2	0	0	1	1	0	0	1	1	0	9	1	0	0	2	0	1	1	2	0	1	3	0	1	4	0	2	0	2	0	1	1	0	7	0	1	2	1	1	0	4	0	2	1	1	0	3	1	1	0	3	0	2	4	1	3	2	1	1	1	3	1	4	1	0	0	1	1	3	3	3	1	0	2	4	0	6	1	1	1	1	0	4	2	4	5	4	1	0	3	3	1	1	0	0	6	0	1	0	2	0	0	0	0	0	0	1	0	2	0	3	1	2	1	0	1	3	1	8	11
d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermodesulfobiaceae	1	1	0	2	2	9	0	0	0	4	0	0	0	0	0	0	0	0	1	1	0	1	0	6	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	3	0	0	2	0	0	1	0	1	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	1	1	0	0	0	0	2	0	0	0	0	0	0	1	2	5	0	1	2	0	0	2	1	0	2	0	0	0	0	0	0	2	0	0	0	2	0	2	1	1	0	0	1	0	1	0	0	2	0	3	0	2	0	0	1	0	0	0	0	0	0	0	0	1	1	3	0	0	0	0	2	0	0	0	0	5	0	0	1	0	1	3	1	0	0	0	0	0	0	0	0	1	2	0	2	1	0	0	0	0	0	1	8	0	2	0	0	0	0	0	0	2	1	1	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0
d__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	227	349	553	320	498	1023	487	357	95	1083	164	420	104	636	624	181	236	570	729	470	160	901	258	870	639	428	189	130	751	208	204	788	181	730	456	215	484	521	390	402	166	619	154	923	1239	533	362	816	537	1285	995	2003	419	61	608	113	187	331	1602	383	700	235	148	374	326	246	396	369	435	252	160	167	419	454	244	96	162	229	293	516	428	1123	549	468	263	2143	290	488	141	307	289	747	775	387	715	2039	479	636	610	222	360	592	986	554	484	384	456	163	455	1212	319	488	591	272	230	794	882	874	425	334	385	283	243	355	354	427	212	495	322	435	246	803	72	18	391	327	1242	73	141	41	53	318	355	36	507	101	397	484	780	600	913	1290	841	484	243	2405	576	900	193	1105	1048	408	656	1528	965	1227	555	1734	622	1115	781	653	493	255	1305	357	324	1915	445	872	443	410	723	597	1362	619	563	1323	511	1199	1061	892	500	1155	1091	1601	2392	3852	603	237	999	193	188	560	2323	551	883	737	480	981	593	515	905	1005	1162	621	253	398	846	705	265	465	341	490	1027	965	2309	1144	371	5422	640	731	403	624	500	1283	1383	561	1096	3157	1510	1104	1232	690	734	829	1270	975	721	550	656	422	861	2041	593	891	1175	560	457	1197	1367	1493	852	414	832	455	500	1115	893	699	254	699	456	1031	780	1124	186	16	928	708	2753	182	280	72	132	502	1107	62	977	189	877	146	70	532	93	165	139	254	113	127	507	229	1651	398	518	496	502	396	411
d__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae	4	115	21	7	10	11	18	4	7	22	7	3	35	6	2	24	5	2	11	15	18	16	23	5	20	7	1	2	34	263	12	1	80	14	2	82	170	4	6	30	22	9	13	29	1	6	10	10	17	0	9	10	2	13	3	0	12	1	0	27	20	3	6	10	19	468	6	6	224	21	13	14	4889	39	14	10	3	2804	4	3	4	14	7	2	17	5	8	10	8	2	5	12	9	1	7	28	4	6	7	3	6	12	7	12	20	43	10	1	6	13	2	477	6	7	83	5	3	5	242	54	3	44	21	2	8	39	3	9	8	11	1347	10	15	59	17	4	8	3	86	75	6	13	134	0	25	6	31	9	23	7	11	8	33	8	16	26	28	24	47	7	2	36	3	8	17	40	81	31	22	20	24	18	2	1	40	394	11	6	10	9	3	145	220	9	32	65	58	7	17	36	2	6	19	8	14	1	14	13	3	20	10	2	8	5	2	36	19	9	12	8	28	875	2	11	582	34	16	26	8097	48	6	22	3808	7	3	9	46	2	27	8	19	17	11	0	3	10	13	3	3	26	5	8	0	25	15	17	9	13	33	49	6	10	10	25	6	769	10	11	27	3	2	11	503	50	6	58	27	7	24	78	2	8	17	13	4842	13	13	81	26	14	25	7	149	193	6	11	457	0	21	4	39	12	17	14	10	718	6	4	13	209	25	16	17	17	2275	16	9	38	754
d__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	47	104	47	195	45	81	276	38	992	18	25	36	44	32	14	614	37	48	34	31	20	36	15	391	154	31	17	35	388	249	41	145	98	63	27	45	882	119	25	46	118	157	18	75	276	42	88	47	18	37	16	184	7	16	20	1230	353	8	80	25	43	14	19	89	106	1304	30	17	27	387	77	24	2024	44	38	13	1089	121	78	37	41	28	34	9	50	103	23	193	121	12	13	24	140	152	81	92	40	11	5	39	21	29	29	28	45	63	5492	13	18	154	459	27	61	24	119	37	127	823	31	136	36	823	19	39	766	480	43	318	227	254	27	67	206	244	34	392	11	50	3491	8	1358	29	91	3125	195	24	650	31	61	334	70	33	665	70	2944	40	57	97	39	33	25	1930	88	65	29	44	88	39	21	600	301	84	32	69	792	427	28	428	41	50	22	74	1690	147	47	64	65	31	48	135	325	50	129	64	37	64	31	335	8	55	36	2271	423	11	100	28	34	36	38	204	118	3636	61	22	71	689	82	43	2645	85	17	4035	124	129	68	52	37	15	41	236	15	56	32	24	17	30	78	225	107	88	40	20	24	73	29	30	31	56	68	79	14680	13	23	76	918	37	164	44	47	60	33	2076	37	170	46	921	43	45	1929	503	70	241	113	683	80	105	626	363	56	898	33	55	8978	26	3737	26	163	10847	425	19	1715	655	31	61	57	241	103	2576	32	44	1543	53	42	37	811	297	6495	117	37
d__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae	1	6	2	3	5	15	3	5	115	2	4	2	5	0	4	0	2	1	3	5	1	5	0	6	6	2	1	0	2	40	2	22	0	4	1	1	2	4	0	1	4	5	6	8	49	1	2	3	6	1	6	0	0	0	3	7	2	0	3	4	5	6	0	12	118	32	11	0	0	14	22	52	11	5	21	1	42	99	170	1	0	2	1	2	7	4	4	18	3	0	1	2	5	2	2	1	3	6	1	2	2	0	7	0	6	4	3	1	12	0	2	0	1	527	0	4	1	4	2	2	5	3	2	1	6	2	2	3	4	2	2	26	26	6	2	7	0	0	3	0	28	3	23	5	16	1	3	6	5	17	4	15	4	2	506	3	7	3	12	1	7	3	7	2	7	7	7	7	6	5	14	6	1	2	2	133	1	100	0	15	3	7	2	4	1	4	13	28	25	8	66	1	9	8	9	3	6	10	1	17	10	30	0	0	9	4	12	1	8	30	300	108	40	5	1	112	52	174	35	5	2	171	248	684	1	2	6	6	4	14	2	33	5	2	3	3	6	4	5	2	3	3	2	1	3	2	2	2	6	8	13	1	14	0	5	1	4	1546	1	5	4	15	2	4	5	6	7	3	9	11	2	4	8	11	10	47	154	9	3	7	2	0	3	1	171	1	139	17	57	4	6	2	0	3	2	0	4	8	3	4	4	3	1	7	2	9	24	4	20
d__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae	0	4	4	5	5	6	1	1	2	3	6	0	3	4	1	4	0	6	2	0	2	6	2	3	5	4	0	2	3	0	3	1	3	5	3	0	0	2	1	3	0	1	4	1	0	2	9	0	5	0	2	2	0	1	3	3	1	2	5	4	5	2	0	3	1	2	3	2	0	2	2	4	2	2	3	1	2	0	5	3	1	1	4	0	1	0	2	2	1	2	0	1	5	2	7	0	1	3	4	1	3	1	0	1	2	5	4	1	4	3	1	7	0	7	1	1	4	6	0	2	1	3	2	0	4	0	3	6	1	2	2	3	0	1	1	0	0	3	0	0	4	8	1	0	2	8	4	9	5	17	17	3	1	2	2	7	2	7	6	3	6	6	8	6	10	1	12	5	4	12	10	5	0	1	9	1	11	8	1	12	5	1	4	4	2	3	8	7	8	4	1	7	3	4	5	1	6	8	2	8	5	4	1	4	15	6	11	11	5	5	3	0	12	1	4	7	3	13	3	4	0	5	6	21	5	5	4	1	6	5	3	7	7	3	2	2	12	3	7	5	3	5	12	5	3	1	0	11	1	5	7	2	4	3	0	5	6	22	2	5	4	7	1	0	6	6	5	1	9	4	2	2	4	13	4	8	5	2	4	4	1	7	2	0	19	13	2	0	5	13	10	1	0	0	1	0	3	6	0	0	2	0	2	3	5	10	1	5	15
d__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes|o__Gemmatimonadales|f__Gemmatimonadaceae	0	0	0	0	0	0	0	0	0	1	0	0	7	0	0	1	0	0	1	3	0	0	4	1	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	3	0	1	2	0	0	0	0	0	1	0	0	0	2	0	0	0	0	2	0	1	1	0	4	0	0	3	0	0	0	0	0	0	8	0	0	2	0	0	0	1	1	0	6	2	0	0	0	1	0	2	0	2	1	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	1	8	2	2	0	2	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	3	1	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	2	0	1	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	4	0	8	1	0	0	0	0	0	1	0	0	1	0	0	0	0	3	0	1	0	1	0	1	0	1	0	1	0	0	0	2	0	0	0	0	0	0	1	4	2	1	0	0	2	3	1	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	2	0	1	2	1	0	0	1
d__Bacteria|p__Ignavibacteriae|c__Ignavibacteria|o__Ignavibacteriales|f__Ignavibacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	9	1	0	0	0	1	0	0	1	0	0	0	1	1	1	0	0	0	1	0	1	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	2	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	1	0	0	17	0	1	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	2	0	0	2	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	2	1	0	1	0	1	1	1	3	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
