order	ERR688358	ERR688359	ERR688360	ERR688361	ERR688362	ERR688363	ERR688364	ERR688365	ERR688366	ERR688367	ERR688368	ERR688369	ERR688370	ERR688371	ERR688372	ERR688373	ERR688374	ERR688375	ERR688376	ERR688377	ERR688378	ERR688379	ERR688380	ERR688381	ERR688382	ERR688383	ERR688384	ERR688385	ERR688386	ERR688387	ERR688388	ERR688389	ERR688390	ERR688391	ERR688392	ERR688393	ERR688394	ERR688395	ERR688396	ERR688397	ERR688398	ERR688399	ERR688400	ERR688401	ERR688402	ERR688403	ERR688404	ERR688405	ERR688406	ERR688407	ERR688408	ERR688409	ERR688410	ERR688411	ERR688412	ERR688413	ERR688414	ERR688415	ERR688416	ERR688417	ERR688418	ERR688419	ERR688420	ERR688421	ERR688422	ERR688423	ERR688424	ERR688425	ERR688426	ERR688427	ERR688428	ERR688429	ERR688430	ERR688431	ERR688432	ERR688433	ERR688434	ERR688435	ERR688436	ERR688437	ERR688438	ERR688439	ERR688440	ERR688441	ERR688442	ERR688443	ERR688444	ERR688445	ERR688446	ERR688447	ERR688448	ERR688449	ERR688450	ERR688451	ERR688452	ERR688453	ERR688454	ERR688455	ERR688456	ERR688457	ERR688458	ERR688459	ERR688460	ERR688461	ERR688462	ERR688463	ERR688464	ERR688465	ERR688466	ERR688467	ERR688468	ERR688469	ERR688470	ERR688471	ERR688472	ERR688473	ERR688474	ERR688475	ERR688476	ERR688477	ERR688478	ERR688479	ERR688480	ERR688481	ERR688482	ERR688483	ERR688484	ERR688485	ERR688486	ERR688487	ERR688488	ERR688489	ERR688490	ERR688491	ERR688492	ERR688493	ERR688494	ERR688495	ERR688496	ERR688497	ERR688498	ERR688499	ERR688500	ERR688501	ERR688502	ERR688503	ERR688504	ERR688506	ERR688507	ERR688508	ERR688509	ERR688510	ERR688511	ERR688512	ERR688513	ERR688514	ERR688515	ERR688516	ERR688517	ERR688518	ERR688519	ERR688520	ERR688521	ERR688522	ERR688523	ERR688524	ERR688525	ERR688526	ERR688527	ERR688528	ERR688529	ERR688530	ERR688531	ERR688532	ERR688533	ERR688534	ERR688535	ERR688536	ERR688537	ERR688538	ERR688539	ERR688540	ERR688541	ERR688542	ERR688543	ERR688544	ERR688545	ERR688546	ERR688547	ERR688548	ERR688549	ERR688550	ERR688551	ERR688552	ERR688553	ERR688554	ERR688555	ERR688556	ERR688557	ERR688558	ERR688559	ERR688560	ERR688561	ERR688562	ERR688563	ERR688564	ERR688565	ERR688566	ERR688567	ERR688568	ERR688569	ERR688570	ERR688571	ERR688572	ERR688573	ERR688574	ERR688575	ERR688576	ERR688577	ERR688578	ERR688580	ERR688581	ERR688582	ERR688583	ERR688584	ERR688585	ERR688586	ERR688588	ERR688589	ERR688590	ERR688591	ERR688592	ERR688593	ERR688594	ERR688595	ERR688596	ERR688597	ERR688598	ERR688599	ERR688600	ERR688601	ERR688602	ERR688603	ERR688604	ERR688605	ERR688606	ERR688607	ERR688608	ERR688609	ERR688610	ERR688611	ERR688612	ERR688613	ERR688614	ERR688615	ERR688616	ERR688617	ERR688618	ERR688619	ERR688620	ERR688621	ERR688622	ERR688623	ERR688624	ERR688625	ERR688626	ERR688627	ERR688628	ERR688629	ERR688630	ERR688631	ERR688632	ERR688633	ERR688634	ERR688635	ERR688636	ERR688637	ERR688638	ERR688639	ERR688640	ERR688641	ERR688642	ERR688643	ERR688644	ERR688645	ERR688646	ERR688647	ERR688648	ERR688649	ERR688650	ERR688651	ERR710415	ERR710416	ERR710417	ERR710418	ERR710419	ERR710420	ERR710421	ERR710422	ERR710423	ERR710424	ERR710425	ERR710426	ERR710427	ERR710428	ERR710429	ERR710430	ERR710431	ERR710432
d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales	0	2	0	1	3	6	0	0	0	2	0	0	0	0	0	1	0	0	2	1	0	1	0	1	2	0	0	2	8	1	0	0	0	2	0	3	0	0	1	0	1	0	0	2	0	0	0	0	0	0	2	2	0	1	1	0	0	0	1	0	1	0	2	0	4	0	0	0	1	2	3	3	0	2	1	0	0	0	1	0	2	1	0	0	4	2	0	2	4	0	2	0	0	0	2	1	1	0	0	1	0	0	0	2	2	1	2	6	3	3	0	1	1	1	1	1	0	1	0	4	1	2	2	0	2	2	0	1	1	2	2	0	1	0	2	0	0	0	0	1	1	1	0	1	1	1	0	0	0	0	3	1	0	0	0	0	2	1	0	0	0	3	0	0	2	0	0	3	2	0	1	0	0	1	3	1	0	0	0	0	0	3	0	0	2	1	3	3	0	0	2	0	1	0	0	0	3	3	0	1	0	0	0	0	2	0	0	1	2	0	1	1	0	0	3	0	5	3	4	5	3	5	0	0	1	2	4	0	8	1	2	1	3	0	3	0	0	1	2	2	0	0	0	2	2	0	0	1	0	3	0	5	3	3	1	1	2	1	5	0	0	1	0	2	2	1	2	2	6	3	0	1	2	4	5	1	0	0	3	0	0	0	0	2	4	2	2	3	0	2	3	2	0	1	1	0	0	1	0	2	2	2	1	1	1	1	1	1	6
d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales	1	3	0	2	2	2	0	0	0	0	1	3	0	2	0	0	1	0	1	1	0	0	1	3	5	0	2	0	0	1	0	2	2	3	2	1	1	0	0	5	3	1	1	2	1	0	1	1	2	3	1	0	1	0	1	0	1	3	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	1	0	0	0	1	2	0	1	1	3	1	0	0	1	1	0	6	3	0	0	2	0	0	1	1	0	2	0	0	0	0	0	0	2	0	0	0	0	0	2	1	4	0	2	1	3	0	0	0	1	0	1	1	0	2	0	0	0	0	0	1	0	1	3	0	1	0	1	0	0	0	1	3	6	1	2	1	2	4	0	2	3	1	3	0	1	6	2	0	0	1	0	3	0	1	8	1	0	0	0	3	9	1	1	1	0	0	2	6	0	0	2	0	3	1	3	0	2	1	1	2	0	1	2	0	4	3	0	2	1	4	0	3	1	2	2	2	1	0	2	2	1	1	0	1	0	0	3	0	2	4	0	0	2	1	3	0	2	3	0	4	4	0	1	2	1	2	0	1	1	1	3	3	1	6	1	2	2	1	3	1	0	2	5	0	5	1	0	2	5	0	1	1	2	4	2	1	1	2	1	0	1	1	2	0	0	1	2	2	0	0	1	0	1	1	1	0	0	2	0	1	0	0	2	0	1	0	2	0	2	0	0
d__Archaea|p__Euryarchaeota|c__Methanopyri|o__Methanopyrales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Archaea|p__Euryarchaeota|c__Thermococci|o__Thermococcales	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	2	0	0	0	0	0	11	0	1	0	1	2	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	2	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	3	0	0	1	3	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	2	2	0	0	0	0	2	0	1	0	0	0	0	0	1	1	1	2	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	2	0	0	1	1	0	0	0	2	0	0	0	0	0	3	1	0	0	0	0	1	0	0	2	1	1	0	0	0	1	0	2	0	0	1	0	1	0	1	0	1	0	1	0	0	0	3	0	1	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
d__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Thermoplasmatales	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
d__Archaea|p__Thaumarchaeota|o__Nitrosopumilales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Archaea|p__Thaumarchaeota|o__Nitrososphaerales	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	3	3	3	5	6	4	12	3	5	3	6	3	10	3	2	9	2	4	8	11	5	2	10	2	8	6	1	0	2	1	5	2	2	10	0	8	3	4	1	3	7	8	4	8	5	2	3	5	7	0	2	2	2	2	1	1	1	2	2	9	6	1	2	0	10	1	2	3	2	3	4	6	3	8	5	6	2	4	0	5	7	6	1	1	5	2	2	11	3	0	5	10	10	0	4	4	4	4	2	5	9	10	0	6	9	6	8	1	2	2	2	3	5	3	8	3	0	3	8	13	2	10	5	3	2	4	1	4	8	3	5	6	1	3	5	3	2	3	1	0	2	1	4	0	1	6	8	3	3	8	7	3	7	3	6	11	6	8	12	9	1	7	2	3	9	11	3	3	7	5	11	6	0	1	4	1	4	0	2	0	1	5	2	5	6	4	8	4	4	4	1	1	3	4	5	1	10	7	0	8	3	2	0	3	2	8	4	3	7	1	4	1	8	4	3	24	6	5	5	7	0	5	3	2	8	11	6	4	5	5	1	9	12	0	2	4	7	0	3	4	2	4	3	13	8	3	0	8	12	13	3	0	7	0	9	3	0	3	4	5	4	7	7	11	6	10	5	4	3	8	3	5	7	5	6	2	1	3	9	2	6	4	5	1	2	6	5	0	0	3	15	8	0	2	3	0	5	2	1	0	9	2	5	10	3	12	0	2	11
d__Bacteria|p__Acidobacteria|c__Solibacteres|o__Solibacterales	0	0	0	0	3	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	1	0	3	2	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	9	1	0	0	0	2	3	0	4	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	4	0	1	0	0	1	1	0	2	0	0	1	0	0	0	0	0	1	4	0	0	0	0	0	2	0	2	1	0	1	0	0	0	3	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	2	2	2	0	0	0	2	0	0	0	0	0	2	0	0	0	1	1	0	0	1	0	1	0	0	1	1	0	0	0	3	0	2	2	0	0	0	0	0	0	1	1	0	1	0	0	0	1	4	0	2	1	0	1	2	3	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	1	0	1	2	0	0	0	0	0	0	0	0	2	3	0	0	0	1	1	1	4	3	1	2	3	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	2	0	2	0	1	2	0	0	0	0	1	1	0	1	0	2	0	0	2
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Acidimicrobiales	1	6	5	5	2	2	0	2	0	1	0	1	4	1	1	3	0	2	1	3	0	3	1	2	3	1	0	0	2	0	2	0	1	0	1	0	2	1	0	3	1	1	4	1	0	3	1	0	3	7	0	1	0	1	3	0	0	0	1	1	1	1	3	0	4	0	0	2	1	1	1	0	1	1	1	1	0	0	0	1	2	0	2	0	0	0	0	2	1	7	1	4	0	0	1	3	0	5	0	2	3	6	0	1	1	7	0	3	8	2	1	0	3	2	1	1	0	0	0	2	0	2	0	0	0	5	1	1	2	2	2	0	0	0	3	0	1	1	0	0	2	1	0	0	1	0	0	1	1	4	2	3	0	1	0	3	0	2	7	2	2	2	1	3	1	2	0	0	3	2	1	3	0	2	3	0	1	1	4	3	0	3	0	0	0	6	2	2	8	1	0	3	3	1	3	8	2	4	0	5	3	1	0	0	0	1	2	6	1	3	3	1	0	2	4	0	2	2	2	3	1	0	3	1	1	3	1	0	2	3	0	5	2	6	1	1	1	0	1	3	3	8	1	4	0	3	0	2	2	1	1	4	3	2	8	1	2	2	2	6	0	0	1	5	0	2	10	1	2	3	1	1	3	0	8	0	1	0	1	0	0	0	0	1	1	0	1	0	2	0	1	2	1	1	0	0	2	1	1	2	7	3	1	0	3	2	0	3	3
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	243	151	139	254	178	267	215	108	129	99	411	100	126	140	2097	129	79	312	234	225	64	101	154	274	350	152	77	228	136	87	551	307	287	324	85	229	109	185	98	349	408	928	93	199	205	183	1772	182	104	986	231	504	253	82	161	427	153	151	117	368	13880	82	81	85	139	83	216	251	162	120	144	96	162	151	152	227	606	150	87	1259	160	331	517	230	249	105	92	242	104	325	83	298	211	221	1331	196	141	96	108	131	190	130	111	287	217	505	292	98	268	116	491	853	1005	138	149	93	125	2617	191	403	81	219	143	72	210	186	68	177	136	70	120	147	68	115	101	661	55	53	54	53	67	106	89	93	85	53	96	144	114	351	204	207	250	153	189	168	639	190	212	147	2159	182	120	355	210	332	114	151	184	240	326	143	99	247	163	109	453	333	389	203	47	450	96	173	193	350	451	1250	139	151	82	240	1260	90	113	920	361	543	218	141	216	310	126	178	110	337	9653	215	154	151	158	113	249	258	263	203	152	155	190	178	335	847	170	69	1668	286	497	228	233	150	133	257	191	405	86	298	112	219	1210	123	183	126	153	294	259	134	90	344	235	401	159	244	292	169	670	883	1198	167	181	115	113	1752	264	336	135	241	229	114	279	228	74	148	143	108	280	137	106	112	129	618	88	91	64	115	49	119	149	107	86	71	149	58	33	28	68	55	78	48	34	78	142	88	94	121	101	154	95	102	148
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	7791	12367	32439	1966	29116	95150	71743	13639	75792	294	362	7269	3502	25148	7259	26445	35101	38910	10980	121	2304	241	388	7782	3294	71246	570	266871	18358	3030	21379	2110	9106	48516	140	17697	545	17787	495	19233	11794	37340	7751	7381	429	38712	3884	54859	5685	142948	28685	22359	59917	6608	22560	140	15215	155638	7894	31168	12944	319	57468	6366	1194	4126	62043	55374	49531	19045	10423	3460	17393	407	2752	98180	2589	12604	2512	73082	87798	355	10659	640	39274	8358	100855	159170	16077	212296	2829	107721	12949	65188	15464	4831	873	3234	2259	144	104247	7571	847	29588	3572	5891	51241	22418	52477	3557	111500	28061	42120	17898	132	39733	13817	27990	41710	1809	3705	15229	7641	16890	425	471	686	8349	1603	9555	8041	6700	2027	873	7383	44724	731	9826	190	2049	198	22779	18966	8533	202	5074	240	10878	30881	2769	31538	67307	75626	15226	105714	114	373	12910	4893	28763	8167	34027	45002	51431	10052	102	3831	286	130	6866	2817	74475	968	321742	19101	3128	16370	2383	11319	26447	79	30909	469	16311	510	17662	22759	42120	12644	5930	262	42037	3453	29791	6730	136538	42662	28976	49962	10575	26156	99	10944	181714	7458	28888	10627	323	104932	10513	1151	5128	73290	66793	76292	28389	11422	5180	19064	395	161972	4372	13234	2506	101348	141651	517	213	35774	11795	127109	170851	27585	235623	3135	108972	6077	64333	13826	2999	1677	4046	3190	142	135920	6926	572	33035	4564	5520	29733	41665	62746	4721	146828	35134	57572	23605	142	44812	13025	23352	51299	1446	5622	18304	11352	24828	666	289	352	8681	1479	11446	16953	6676	2563	692	8882	51934	1171	11630	260	2892	382	20834	32748	8792	308	5197	503	1665	260	10323	689	4925	3581	14448	2096	11498	3645	566	22376	1317	9073	7759	22524	4940	24426
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	173	3162	8352	1301	954	2889	2553	7839	2103	1783	388	1322	365	32736	5520	3111	2802	17756	1592	549	439	2162	1391	2175	2808	1397	715	3191	9063	2037	9737	1346	4260	992	4569	1341	1913	903	8002	1209	2512	1588	4723	2078	18267	13753	4389	11766	7938	13428	5890	1141	5181	2522	585	723	6157	3865	5327	6627	11414	7429	1572	12805	6855	1142	7842	911	3606	979	353	729	815	1206	2899	1083	1137	625	1823	3551	1286	1475	5519	13077	2104	1809	3664	6815	2494	7371	2267	6297	5354	55	12490	1157	4235	7068	10423	1859	3902	3212	11737	2676	3982	2577	6779	2087	2287	466	2405	12340	48560	566	2455	2166	4763	3216	11280	875	3657	846	1308	901	2784	256	339	716	475	1828	281	4191	334	108	4046	1055	4509	7781	171	593	41	1809	3957	93	1326	1045	5640	2407	6635	1708	835	1572	2523	7580	2261	2112	555	2154	408	31791	5819	3324	3341	18233	1216	780	640	2628	1571	1622	2299	1069	797	3255	8169	1830	5677	1123	4863	445	1370	2216	1394	686	12029	1034	4037	1622	6372	1527	5844	12144	3262	4212	7680	11691	8207	1312	3555	3593	626	313	3855	4118	4168	5329	7914	15068	2436	17505	5194	1168	7071	853	4685	1015	322	881	798	1240	1455	1705	585	1362	4638	1827	2259	13218	1851	2425	4020	6969	3536	6633	2295	5236	1669	62	9880	546	6407	9120	14231	3378	4352	2465	8493	2612	5059	1882	2654	3545	2465	494	2794	12729	53249	614	2399	2297	3715	2224	13391	622	4888	906	1862	1203	4196	367	252	665	413	1692	486	3590	403	99	4446	1001	5185	7520	184	819	38	1400	5808	81	1370	1049	7032	553	779	1363	126	498	182	2749	1517	656	1012	1371	2025	206	927	396	3855	2989	1028
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Rubrobacterales	1	0	0	0	0	0	0	2	0	0	1	1	3	0	0	2	0	1	1	3	0	0	3	1	0	1	0	0	0	0	1	1	1	1	1	2	2	2	0	1	0	0	0	0	0	1	1	0	3	0	0	1	0	2	0	0	0	0	0	2	2	0	0	0	0	0	0	0	1	2	2	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	9	0	1	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	2	0	0	0	0	2	0	2	0	0	0	1	1	2	3	0	1	0	2	2	0	1	0	0	0	0	1	0	0	1	0	0	5	0	2	0	1	0	1	0	0	0	0	0	0	4	2	2	1	1	1	0	0	0	3	0	0	2	1	0	3	1	0	0	0	0	0	0	1	0	1	0	1	1	1	0	0	0	0	1	0	0	1	1	1	0	1	0	1	1	0	1	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	2	2	0	0	0	1	4	0	1	0	1	1	2	1	0	1	0	0	0	1	0	0	1	4	0	0	1	1	2	3	0	2	0	3	1	0	5	1	1	3	0	1	0	0	1	0	2	1	1	1	0	0	2	0	0	2	0	1	0	0	0	0	0	0	2	1	1	0	3	1	2	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	2	0	0	1
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Solirubrobacterales	0	1	0	0	0	0	0	1	2	1	2	1	2	2	3	0	0	0	0	1	1	0	0	1	0	2	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	2	0	0	0	1	1	1	2	0	2	3	0	1	0	0	1	3	0	4	2	1	1	0	1	0	0	0	2	1	0	0	1	0	1	0	0	4	0	0	2	0	0	0	10	1	0	2	3	0	1	3	2	0	2	1	0	0	0	0	2	3	0	2	0	4	1	1	3	1	2	3	0	0	1	0	0	0	0	2	0	4	0	0	0	0	0	1	1	0	0	2	0	0	2	0	1	2	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	2	7	2	2	1	1	1	0	1	0	1	1	2	2	0	1	1	0	1	0	0	1	0	0	1	1	0	0	1	1	0	1	0	0	3	0	0	0	1	1	0	0	0	2	3	0	0	3	0	0	0	0	2	0	4	1	0	3	2	0	2	0	2	0	1	0	1	1	0	4	0	0	1	0	0	4	1	2	1	1	0	1	2	1	0	1	0	1	0	1	4	3	2	0	0	0	0	1	1	3	4	2	1	0	0	1	1	0	0	1	1	0	4	4	0	0	2	0	0	1	1	1	0	0	0	1	0	1	0	0	0	0	1	0	0	1	1	0	3	0	0	0	0	1	0	0	0	1	2	0	1	1	5	2	0	1
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales	4	1	0	6	3	0	0	1	0	0	0	0	1	4	0	5	1	0	1	0	0	1	0	0	4	1	0	0	1	0	0	0	0	2	0	1	0	1	0	1	0	0	6	1	0	0	1	0	3	0	4	3	0	3	4	0	0	0	2	5	2	1	0	0	1	0	0	1	1	1	1	0	3	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	1	1	0	0	3	0	0	4	2	3	0	1	0	1	1	1	1	2	2	1	1	2	1	1	0	1	1	0	0	0	0	0	0	5	2	0	1	1	0	2	1	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	2	4	8	5	1	1	0	1	4	1	2	0	2	0	5	0	2	2	0	4	1	1	3	2	3	0	1	0	0	1	2	0	2	1	5	0	1	0	1	1	3	6	3	0	0	1	0	4	0	4	5	0	13	8	2	0	0	0	3	3	2	0	1	5	0	0	4	3	0	5	1	3	0	2	0	1	1	0	1	0	0	2	3	2	1	5	1	0	1	6	1	0	5	0	5	0	4	3	8	0	0	3	4	5	1	2	3	2	0	0	4	0	0	0	2	0	0	0	9	3	0	1	4	0	2	3	1	1	1	1	0	2	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	2	1	0	1	2	3	1	0	0	6	4	2	3	12
d__Bacteria|p__Aquificae|c__Aquificae|o__Desulfurobacteriales	0	0	0	0	0	2	1	5	1	0	1	3	1	0	0	1	0	0	0	0	1	0	1	0	2	1	1	0	0	1	0	0	0	3	4	0	1	0	1	1	0	0	0	1	3	0	0	0	1	0	0	1	0	0	0	0	0	5	0	1	1	1	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1	0	0	0	2	1	2	0	1	0	1	0	0	1	1	1	2	0	1	0	0	0	0	1	1	0	2	0	1	0	0	1	0	2	1	1	0	1	0	0	0	4	0	3	1	2	1	0	0	0	2	3	1	0	0	0	1	0	2	2	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	3	5	1	0	2	1	0	1	1	2	2	1	0	1	4	0	2	1	0	13	0	1	3	1	2	0	5	1	1	2	0	4	1	1	0	1	2	4	3	1	0	0	4	1	1	0	4	0	0	0	8	1	0	1	2	4	0	0	0	1	2	0	1	2	1	0	1	0	1	2	0	1	2	1	3	0	0	0	0	1	0	0	1	5	8	5	0	1	7	0	1	0	2	4	1	1	1	0	4	2	1	2	3	4	1	0	1	0	1	5	0	2	1	1	0	5	2	2	1	2	3	3	0	1	0	1	0	7	2	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	3	1	0	1	2	3	0	2
