family	ERR688358	ERR688359	ERR688360	ERR688361	ERR688362	ERR688363	ERR688364	ERR688365	ERR688366	ERR688367	ERR688368	ERR688369	ERR688370	ERR688371	ERR688372	ERR688373	ERR688374	ERR688375	ERR688376	ERR688377	ERR688378	ERR688379	ERR688380	ERR688381	ERR688382	ERR688383	ERR688384	ERR688385	ERR688386	ERR688387	ERR688388	ERR688389	ERR688390	ERR688391	ERR688392	ERR688393	ERR688394	ERR688395	ERR688396	ERR688397	ERR688398	ERR688399	ERR688400	ERR688401	ERR688402	ERR688403	ERR688404	ERR688405	ERR688406	ERR688407	ERR688408	ERR688409	ERR688410	ERR688411	ERR688412	ERR688413	ERR688414	ERR688415	ERR688416	ERR688417	ERR688418	ERR688419	ERR688420	ERR688421	ERR688422	ERR688423	ERR688424	ERR688425	ERR688426	ERR688427	ERR688428	ERR688429	ERR688430	ERR688431	ERR688432	ERR688433	ERR688434	ERR688435	ERR688436	ERR688437	ERR688438	ERR688439	ERR688440	ERR688441	ERR688442	ERR688443	ERR688444	ERR688445	ERR688446	ERR688447	ERR688448	ERR688449	ERR688450	ERR688451	ERR688452	ERR688453	ERR688454	ERR688455	ERR688456	ERR688457	ERR688458	ERR688459	ERR688460	ERR688461	ERR688462	ERR688463	ERR688464	ERR688465	ERR688466	ERR688467	ERR688468	ERR688469	ERR688470	ERR688471	ERR688472	ERR688473	ERR688474	ERR688475	ERR688476	ERR688477	ERR688478	ERR688479	ERR688480	ERR688481	ERR688482	ERR688483	ERR688484	ERR688485	ERR688486	ERR688487	ERR688488	ERR688489	ERR688490	ERR688491	ERR688492	ERR688493	ERR688494	ERR688495	ERR688496	ERR688497	ERR688498	ERR688499	ERR688500	ERR688501	ERR688502	ERR688503	ERR688504	ERR688506	ERR688507	ERR688508	ERR688509	ERR688510	ERR688511	ERR688512	ERR688513	ERR688514	ERR688515	ERR688516	ERR688517	ERR688518	ERR688519	ERR688520	ERR688521	ERR688522	ERR688523	ERR688524	ERR688525	ERR688526	ERR688527	ERR688528	ERR688529	ERR688530	ERR688531	ERR688532	ERR688533	ERR688534	ERR688535	ERR688536	ERR688537	ERR688538	ERR688539	ERR688540	ERR688541	ERR688542	ERR688543	ERR688544	ERR688545	ERR688546	ERR688547	ERR688548	ERR688549	ERR688550	ERR688551	ERR688552	ERR688553	ERR688554	ERR688555	ERR688556	ERR688557	ERR688558	ERR688559	ERR688560	ERR688561	ERR688562	ERR688563	ERR688564	ERR688565	ERR688566	ERR688567	ERR688568	ERR688569	ERR688570	ERR688571	ERR688572	ERR688573	ERR688574	ERR688575	ERR688576	ERR688577	ERR688578	ERR688580	ERR688581	ERR688582	ERR688583	ERR688584	ERR688585	ERR688586	ERR688588	ERR688589	ERR688590	ERR688591	ERR688592	ERR688593	ERR688594	ERR688595	ERR688596	ERR688597	ERR688598	ERR688599	ERR688600	ERR688601	ERR688602	ERR688603	ERR688604	ERR688605	ERR688606	ERR688607	ERR688608	ERR688609	ERR688610	ERR688611	ERR688612	ERR688613	ERR688614	ERR688615	ERR688616	ERR688617	ERR688618	ERR688619	ERR688620	ERR688621	ERR688622	ERR688623	ERR688624	ERR688625	ERR688626	ERR688627	ERR688628	ERR688629	ERR688630	ERR688631	ERR688632	ERR688633	ERR688634	ERR688635	ERR688636	ERR688637	ERR688638	ERR688639	ERR688640	ERR688641	ERR688642	ERR688643	ERR688644	ERR688645	ERR688646	ERR688647	ERR688648	ERR688649	ERR688650	ERR688651	ERR710415	ERR710416	ERR710417	ERR710418	ERR710419	ERR710420	ERR710421	ERR710422	ERR710423	ERR710424	ERR710425	ERR710426	ERR710427	ERR710428	ERR710429	ERR710430	ERR710431	ERR710432
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	0	0	0	0.02318	0	0	0	0	0	0	0.7771	0	0.97524	0	0	0	0.23438	0	0	0	0.77814	0	0	0	0	0	0	0	0	0.13736	0	0	0	0	0.04929	0	0	0	0	0	2.1325	0.31442	0.82487	0.50946	0	0	0	0.0326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32259	17.82855	0.01655	0	0	0	0.7094	0	0	0	0.2322	0	0.08045	0.36119	17.47673	0	0.03973	0	0	0.74238	0.03852	0	0	0	0	0	0	0	0.1133	0	0	0.03318	0	0	0	0.04692	0	0	0	0	0.01282	0	0.07544	0	0	0	0	0	0	1.38014	0	0	0	0.50155	0	0.82048	0	5.78536	0	0	0	4.57711	0	0.02204	1.61395	0	2.85516	0	51.33953	0.06962	1.19759	0	0	0	65.36897	1.31334	0	0	0	0	0	0	0	0	0	0.0947	0	0	0	0	0	0	1.15409	0	0.32187	0	0	0	0.56701	0	0	0	0.63164	0.05605	0	0	0	0	0	0	0	0.32065	0	0	0	0	0	0	0	0	0	0	2.75323	0.32102	0.92125	0.66562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29604	20.06624	0	0	0	0	0.75204	0	0	0	0	0.3925	0.42629	20.50485	0	0.19106	0	0.7361	0.07228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28916	0	0	0	0	0	0	0	0.02459	0	0	0	0	0	1.89312	0	0	0	0.57424	0	1.01177	0	6.65096	0	0	0	5.15368	0	0.01838	1.49682	0	3.29756	0	49.34773	0.06543	1.23451	0	0	0	65.11602	1.20104	0	0	0	0	0	0	0	0	0	0.59972	0	0	0	0	0	0.28859	0	0	0.9119	0	0.2032	0	0	0	0.41399
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2.37986	0.54241	1.4622	0	0	0	0	0.75323	0	0	0	0	0	0	0	2.10316	0	0	0	0	0	0.01665	25.27231	5.14581	7.24415	0	0	2.18946	5.48275	0.2412	0.27269	0.38233	0	0	0.74612	0.43046	1.32036	0.63113	0	1.45577	0.8458	0	1.17481	0	0	0	0.66035	0	0.7221	0	0	0	0	0	0	0	0	0	0.38001	1.01396	2.40185	0	5.36397	0	5.95574	1.61407	0	0	1.74949	0.38048	14.86656	5.55665	10.19666	15.46317	14.99285	0.08778	9.18991	3.45801	1.45739	0	0	9.13738	0	0	0.78839	1.92941	0	1.74954	1.73509	0	0.54979	8.08839	0.132	0	0	2.10305	3.45711	0	0.13465	6.44725	0.01744	4.12225	0	0.53062	1.5383	0	0.3459	0	0	1.05749	0	4.21096	0.2322	3.38505	13.66477	0	0	0	3.07121	1.03352	11.12192	2.13305	9.65069	10.21105	9.48616	6.15992	2.5189	1.37755	12.93732	2.1783	9.90752	0.28717	4.23192	0	14.99055	0	0.6796	7.40035	0.5966	0.34882	0	3.9264	3.21096	0	0.52925	5.76581	2.26873	0.10332	1.10414	0.09139	0	0	0	0.4375	0	0	0	0.02583	0	0	0	1.61485	0.01099	0	0	0.03626	0.14476	0.17794	14.52181	3.52902	6.7422	0	0	2.11819	3.93037	0.32154	0.12228	0.16582	0	0	0	0.55718	0.96279	0.48368	0.05799	1.00216	0.82045	0	0.66515	0	0	0	0.56937	0	0.58474	0	0	0	0	0.05882	0	0	0	0	0.17004	0.71862	1.50977	0	4.45595	0	4.52451	1.45646	0	0	1.85561	0.30936	11.93858	3.02236	8.60361	9.17762	0.21212	4.30213	2.63797	1.14625	0	0	8.59495	0	0.56168	1.50971	0	1.70249	1.60053	0	0.46464	6.52491	0	0	0	1.252	2.14998	0	0.22886	4.33853	0.00486	2.88081	0	0.27046	1.02289	0	0.37575	0.07088	0	0.57503	0	3.41857	0.13079	2.02436	9.91195	0	0	0	2.26903	0.74527	9.1111	1.41386	5.89274	6.43618	5.54853	4.89331	1.79296	1.0472	10.3547	1.4904	5.83348	0.22267	2.28469	0	11.20321	0	0.44921	5.2732	0.67013	0.3383	0	2.81767	2.6226	0	0.6911	3.54815	2.40197	8.19148	1.0626	1.21911	4.84357	13.12671	2.41634	0	3.30266	11.33485	4.14118	1.13207	0.9778	3.27479	8.78797	2.04203	0	3.2045	8.14326
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname|f__Candidatus_Saccharibacteria_noname	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07777	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	0	0	0	0	0	0.03834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05048	0	0	0	0	0	0	0	0	0.12628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	0	0	0	0	0	0	0	4.69249	0	0	0	0.1515	0	0	0	0	0	0	0	0	0	0	0.20755	0	0	0	9.49385	0	0	0.92696	0	0	0	0	0	0	0	0	0	0	0	0.39179	0	0	0	0	0	0	0	0.10904	0.77338	0	0.72676	0	0	0	0	1.6819	0	0	0	0	0	0	0	0	0.57037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.69354	0	0	0	0	0	0	0	0	1.28756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.77733	0	0.1203	0	0	0	0	0	0.50209	0	0	0	0	0	1.75684	0	0.14254	0	0.02816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.48053	0	0	0	0.69811	0	0	0	0	0	0	0	0	0	0	0.78749	0	0	0	12.64232	0.03347	0	1.88631	0	0	0	0	0	0	0	0	0	0	0	0.5118	0	0	0	0	0	0	0	0.10865	1.39858	0	1.14061	0	0	0	0	2.29377	0	0	0	0	0	0	0	0.27818	1.38373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08934	0	0	0	0.04514	0	0	0	2.12095	0	0	0.17554	0	0	0	0	0	1.22937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.07831	0	0.89406	0	0	0	0	0	0.94442	0	0	0.218	0	0	3.27149	0	0.2984	0	0.47565	0	0.01227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	0	8.49105	0	0	0.06578	0	0.10684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36894	0	0	10.96457	0	0	0.02583	0.15327	0	0	0	0	0.52064	0.52354	0	0	0	0	0	0	0	0	0	0.59032	0	0.11914	2.74395	4.05365	0.02752	0	0	20.13999	0	0	0.40975	0	1.13109	0	0	0	0	0.76321	0	0	0	0	0	0	0.07909	0	0	0	0	0	0	0	0	0	0	0	0	0.45982	0.41165	0	0	0	0.80312	1.82199	0	0	31.10818	0	0	0.5512	0	0	0	0	0	0	0	0	0	2.32016	0	0	0	0	0	0	0	0	0	0	0	24.104	0	0	0	0	0	0	0	0	0	0	0	0.01625	0	0.05329	0	0.53153	0	0	0	0	0.05054	0	0	1.3439	0	0	0	7.87652	0	0	0	0	0.22727	0	0	0	0	0	0	0	0	0.23494	0	0	0	0	0	0	0	0	0.42947	0	0	16.55291	0	0	0.09993	0.2227	0	0	0	0	0.60863	0.49563	0	0	0.01154	0	0	0	0	0	0	0.43004	0	0.15165	3.61309	5.3044	0.04818	0	0	28.2455	0	0	0.42955	0	1.39202	0	0.00673	0	0	0.96664	0	0	0	0	0	0	0.47065	0	0	0	0	0	0	0	0	0	0	0.68008	0.65656	0	0	0	1.28591	2.81008	0	0	28.39053	0.02082	0	0.76199	0	0	0	0	0	0	0	0	0	3.87015	0	0	0	0	0.08702	0	0	0	0	0	0.12602	34.82043	0	0	0	0	0.1578	0	0.02245	0	0	0	0	0.04725	0	0.0635	0	1.28658	0	0	0	0	0	0	0	1.78097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	11.06458	11.39767	1.34252	0.88563	0.38714	0.41163	2.79662	0	0	0	0	0	0	0.01314	9.66702	0	0	0.69967	0	0	0	0	0	0.82534	4.43615	0	0	2.63743	0	1.37794	8.96945	9.79091	0	0.11524	0	0.50865	1.41342	1.57784	0	0.51636	0	0.49292	0.03412	0.20127	0.33518	0	0.42557	7.64765	0	7.18288	1.56306	18.44196	0.38186	0	0.59212	2.19807	2.88504	0.21231	2.43685	0.09045	0.21145	1.74057	0	0.40506	0.9548	4.80521	0.17026	0	0	0	0	0	1.26684	0	0	0	2.3824	0	0.23164	0	0.72666	0	0	0	0.49471	18.75193	1.4774	0.1724	0	0.22373	0	1.12889	0	4.25363	8.31997	2.44342	0	4.82109	2.87314	0.07785	0.08276	0	3.92044	2.096	0.87221	0	1.0019	0.28173	0	0	0.77608	0	1.16185	1.71745	0	0	2.16364	0.20909	0.44463	1.9205	0	0	0	0	3.14682	0.55697	0.07911	0.80193	0	0.49851	0.2827	6.99716	0.99744	0.11252	0	6.07593	0	0	0	0	0	0	0	0.10416	3.84395	0	0.10671	14.01388	2.01835	1.68632	0.73902	0.71904	4.31119	0	0.47447	0.13827	0	0.22209	0	0.22001	9.83132	0	0.1692	1.23426	0.24332	0	0	0.14583	0	1.58225	6.93527	0.16273	0.67271	4.41263	0.34944	1.95668	13.79628	10.53029	0	0.43469	0	0.82046	2.20699	2.00647	0	1.17372	0.3595	0.63256	0.63533	0.38236	0.38157	0	0.88865	12.56375	0	11.59248	2.34379	22.26826	0.67996	0	1.15022	4.46283	4.12543	0.31431	2.82625	0.21545	0.54597	2.00808	0	2.13576	2.34587	6.92921	1.07804	0	0.16828	0	0	0	1.49888	0	0	4.31523	0	0.30421	0	1.85227	0.88745	0	0.69403	20.24869	2.58892	0.88062	0.40578	0.58536	0.1722	1.5197	0.10146	4.89774	12.94746	5.01984	0.72039	4.60087	3.75889	0.61214	0.27802	0	4.91957	3.24215	1.65575	0	2.24394	1.14482	0	0	1.3725	0	1.9214	2.25735	0.18317	0	2.19902	0.7153	0.81397	2.6398	0.45473	0	0	0.23347	3.6852	0.68241	0.15102	1.4477	0	1.11152	0.93949	8.75813	1.87887	0.26712	0	9.40435	0	0	0.02456	0	0	0	0.09523	0.89759	4.82589	0	0.42059	0	0	0	0.1353	0	0	0.49253	0	0	0	0.03606	1.76861	0.89886	0.25543	1.10166	0.63264	0.45303	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	0	0	0	0	0	0	0	2.22996	0	0	0	0	0	0	0	0.02147	0	0	0	1.26759	0	0	0	0	0	0	6.92235	0	0.84237	0	0	0	0	0	0	0	1.55345	0	6.04008	0	0.37984	0	0	0	17.562	0	0	0	0	0	0	0	0.01657	0	0	0	0	0	0	0	0	0	0.50545	1.2861	0	0	4.45692	0	0	0.27873	0	0	0	0	0.19007	0	1.41555	0	0.16657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38905	0	0	0	0	0	0	0.46802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33317	0.28833	0.1361	0	0	0	2.09968	0	23.69175	0	0	0	0	0	0	0	0	0	5.36596	0	0	1.09444	3.41433	0	0	0	0.01698	0	18.74891	0	0	0	0	0	0	3.6409	0.12734	0	0	0	0	0	0	0.14517	0	0	0	1.60851	0	0	0	0	0	0	5.77421	0	1.14191	0	0	0	0	0	0	0	1.40853	0	6.68505	0	0.83897	0.02057	0	0	16.93443	0	0	0.10433	0	0	0	0	0.1395	0	0	0.01289	0	0	0	0	0	0	1.08465	0.89816	0	0	7.66045	0	0.07088	1.12336	0	0	0	0	0	1.95525	0	0.649	0	0	0	0	0	0.14178	0	0	0	0	0	0	0	0	0	0.52778	0	0	0	0	0	0.03408	0.25034	0	0.02665	0	0	0	0	0.04602	0	0	0	0	0	0	0	0	0.51581	1.01831	0.55279	6.3394	0	0	1.60293	0	25.00591	0.05162	0	0	0	0	0	0	0	0.13508	5.80319	0	0	1.53281	4.15707	0	0.04388	0	0.10195	0.02642	17.54472	0	0	1.36193	0	0	0	0.91802	0	0.54057	0	0.00869	2.92656	0	0	0	0.971	8.50421	0.65097
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis	0	0	0	0	0	0.05088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.61226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0348	0	0	0	0	0	0	0	0	0	0	0.18304	0.01444	0.13589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname	0	0.96485	0	0	0	0	0	0	0	0	0	0.22392	0	0	0	0	0	0	0	2.12278	0	0	0	20.20703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31989	0	0	0	0	0	0	1.13832	0	0	0	0	0	0	0	0	0	0.68104	0	0	0	0	0	0	0	2.18393	0	0	0	21.25798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05946	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18213	0	0	0	0	0	0.04453	0	0	0	8.80581	0	0	0	0	0	0	0	0	9.14174	0	0	0	0	0
