PercentCoverage	ERR688358	ERR688359	ERR688360	ERR688361	ERR688362	ERR688363	ERR688364	ERR688365	ERR688366	ERR688367	ERR688368	ERR688369	ERR688370	ERR688371	ERR688372	ERR688373	ERR688374	ERR688375	ERR688376	ERR688377	ERR688378	ERR688379	ERR688380	ERR688381	ERR688382	ERR688383	ERR688384	ERR688385	ERR688386	ERR688387	ERR688388	ERR688389	ERR688390	ERR688391	ERR688392	ERR688393	ERR688394	ERR688395	ERR688396	ERR688397	ERR688398	ERR688399	ERR688400	ERR688401	ERR688402	ERR688403	ERR688404	ERR688405	ERR688406	ERR688407	ERR688408	ERR688409	ERR688410	ERR688411	ERR688412	ERR688413	ERR688414	ERR688415	ERR688416	ERR688417	ERR688418	ERR688419	ERR688420	ERR688421	ERR688422	ERR688423	ERR688424	ERR688425	ERR688426	ERR688427	ERR688428	ERR688429	ERR688430	ERR688431	ERR688432	ERR688433	ERR688434	ERR688435	ERR688436	ERR688437	ERR688438	ERR688439	ERR688440	ERR688441	ERR688442	ERR688443	ERR688444	ERR688445	ERR688446	ERR688447	ERR688448	ERR688449	ERR688450	ERR688451	ERR688452	ERR688453	ERR688454	ERR688455	ERR688456	ERR688457	ERR688458	ERR688459	ERR688460	ERR688461	ERR688462	ERR688463	ERR688464	ERR688465	ERR688466	ERR688467	ERR688468	ERR688469	ERR688470	ERR688471	ERR688472	ERR688473	ERR688474	ERR688475	ERR688476	ERR688477	ERR688478	ERR688479	ERR688480	ERR688481	ERR688482	ERR688483	ERR688484	ERR688485	ERR688486	ERR688487	ERR688488	ERR688489	ERR688490	ERR688491	ERR688492	ERR688493	ERR688494	ERR688495	ERR688496	ERR688497	ERR688498	ERR688499	ERR688500	ERR688501	ERR688502	ERR688503	ERR688504	ERR688506	ERR688507	ERR688508	ERR688509	ERR688510	ERR688511	ERR688512	ERR688513	ERR688514	ERR688515	ERR688516	ERR688517	ERR688518	ERR688519	ERR688520	ERR688521	ERR688522	ERR688523	ERR688524	ERR688525	ERR688526	ERR688527	ERR688528	ERR688529	ERR688530	ERR688531	ERR688532	ERR688533	ERR688534	ERR688535	ERR688536	ERR688537	ERR688538	ERR688539	ERR688540	ERR688541	ERR688542	ERR688543	ERR688544	ERR688545	ERR688546	ERR688547	ERR688548	ERR688549	ERR688550	ERR688551	ERR688552	ERR688553	ERR688554	ERR688555	ERR688556	ERR688557	ERR688558	ERR688559	ERR688560	ERR688561	ERR688562	ERR688563	ERR688564	ERR688565	ERR688566	ERR688567	ERR688568	ERR688569	ERR688570	ERR688571	ERR688572	ERR688573	ERR688574	ERR688575	ERR688576	ERR688577	ERR688578	ERR688580	ERR688581	ERR688582	ERR688583	ERR688584	ERR688585	ERR688586	ERR688588	ERR688589	ERR688590	ERR688591	ERR688592	ERR688593	ERR688594	ERR688595	ERR688596	ERR688597	ERR688598	ERR688599	ERR688600	ERR688601	ERR688602	ERR688603	ERR688604	ERR688605	ERR688606	ERR688607	ERR688608	ERR688609	ERR688610	ERR688611	ERR688612	ERR688613	ERR688614	ERR688615	ERR688616	ERR688617	ERR688618	ERR688619	ERR688620	ERR688621	ERR688622	ERR688623	ERR688624	ERR688625	ERR688626	ERR688627	ERR688628	ERR688629	ERR688630	ERR688631	ERR688632	ERR688633	ERR688634	ERR688635	ERR688636	ERR688637	ERR688638	ERR688639	ERR688640	ERR688641	ERR688642	ERR688643	ERR688644	ERR688645	ERR688646	ERR688647	ERR688648	ERR688649	ERR688650	ERR688651	ERR710415	ERR710416	ERR710417	ERR710418	ERR710419	ERR710420	ERR710421	ERR710422	ERR710423	ERR710424	ERR710425	ERR710426	ERR710427	ERR710428	ERR710429	ERR710430	ERR710431	ERR710432
taxid:1172562|Helicobacter_cinaedi_PAGU611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1173025|Geitlerinema_sp._PCC_7407	0	0	0.0021	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0.0066	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0.0062	0	0	0.002	0	0	0.0021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0017	0	0	0	0	0	0	0	0.0077	0	0	0	0	0	0	0.004	0.002	0.0021	0	0.0038	0	0	0	0	0	0	0	0	0	0	0	0	0.0036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0021	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0.0062	0	0	0.0017	0.002	0	0.0095	0.0021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0021	0	0	0	0.0041	0	0	0.0016	0	0.00830000000001	0	0	0	0	0	0	0	0.0021	0	0	0	0.0016	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0124	0	0.0018	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0.0021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0021	0	0	0	0	0	0.0021	0	0	0
taxid:1173263|Synechococcus_sp._PCC_7502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:118163|Pleurocapsa_sp._PCC_7327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0019	0	0	0	0	0	0	0
taxid:118168|Coleofasciculus_chthonoplastes_PCC_7420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1184252|Streptococcus_suis_S735	0	0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0191	0	0	0	0	0	0	0	0	0	0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1185652|Sinorhizobium_fredii_USDA_257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0014	0	0	0	0	0	0	0	0.0027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0012	0	0	0	0	0	0	0.0013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0059	0	0	0	0	0	0	0	0	0	0	0.0014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0027	0	0	0	0
taxid:1186051|Blattabacterium_sp._(Blaberus_giganteus)	0	0	0	0	0.0153	0	0	0	0	0.0147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.015	0	0	0	0	0	0	0	0	0	0	0	0	0	0.015	0	0	0	0	0	0	0	0	0	0	0	0.0153	0	0	0	0	0	0	0	0	0	0.0145	0	0	0	0	0	0	0	0	0	0.016	0	0	0	0	0.015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0152
taxid:1187956|Streptococcus_thermophilus_MN-ZLW-002	0.1911	0.0213	0.0773	0.0104	0.0209	0.0272	0.0327	0.0301	0.0187	0.0307	0.0074	0.0212	0.0189	0.0114	0.2108	0.1276	0.0148	0.0863	0.1865	0.0678	0.0156	0.0105	0.0051	0.0421	0.1718	0.1297	0	0.0051	0.0916	0.0103	0.0814	0.0274	0.0102	0.0939	0.0533	0.0141	0.0235	0.1488	0.0661	0.0101	0.0061	0.0148	0.0201	0	0.0187	0.0405	0.1078	0.6765	0.0364	0.7227	0.6195	0.0191	0.0978	0.0051	0.0156	0.0503	0.00520000000001	0.0708	0.0156	0.0274	0.2019	0.1886	0.016	0.0049	0	0.0424	0	0.0102	0.0256	0	0.0525	0.0506	0.1088	0.0259	0.0316	0.0928	0.0103	0.0257	0	0.0249	0.1376	0.0204	0	0.0098	0.0184	0.026	0.0517	0.0104	0.0924	0.1772	0.014	0.0727	0.0453	0.0619	0.0104	0.179	0.0104	0.186	0.0983	0.0561	0.0282	0.0106	0.176	0.026	0.1824	0.00520000000001	0.1105	0.1332	0.00520000000001	0.0051	0.00520000000001	0.00520000000001	0.0837	0.00520000000001	0.0772	0.00520000000001	0.0717	0.0383	0.2664	0.0257	0.1288	0.1005	0.0143	0.0537	0.1085	0.0103	0.1064	0.0767	0.0686	0.0516	0.0109	0.1953	0.0147	0	0	0.053	0.0547	0.0155	0.00520000000001	0.005	0	0.0207	0	0	0.2006	0.00520000000001	0	0.0359	0.0415	0.00520000000001	0.1394	0.1431	0.6193	0.056	0.0411	0.0466	0.0211	0.0253	0.0175	0.0561	0.1385	0.053	0.033	0.1461	0.4256	0.042	0.0208	0.0744	0.0559	0.3257	0.2982	0.1886	0.0107	0.0524	0.0384	0.1915	0.0526	0.061	0.1661	0.0807	0.1918	0.1475	0.0462	0.5019	0.0698	0.0095	0.0943	0.037	0.0319	0.0947	0.0224	0.1123	0.0213	0.7015	0.023	0.7599	1.5654	0.2536	0.073	0.114	0.0344	0.0252	0	0.2258	0.032	0	0.1928	0.5018	0.0744	0.0098	0.0709	0.0862	0.0672	0.141	0.0221	0.0207	0.2003	0.1167	0.1915	0.0214	0.0256	0.1746	0.0801	0.0419	0.143	0.0452	0.0557	0.0104	0.0262	0.0533	1.2375	0.028	0.2888	0.0307	0.1098	0.1559	0.0536	0.0842	0.0508	0.2337	0.1719	0.0856	0.1204	0.0872	0.0594	0.0053	0.233	0.1938	0.0503	0.0123	0.4915	0.4596	0.1047	0.0109	0.00520000000001	0.23	0.1044	0.0953	0.0153	0.0306	0.116	0.0318	0.493	0.0655	0.2456	0.1427	0.005	0.1792	0.1249	0.0361	0.1141	0.3242	0.2095	0.0907	0.00520000000001	0.3001	0.0104	0.0208	0.0183	0.0674	0.302	0.00520000000001	0.0431	0.0204	0	0.0529	0	0.0051	0.026	0.1024	0.00520000000001	0.0051	0.02	0.0148	0.0097	0.0098	0.00520000000001	0.0169	0.0166	0.0664	0.0154	0.0434	0.1027	0.0215	0.0923	0.3657	0.0642	0.086	0.0487
taxid:1191061|Klebsiella_oxytoca_E718	0.0058	0.003	0	0	0	0	0	0	0.0027	0	0	0.152	0.0213	0	0	0	0.0015	0	0	0	0.0238	0	0	0.0015	0	0	0.0312	0.2915	0.00289999999999	2.1512	0.618	0.0192	0	0.5474	0.0028	0.0194	40.8865	0	0.3775	0.0519	0	0.0027	0.0027	1.6756	0	0.003	0	0	0.2954	0	0	0	0.0531	0	0.0419	0.00520000000001	0	0.2542	0.03	0	0	0	0	0.0999	0.3365	0.5471	0.016	0	0.0178	0.0068	0.0344	0	0	0.0429	0.0275	0.0159	0	0.2565	0.4964	0	0	0	0	0.0015	0	0.0086	0.0044	0.0059	0.0015	0	0.0086	0	0	0	0.0363	1.2079	0	0	0.0015	0.0015	0.1277	0	0.1598	0	0	0.0105	0	0.0245	0.0468	0.0015	0.0085	0.0988	0.0438	0.9027	0	0	0.4218	0.0026	0.00289999999999	0	0	0.003	0	0	0.1655	0	0.026	0.0395	0	0.019	0.0244	6.4409	0	29.6041	0	7.0025	0	0.2462	0.0058	0	0.5421	0	0.0015	0	0.1401	0.1171	0.0248	0	0	0	0	0	0	0	0	0	0	0.2988	0.0114	0	0	0	0	0	0	0	0	0	0.0042	0.0624	0	0	0.0808	0.4849	0.0015	2.5267	0.0163	0	0	0.3502	0	0.0101	44.0775	0	0.8619	0.0596	0.003	0.0099	0	1.6181	0	0.0014	0	0.0028	0.3356	0	0	0	0.0714	0	0	0.0015	0.0086	0.3383	0	0.0091	0	0	0.0024	0	0.1947	0.706	0	0	0	0	0	0	0.0074	0.0146	0.0066	0	0.0779	0.4083	0	0	0	0	0	0.0015	0	0.00599999999999	0	0	0.0151	0	0	0	0.0193	0.9143	0	0	0	0.2494	0.1721	0	0	0	0	0.0147	0	0.0396	0.027	0	0	0.0408	0	1.2505	0	0.003	0.5523	0	0	0	0	0	0	0	0.2601	0	0.0771	0.0285	0.0144	0.0015	0.0385	7.1593	0	30.9871	0.0015	8.8233	0.0457	0.1687	0	0	0.7324	0	0.0074	0	0.123	0.0104	0.0549	0	0	0	0	0	0.071	0	0	0.003	0.0044	0	0	0	0	0.1232	0	0	0
taxid:1191523|Melioribacter_roseus_P3M-2	0	0.0028	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0.00289999999999	0	0	0	0	0	0.00289999999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0027	0	0	0	0	0	0	0	0	0	0	0	0	0.00289999999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0031	0	0	0	0	0	0	0	0	0.0024	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00869999999999	0	0	0	0	0	0	0.00289999999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0028	0	0	0	0	0	0	0	0.0027	0.00289999999999	0	0	0	0	0	0	0.0028	0	0.00289999999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0028	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00289999999999	0	0	0.00289999999999	0	0	0	0	0	0	0	0	0	0	0.0054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00289999999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0028	0.00289999999999	0	0	0	0	0	0
taxid:1193292|Klebsiella_pneumoniae_subsp._pneumoniae_1084	0	0.0053	0.0053	0	0	0	0	0	0	0	0	0	0.0018	0	0	0	0	0.0125	0	0	0	0	0.0018	0	0	0	0.0018	0.0058	0	0.0018	0	0	0	0	0	0	0.1084	0	0.3542	0.215	0	0.0051	0	0.0017	0	0	0	0	0	0	0	0.0035	0	0	0	0	0	0	0	0	0	0	0	0.0017	0	0	0.0289	0	0.0018	0	0	0	0	0	0	0	0	0	0.0688	0	0	0	0	0	0	0	0	0.0143	0	0	0	0	0	0.0175	0	0.0017	0	0	0	0	0.0036	0.0101	0.0018	0	0	0	0	0	0	0.0032	0	0	0	0.0053	0	0	2.5443	0	0	0	0	0.0106	0	0	0.357	0.0501	0	0.1428	0	0	0	0	0	0.5801	0	0.0036	0	0	0	0	0	0	0	0.0066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00520000000001	0	0.0018	0	0.0277	0.0018	0	0	0	0.4022	0	0.0122	0.221	0	0	0	0	0	0	0	0	0	0	0	0	0.0021	0	0.2259	0	0	0	0.0053	0	0	0	0.0035	0	0	0	0.0431	0	0	0	0	0	0	0	0	0	0	0.3886	0	0	0	0	0	0.0961	0	0	0.0036	0	0	0	0	0	0	0.0034	0	0	0	0	0	0	0.0276	0	0	0	0	0	0	0	0	0	0	0	0	0	2.726	0	0	0	0	0.0017	0	0	0.6242	0.007	0	0.118	0	0	0	0.0018	0	0.6153	0	0.0059	0.0146	0	0.0053	0	0.0017	0	0	0	0	0.0036	0	0	0	0	0	0	0	0	0	0	0.00329999999999	0	0	0	0	0	0	0	0
taxid:1193729|Candidatus_Endolissoclinum_patella_L2	0	0	0	0	0	0	0	0	0	0	0.0051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1195464|Bacillus_thuringiensis_MC28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0014	0	0	0	0	0	0	0	0	0.0069	0.0041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0013	0	0	0	0	0.0014	0	0	0	0.0014	0	0	0	0.0047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0014	0	0	0	0.0028	0	0	0	0	0	0	0	0	0	0	0	0.0152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0084	0	0	0	0	0	0	0.0014	0	0	0.0014	0	0	0	0	0.0043	0	0	0.0014	0	0	0	0	0	0	0	0	0	0	0	0.0014	0	0	0	0	0	0.0014	0.0012	0	0	0.0014	0	0	0	0	0	0.0014	0	0.0043	0	0	0	0	0	0	0	0.0014	0	0	0	0	0	0	0.0071	0	0	0.0042	0	0	0	0.0027	0	0	0	0	0.0122	0	0	0	0	0.0014	0	0	0	0.0014	0	0	0	0.0076	0.0032	0	0.0043	0	0	0	0	0	0.0012	0	0	0.0028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1196325|Pseudomonas_putida_DOT-T1E	0	0	0	0	0	0	0	0	0	0	0.0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015	0	0	0	0	0	0	0	0	0	0	0	0	0.00250000000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0.0061	0	0	0	0	0	0	0	0	0	0	0.0015	0.0015	0	0	0	0	0	0.0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0305	0	0	0	0	0	0	0	0	0	0.0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
