kegg_modules	CCIS00146684ST-4-0	CCIS00281083ST-3-0	CCIS02124300ST-4-0	CCIS02379307ST-4-0	CCIS02856720ST-4-0	CCIS03473770ST-4-0	CCIS03857607ST-4-0	CCIS05314658ST-4-0	CCIS06260551ST-3-0	CCIS07277498ST-4-0	CCIS07539127ST-4-0	CCIS07648107ST-4-0	CCIS08668806ST-3-0	CCIS09568613ST-4-0	CCIS10706551ST-3-0	CCIS10793554ST-4-0	CCIS11015875ST-4-0	CCIS11019776ST-4-0	CCIS11354283ST-4-0	CCIS11362406ST-4-0	CCIS11558985ST-4-0	CCIS12370844ST-4-0	CCIS12656533ST-4-0	CCIS13047523ST-4-0	CCIS14449628ST-4-0	CCIS15704761ST-4-0	CCIS15794887ST-4-0	CCIS16326685ST-4-0	CCIS16383318ST-4-0	CCIS16561622ST-4-0	CCIS17669415ST-4-0	CCIS19142497ST-3-0	CCIS20795251ST-4-0	CCIS21126322ST-4-0	CCIS21278152ST-4-0	CCIS22275061ST-4-0	CCIS22416007ST-4-0	CCIS22906510ST-20-0	CCIS22958137ST-20-0	CCIS23164343ST-4-0	CCIS24254057ST-4-0	CCIS24898163ST-4-0	CCIS25399172ST-4-0	CCIS27304052ST-3-0	CCIS27927933ST-4-0	CCIS28384594ST-4-0	CCIS29210128ST-4-0	CCIS29688262ST-20-0	CCIS31434951ST-20-0	CCIS32105356ST-4-0	CCIS32452666ST-4-0	CCIS33816588ST-4-0	CCIS34055159ST-4-0	CCIS34604008ST-4-0	CCIS35092938ST-4-0	CCIS35100175ST-4-0	CCIS36699628ST-4-0	CCIS36797902ST-4-0	CCIS37250421ST-4-0	CCIS38765456ST-20-0	CCIS40244499ST-3-0	CCIS41222843ST-4-0	CCIS41288781ST-4-0	CCIS41548810ST-4-0	CCIS41692898ST-4-0	CCIS41806458ST-4-0	CCIS44093303ST-4-0	CCIS44676181ST-4-0	CCIS44743950ST-4-0	CCIS44757994ST-4-0	CCIS45571137ST-3-0	CCIS45793747ST-4-0	CCIS46047672ST-4-0	CCIS46467422ST-4-0	CCIS47284573ST-4-0	CCIS47745468ST-4-0	CCIS48174381ST-4-0	CCIS48507077ST-4-0	CCIS48579360ST-4-0	CCIS48725289ST-4-0	CCIS50003399ST-4-0	CCIS50148151ST-4-0	CCIS50369211ST-20-0	CCIS50471204ST-4-0	CCIS50561855ST-4-0	CCIS51595129ST-4-0	CCIS51667829ST-4-0	CCIS52234160ST-4-0	CCIS52370277ST-4-0	CCIS53043478ST-4-0	CCIS53355328ST-4-0	CCIS53557295ST-4-0	CCIS54027808ST-4-0	CCIS55230578ST-4-0	CCIS55531770ST-4-0	CCIS56503244ST-3-0	CCIS58234805ST-4-0	CCIS59132091ST-4-0	CCIS59903910ST-4-0	CCIS61287323ST-4-0	CCIS62605362ST-3-0	CCIS62794166ST-4-0	CCIS63448910ST-4-0	CCIS63468405ST-4-0	CCIS63910149ST-4-0	CCIS64773582ST-4-0	CCIS64785924ST-20-0	CCIS65479369ST-4-0	CCIS70398272ST-4-0	CCIS71301801ST-4-0	CCIS71578391ST-4-0	CCIS72607085ST-4-0	CCIS74239020ST-4-0	CCIS74726977ST-3-0	CCIS76563044ST-4-0	CCIS76845094ST-20-0	CCIS77100899ST-4-0	CCIS77252613ST-4-0	CCIS78100604ST-4-0	CCIS78318719ST-4-0	CCIS79210440ST-3-0	CCIS80834637ST-4-0	CCIS81139242ST-4-0	CCIS81710917ST-20-0	CCIS81735969ST-20-0	CCIS81887263ST-4-0	CCIS82146115ST-4-0	CCIS82507866ST-3-0	CCIS82944710ST-20-0	CCIS83445808ST-4-0	CCIS83574003ST-4-0	CCIS83870198ST-4-0	CCIS84543192ST-4-0	CCIS85214191ST-3-0	CCIS87116798ST-4-0	CCIS87167916ST-4-0	CCIS87252800ST-4-0	CCIS87290971ST-4-0	CCIS87605453ST-4-0	CCIS88007743ST-4-0	CCIS88317640ST-4-0	CCIS90164298ST-4-0	CCIS90166425ST-4-0	CCIS90443472ST-4-0	CCIS90903952ST-3-0	CCIS91228662ST-4-0	CCIS93040568ST-20-0	CCIS94417875ST-3-0	CCIS94496512ST-4-0	CCIS94603952ST-4-0	CCIS95097901ST-4-0	CCIS95409808ST-4-0	CCIS96387239ST-4-0	CCIS98482370ST-3-0	CCIS98512455ST-4-0	CCIS98832363ST-4-0	CCMD11006829ST-21-0	CCMD12232071ST-21-0	CCMD13071240ST-21-0	CCMD13934959ST-21-0	CCMD14479708ST-21-0	CCMD18872694ST-21-0	CCMD19497912ST-21-0	CCMD23101338ST-21-0	CCMD25511638ST-21-0	CCMD25963797ST-21-0	CCMD26709089ST-21-0	CCMD26925580ST-21-0	CCMD34381688ST-21-0	CCMD35802077ST-21-0	CCMD40701343ST-21-0	CCMD42428553ST-21-0	CCMD45988061ST-21-0	CCMD46222674ST-21-0	CCMD46947453ST-21-0	CCMD48236717ST-21-0	CCMD50071957ST-21-0	CCMD51864103ST-21-0	CCMD60079086ST-21-0	CCMD63399960ST-21-0	CCMD64503764ST-21-0	CCMD64776337ST-21-0	CCMD72895164ST-21-0	CCMD74930188ST-21-0	CCMD79987997ST-21-0	CCMD82866709ST-21-0	CCMD86114146ST-21-0	CCMD86707194ST-21-0	CCMD87156761ST-21-0	CCMD88272491ST-21-0	CCMD90311071ST-21-0	CCMD93344354ST-21-0	CCMD95433940ST-21-0	CCMD96553385ST-21-0	MMPU29365221ST	MMPU68403337ST	MMPU72854103ST	MMPU84450604ST	MMPU99077057ST
M00048: Inosine monophosphate biosynthesis, PRPP + glutamine => IMP	0.0236807	0.0131492	0.01958	0.017151	0.0219281	0.0230476	0.0187576	0.0257888	0.0268711	0.0262039	0.0248796	0.0249036	0.00850097	0.0241652	0.0198537	0.0264809	0.0237585	0.0308741	0.0270489	0.0281491	0.0178441	0.0084226	0.0186591	0.0127406	0.0275496	0.018777	0.0175048	0.0217895	0.0282821	0.0216211	0.0258433	0.00788845	0.0289405	0.0196228	0.0238528	0.0182069	0.0260554	0.0110097	0.0144584	0.0267741	0.0200527	0.0257492	0.0219544	0.00640433	0.0344092	0.00856389	0.013454	0.0278892	0.015402	0.0142305	0.0206698	0.0180835	0.0210332	0.0180192	0.0231285	0.0212701	0.0243807	0.0226587	0.0148722	0.0107052	0.0184267	0.0172524	0.025967	0.0218741	0.0254143	0.028883	0.0135409	0.0224285	0.0221099	0.0228058	0.0071274	0.0239657	0.0215854	0.0196389	0.0182395	0.016182	0.0224288	0.0101812	0.00793711	0.0169968	0.0258508	0.021389	0.0103505	0.0216297	0.0183644	0.0193844	0.0245765	0.0229955	0.0200898	0.0182336	0.0161199	0.0279639	0.0357368	0.0212242	0.0134839	0.00348203	0.0153743	0.0218764	0.0259267	0.0223226	0.017276	0.0206641	0.031472	0.0233598	0.0245956	0.0202796	0.0265508	0.0237195	0.0239104	0.0215532	0.0189507	0.0224907	0.0187145	0.00825377	0.0118348	0.0143149	0.0168416	0.00978392	0.0225147	0.0170957	0.0120726	0.0161522	0.0126904	0.0266367	0.0210007	0.0130773	0.0212996	0.00900922	0.0184111	0.0177934	0.0170829	0.0197563	0.00946897	0.003817	0.0115523	0.0330758	0.0282417	0.0249376	0.0124518	0.0245342	0.0307965	0.0259032	0.0147407	0.0140984	0.00701166	0.0220489	0.0278053	0.00387966	0.019383	0.023673	0.0265649	0.0145961	0.0246291	0.00624428	0.018756	0.011183	0.0233196	0.0164766	0.0220168	0.0146249	0.0148584	0.0252544	0.027838	0.0200759	0.0201523	0.0085469	0.0143124	0.022255	0.00951386	0.0244754	0.00842219	0.0120256	0.0202995	0.021725	0.0182736	0.0173757	0.0215155	0.0219293	0.0195653	0.0116476	0.0166396	0.0193484	0.0133758	0.0174567	0.00890033	0.0251552	0.0214405	0.0198635	0.0174671	0.0246075	0.0158841	0.0173703	0.0189207	0.0146689	0.0138274	0.0158832	0.0153089	0.0263638	0.0168543
M00049: Adenine nucleotide biosynthesis, IMP => ADP/dADP,ATP/dATP	0.016314	0.0177942	0.0174463	0.0246743	0.022268	0.0182327	0.0123547	0.0151547	0.0271826	0.0200415	0.0232079	0.0247898	0.0189689	0.0203199	0.0197359	0.0164816	0.0195239	0.00913548	0.0153535	0.0199626	0.0299962	0.030378	0.0255407	0.0201687	0.0204886	0.0181372	0.0209123	0.0239383	0.0200718	0.023087	0.0150541	0.0184332	0.0241167	0.0205752	0.0235729	0.011567	0.0181607	0.0209662	0.0223387	0.0177225	0.0234552	0.0201796	0.0262089	0.0163097	0.014362	0.0132634	0.0259852	0.0173652	0.018299	0.0124314	0.0151221	0.0269176	0.0189802	0.0157714	0.0137945	0.0252394	0.0149887	0.0273006	0.0155998	0.0157235	0.0279261	0.0182888	0.0175799	0.0203114	0.0152797	0.0267644	0.0258741	0.0121354	0.0256102	0.0238973	0.0170576	0.0212323	0.0244218	0.0290472	0.0207618	0.0208673	0.019158	0.0299119	0.0190775	0.0125201	0.0200359	0.0290911	0.0215685	0.0196525	0.0121813	0.0221333	0.015729	0.0209235	0.0216589	0.0259255	0.0219104	0.0154847	0.0213582	0.0202073	0.0175196	0.0211539	0.0295436	0.010356	0.0223216	0.0204353	0.020935	0.0232335	0.0273319	0.0193832	0.0137532	0.0188216	0.0218779	0.0241804	0.024185	0.0257287	0.0183354	0.0294107	0.0202975	0.0226443	0.0197526	0.0187929	0.0221355	0.0187849	0.0215884	0.0187743	0.0216221	0.0167366	0.0158842	0.0219509	0.0194734	0.0243972	0.0140455	0.0277928	0.0122714	0.0212726	0.0223183	0.0201198	0.0216361	0.032101	0.0198286	0.0167936	0.0250644	0.026272	0.0247939	0.0245092	0.0202146	0.0181158	0.0253517	0.0258641	0.0194	0.0262419	0.0266346	0.0194189	0.0197176	0.0186001	0.020132	0.0147787	0.0151419	0.0208918	0.0199456	0.0206192	0.0211893	0.0158073	0.0152963	0.0170404	0.0280568	0.0231498	0.0179234	0.0163258	0.0262731	0.0205845	0.0213	0.0145475	0.0245902	0.0166445	0.0268657	0.019561	0.021773	0.0250021	0.0170254	0.0216226	0.0180381	0.0258621	0.0264588	0.0261547	0.025286	0.0239318	0.0221663	0.0273311	0.0264676	0.0179042	0.0254457	0.0202716	0.0179832	0.0305235	0.0226215	0.0198692	0.0218502	0.0212061	0.0136363	0.0208604	0.0220455	0.0232878	0.0246642
M00050: Guanine nucleotide biosynthesis, IMP => GDP/dGDP,GTP/dGTP	0.0164229	0.0169974	0.0175724	0.0239398	0.0226152	0.018054	0.0122579	0.015039	0.0266533	0.0201246	0.0230203	0.024217	0.0183242	0.0204024	0.0187108	0.0161394	0.0194721	0.00903997	0.015339	0.0201594	0.0279708	0.0287647	0.0259367	0.0204192	0.0202282	0.0187782	0.0198988	0.0236851	0.0200454	0.0222761	0.0147182	0.0177315	0.0231186	0.0201915	0.0232301	0.0116376	0.0183435	0.0210684	0.0219613	0.0179736	0.0252886	0.0199687	0.025156	0.0153129	0.0142996	0.013154	0.0253448	0.0176072	0.0181693	0.0123375	0.0149033	0.0270178	0.0196295	0.0155423	0.0136053	0.0248208	0.0149909	0.0276683	0.0150002	0.0154957	0.026707	0.0179253	0.0177395	0.0204143	0.0153315	0.0274422	0.0269067	0.012069	0.0254847	0.024216	0.0162585	0.0216677	0.0242279	0.0284511	0.0206313	0.0205087	0.0191536	0.0290996	0.0187826	0.0123304	0.0196589	0.0284744	0.021946	0.0194521	0.0122157	0.0216495	0.0152475	0.0205292	0.0221427	0.0249364	0.0210126	0.015262	0.0208369	0.0196508	0.0168178	0.0202972	0.0286346	0.0104177	0.0212089	0.0201937	0.0205668	0.0231997	0.0277323	0.0195308	0.0136059	0.0183556	0.0214706	0.0244912	0.0242186	0.0259571	0.0178102	0.0305099	0.0199057	0.0224834	0.0192156	0.0188866	0.0212561	0.0185921	0.0215029	0.0184744	0.0204592	0.0164018	0.0155101	0.0208513	0.0193151	0.0243712	0.0141455	0.0259268	0.0123824	0.0206966	0.0215734	0.0189861	0.0209124	0.0323261	0.0196192	0.01685	0.024806	0.0252174	0.0257252	0.0243201	0.020327	0.0176787	0.0252439	0.0257555	0.0188415	0.0256514	0.0268096	0.0197947	0.0192764	0.0188023	0.019502	0.0149029	0.0148888	0.0200219	0.0197074	0.0203534	0.0218276	0.0158703	0.0155762	0.0168242	0.0275341	0.022404	0.0181456	0.0161559	0.0268917	0.0203032	0.0213913	0.0144679	0.0239037	0.0163531	0.0262015	0.0194977	0.0218112	0.0249579	0.0166712	0.0211766	0.0178006	0.0253141	0.0264656	0.0257413	0.0257952	0.0241466	0.0220756	0.0254902	0.0272359	0.01763	0.025148	0.0204567	0.0182173	0.0305543	0.0223389	0.0195782	0.0209986	0.0207773	0.013468	0.0208793	0.0206899	0.0219556	0.0247765
M00051: Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	0.0374826	0.0378508	0.0425461	0.0342878	0.0348567	0.035398	0.0418921	0.0392943	0.0298505	0.0391728	0.0352324	0.0378238	0.0414547	0.0297747	0.0352427	0.0369031	0.0369592	0.0400373	0.0383847	0.0351211	0.0398239	0.0410129	0.0389371	0.0366453	0.0350239	0.0269898	0.0382997	0.0367065	0.0350116	0.0395264	0.0354331	0.0365316	0.0360082	0.0365466	0.0379842	0.0396619	0.0415262	0.0365394	0.0375669	0.0370794	0.0378353	0.0305272	0.0363325	0.0334544	0.0406176	0.0410859	0.0361826	0.0368612	0.039499	0.0397709	0.0379801	0.0401139	0.0237655	0.0429932	0.0380993	0.0399931	0.0334697	0.037142	0.0413553	0.0405005	0.0361982	0.0369517	0.0355189	0.0399599	0.0377884	0.0374485	0.0374898	0.0398476	0.0360401	0.0246266	0.043931	0.0361246	0.0372326	0.0349919	0.0392765	0.037494	0.0349659	0.0380045	0.0370903	0.0369153	0.0385918	0.0347677	0.0371318	0.0380474	0.0397841	0.0418784	0.0398319	0.0357861	0.0379003	0.0392933	0.0339435	0.0385337	0.0391364	0.0328032	0.0386987	0.0357551	0.0384117	0.0406869	0.031844	0.031951	0.0391798	0.0337217	0.0350476	0.0341647	0.0381715	0.0380794	0.0367617	0.0381254	0.0396894	0.0360374	0.0408887	0.0296971	0.0386723	0.0360795	0.0371489	0.0363989	0.0373652	0.0392279	0.0403399	0.0345047	0.0309292	0.038005	0.0374685	0.0338316	0.037148	0.0354649	0.041119	0.0351432	0.0365992	0.0332301	0.0381118	0.037605	0.0393839	0.0338179	0.0391334	0.0357454	0.036639	0.0370713	0.0356853	0.0331738	0.0322496	0.0377598	0.0361749	0.0350542	0.0375048	0.0364579	0.0359019	0.0300812	0.036981	0.0379564	0.0388012	0.0406165	0.0398157	0.0391085	0.0351412	0.0366157	0.0391642	0.0357055	0.0404453	0.0378675	0.0376998	0.0397616	0.040947	0.0421508	0.0392307	0.0389281	0.0381593	0.0403268	0.0423659	0.0390364	0.0374116	0.0399519	0.0393405	0.0368933	0.0382065	0.0425066	0.037165	0.037882	0.0372279	0.0362835	0.0376733	0.0370428	0.0387245	0.0349896	0.0368634	0.0371025	0.0381838	0.0365586	0.0399522	0.0377146	0.0365275	0.0394144	0.0372766	0.0393841	0.0393404	0.0383913	0.0402682	0.0391029	0.0386356
M00053: Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	0.00820947	0.00579584	0.0113684	0.00673061	0.00579878	0.00863494	0.00334678	0.00894992	0.0208172	0.0129884	0.0115359	0.0136835	0.0112577	0.011774	0.00526678	0.00172798	0.00975335	0.00482751	0.00897787	0.0131286	0.0045666	0.00974728	0.0161644	0.00201373	0.00960112	0.0120597	0.0106661	0.0150254	0.0114787	0.00434568	0.00907788	1.40016e-05	0.0179263	0.00428073	0.00928972	0.00601552	0.0105788	0.0052843	0.00582776	0.0104641	0.0122231	0.0091279	0.008536	0.0100728	0.0105598	0.00453724	0.011634	0.00751336	0.00858924	0.00691875	0.0067138	0.0182185	0.0133882	0.00384178	0.0053122	0.0127092	0.0106345	0.0208037	0.00702526	0.00743116	0.00236474	0.00648112	0.0108191	0.00637879	0.00939724	0.0111867	0.00969843	0.00575965	0.00340511	0.0144132	0.00500721	0.00364007	0.0126025	0.0146854	0.0123775	0.00847279	0.00342385	0.00618805	0.00551499	0.00636731	0.0128437	0.00373517	0.0105147	0.00878254	0.00368518	0.00402501	0.0090755	0.010458	0.0051614	0.0128348	0.0141983	0.00927768	0.00555703	0.0100245	0.00188295	0.0104817	0.0147682	0.00675143	0.00894676	0.00948409	0.00597552	0.00970992	0.0131793	0.0103081	0.00554462	0	0.0142488	0.011548	0.00567613	0	0.00868356	0.0131403	0.00581387	0.0075703	0.00835571	0.0110827	0.00374647	0.00789855	0.0122059	0.0110126	0.00841342	0.00188584	0.00697056	0.0172044	0.00806952	0.00983723	0.0075411	0.008243	0.00791863	0.013278	0.00646117	0.00966063	0.00903125	0.00962192	0.0125564	0.0104974	0.00641916	0.00562903	0.00259124	0.0137688	0.0132466	0.0119165	0.00880911	0.00653124	0.00232909	0.00232087	0.0107882	0.0127984	0.0103086	0.010634	0.0118951	0.0115099	0.00892964	0	0.00876317	0.011194	0.0137361	0.00821462	0.00902077	0.00471218	0.00947847	0.00836593	0.0115969	0.0046247	0.00589173	0.00402894	0.0106624	0.00818786	0.0123959	0.00371572	0.00269067	0.00717161	0.00981563	0.0134319	0.00576142	0.00773891	0.00970251	0.0101732	0.00826695	0.00787234	0.00619802	0.0117919	0.00655952	0.0109128	0.00746711	0.0125624	0.0154547	0.00858148	0.0112883	0.0148606	0.0129627	0.0103966	0.00879767	0.00221028	0.00180625	0.00662744	0.005787	0.0107096	3.09272e-05
M00055: N-glycan precursor biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000117643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00056: O-glycan biosynthesis, mucin type core	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00057: Glycosaminoglycan biosynthesis, linkage tetrasaccharide	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00059: Glycosaminoglycan biosynthesis, heparan sulfate backbone	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00060: Lipopolysaccharide biosynthesis, KDO2-lipid A	0	0	3.98364e-05	0.00169392	0.00438236	0.00274268	2.33959e-06	0.00312194	0.00528268	0	0	0	0	0.0054333	0.00146035	0	0.00177029	0.00103094	0	0.00382244	6.82597e-05	0.00385018	0	0.00118483	0.00349581	0.00331415	0	0	0.00404295	0	5.99902e-05	0	0	0	0.0038293	0	0.000259209	0	0.00260509	0.000694984	0	0	0.00158604	0	0	0.00220114	6.69261e-06	0	0.000971897	0.00379483	0.00100702	0	0.00953602	0	0.00114635	0.00125639	0.0034956	0.00121318	0.00111802	0.0024007	0.00157648	0	0.00327538	3.60494e-05	0	0.000771723	0	0	0.00208022	0.0124037	0	0.00335492	2.52197e-05	1.49233e-05	0	0.00142815	0.00015489	0.000710586	0	8.36414e-07	9.3807e-05	0.000905663	0	0	0.00346287	0.00121623	0	0.00206835	0.00237856	0.00125093	0	1.56507e-05	0	0.00408916	0	0	0.0010341	0	0.00617108	0.011728	0.00131555	0.00689912	0.000500857	0.00823416	0.0012188	0.00121623	1.33309e-06	8.43316e-06	0	6.91082e-06	0.00123143	0.0102703	0	0	0	0.0027001	0	0.00408289	0.0011546	0.00353213	0.00167415	2.86905e-05	0	0.00593269	0.000974529	0.00112612	0	0	0	0.00471511	5.02271e-06	0	0	0.00263392	0	0.00319577	2.45924e-05	0.000966404	0	0.00820327	0.00235164	0.00121337	0	0	0.0029426	0	0	0	0.00348249	0.00186276	0	0.00186864	3.031e-05	0	0.00390579	3.15359e-05	0	0	0	0	0	0.00122159	0	0.00128951	0.000182005	1.67159e-06	0	0.00115356	0	0	0	3.57064e-05	0	0	0.00115985	5.59847e-05	0.00245458	0	0	0.00580288	0	0.00349694	0	0.00551282	0	0	0.00122289	0.00313885	0.00120007	0	0	4.40848e-05	0	0	3.0618e-05	0	6.48006e-05	0.000843522	0
M00061: Uronic acid metabolism	0.0148665	0.0276177	0.0162886	0.0179344	0.0143075	0.0121202	0.0222162	0.017085	0.00693554	0.0134152	0.014481	0.0154444	0.0164388	0.0156823	0.0236528	0.0127525	0.0146559	0.00994756	0.0138471	0.0164092	0.0163527	0.0113305	0.00697668	0.0168493	0.0188208	0.0219424	0.015804	0.0166898	0.0115506	0.0133905	0.0115634	0.0281006	0.007602	0.0148308	0.0129573	0.01273	0.013349	0.0157109	0.0159376	0.00689204	0.0104358	0.0181533	0.0165194	0.0154031	0.00376113	0.0133895	0.0132043	0.0097054	0.015322	0.0187303	0.017413	0.0111127	0.0189036	0.0149509	0.0144357	0.0164695	0.0130727	0.00672045	0.0240195	0.010382	0.0237374	0.0132293	0.0161897	0.0173857	0.0134014	0.00654542	0.0182499	0.0164084	0.020418	0.0166109	0.0114474	0.0158376	0.0126945	0.0171216	0.0135792	0.0187826	0.0148732	0.0153659	0.0201958	0.0160161	0.0197567	0.0191384	0.010064	0.0154968	0.02915	0.0174739	0.0130083	0.0181712	0.019123	0.0148793	0.00717349	0.012474	0.0145841	0.0131862	0.01989	0.0160967	0.0104533	0.0106438	0.0178254	0.0164548	0.0150378	0.0137997	0.017362	0.0158624	0.0133478	0.0164213	0.0109923	0.0162168	0.0155302	0.0128471	0.0125573	0.0136094	0.0180098	0.023457	0.0188316	0.0137473	0.0159262	0.0228194	0.0148499	0.0136692	0.0161021	0.0140103	0.0167151	0.00638373	0.015527	0.0136836	0.0119417	0.0141891	0.0109452	0.0161414	0.0213357	0.0206666	0.0202434	0.0188108	0.0113594	0.00808588	0.0110465	0.0197345	0.0170577	0.0164716	0.00961906	0.0174331	0.0116246	0.0160894	0.0238117	0.0184913	0.0143562	0.00896119	0.010828	0.0150307	0.0130041	0.0099389	0.0238785	0.019051	0.0169732	0.0153921	0.0121898	0.0158232	0.0121985	0.0157427	0.0142936	0.016407	0.0180756	0.0134553	0.0138784	0.0105587	0.0174147	0.015722	0.0188254	0.0182742	0.0270966	0.0137827	0.0148601	0.01542	0.017028	0.0223841	0.0199364	0.0134586	0.0171656	0.019052	0.0166776	0.0120381	0.0162064	0.0221351	0.013558	0.0142759	0.0122966	0.0214612	0.0150269	0.0190611	0.0170736	0.0199506	0.0178757	0.0283781	0.0249755	0.0201748	0.0233899	0.0235798	0.0223355
M00064: ADP-L-glycero-D-manno-heptose biosynthesis	0.00314081	0.00222423	0.003627	0.00430644	0.00404093	0.00302181	0.00300518	0.00338279	0.00487103	0.000574496	0.00317119	0.00218422	0.00186781	0.00542495	0.00164733	0.000895236	0.00371668	0.00298405	0.00269795	0.00361897	0.00294888	0.0145942	0.00803774	0.00283106	0.00640761	0.0116554	0.00173124	0.00570557	0.0137049	0.00287002	0.0049719	0.00133083	0.00194752	0.00207093	0.0025603	0.00164923	0.00162354	0.00544183	0.00379022	0.00227997	0.0111999	0.00361851	0.00638641	0.00794367	0.00122339	0.00267012	0.00488867	0.000621746	0.00167267	0.00239555	0.00374879	0.00401858	0.00901038	0.00166609	0.00118547	0.00416744	0.00369258	0.00501588	0.00217921	0.00667041	0.00560544	0.00244423	0.0042108	0.00146277	0.00311011	0.000947601	0.000385144	0.00143603	0.00246319	0.00886937	0.00198147	0.00240717	0.00636276	0.0027337	0.00211755	0.00594484	0.00185315	0.00285236	0.00712322	0.00395626	0.00128431	0.00424061	0.000726059	0.00249507	0.00259179	0.00127598	0.00341784	0.0031929	0.00511449	0.0016537	0.00428717	0.00244238	0.00201339	0.00300231	0.00298777	0.00450498	0.005815	0.001736	0.00315106	0.00784898	0.00297459	0.00390571	0.000945288	0.0058261	0.00297098	0.00400925	0.00581697	0.00446423	0.0022902	0.00540365	0.00262113	0.00783086	0.00171862	0.0047615	0.00280248	0.00349266	0.00198892	0.0106138	0.000439077	0.00404834	0.00282941	0.00177762	0.00195761	0.00412784	0.00324385	0.00328974	0.00174435	0.00270813	0.000949633	0.00434721	0.0025176	0.00222387	0.00479389	0.00765784	0.00522923	0.00481195	0.00367957	0.00201747	0.00164013	0.0044053	0.00317904	0.00352249	0.00421571	0.00619771	0.00352807	0.00418383	0.00158774	0.00163888	0.00356778	0.00316213	0.00392802	0.00167685	0.00372529	0.00186246	0.00272943	0.00247442	0.00351666	0.00443372	0.00314778	0.00320729	0.00721114	0.00286453	0.00307315	0.0018153	0.00651962	0.00437306	0.00356723	0.00295081	0.0037558	0.0041811	0.00411952	0.00454926	0.00157669	0.00479006	0.00215061	0.00453664	0.00302854	0.00144087	0.00212769	0.00401737	0.00419552	0.00611674	0.00228085	0.00537668	0.0118676	0.00581657	0.00404966	0.00460972	0.00156034	0.00296553	0.00248517	0.00200618	0.00369202	0.00245371	0.00271103	0.00603401	0.000581268	0.00138975	0.00291185
